,ACER1 (125981)
ACH-000004,0.1699156983107319
ACH-000005,-0.08404480392830822
ACH-000007,0.1451456043920665
ACH-000009,0.08518031312573479
ACH-000011,0.31166592729317083
ACH-000012,0.08767197850308722
ACH-000013,0.06596400275066963
ACH-000014,0.11978889036563055
ACH-000015,0.11469017359085013
ACH-000017,0.14878140769605624
ACH-000018,0.024089570154243924
ACH-000019,0.21797562957870945
ACH-000021,0.1387226762834036
ACH-000022,0.025364059891278483
ACH-000025,0.21197787494659498
ACH-000028,0.04353803508667866
ACH-000030,0.09960335788490167
ACH-000035,0.14437263539446485
ACH-000036,0.2839519968919408
ACH-000037,0.199784519879882
ACH-000039,-0.04360581740849368
ACH-000040,0.24706275741023975
ACH-000041,0.16704779419761798
ACH-000042,0.21577859976587488
ACH-000045,-0.037642526014019885
ACH-000047,0.08410149008296093
ACH-000052,-0.018410318377097716
ACH-000053,0.12356317960768792
ACH-000054,0.20539856836154952
ACH-000055,0.032428047173181
ACH-000060,0.20307251367763185
ACH-000067,0.05071462554075496
ACH-000070,0.21358835518822725
ACH-000075,-0.033087843169351774
ACH-000078,0.16899677403938712
ACH-000082,0.15555703927971615
ACH-000085,0.05516036460994251
ACH-000086,0.07942753523490799
ACH-000087,0.0915821789495804
ACH-000092,-0.030681665444692537
ACH-000095,0.13732467825398842
ACH-000097,0.16860779311861634
ACH-000098,0.05768612973848315
ACH-000099,0.15362992135185047
ACH-000108,0.12755988300970084
ACH-000113,0.08071010880651074
ACH-000116,0.07783416282392584
ACH-000118,0.008112918150993928
ACH-000120,0.2018325622437776
ACH-000123,0.14272200688837214
ACH-000127,0.09411451946425926
ACH-000128,-0.02049401713229338
ACH-000132,0.23245299114225804
ACH-000133,-0.01425944510595745
ACH-000137,0.03768108618649151
ACH-000138,0.08590303797617868
ACH-000142,0.16902392357520568
ACH-000143,0.053436425997545584
ACH-000146,0.01378430187008617
ACH-000148,0.21321012832009606
ACH-000150,0.053924104587873424
ACH-000152,0.15608379309844386
ACH-000153,0.0922724509255764
ACH-000159,0.09891283677727056
ACH-000160,0.10935026815884714
ACH-000163,0.16411591094203334
ACH-000167,-0.08968062623857187
ACH-000168,0.07267501551428393
ACH-000169,0.1848923960212867
ACH-000178,0.23194389370049584
ACH-000183,0.05020027249006307
ACH-000188,0.1602343482101749
ACH-000189,0.049387852236870616
ACH-000190,0.08661787841340247
ACH-000198,0.0455312866237192
ACH-000203,0.6643361970476118
ACH-000204,0.1686762297874091
ACH-000206,-0.006559292159916438
ACH-000207,-0.014021735687464372
ACH-000208,0.01726005718903655
ACH-000210,0.2721234866025557
ACH-000211,0.17488428171028553
ACH-000215,0.2283931477337673
ACH-000221,0.1817536639081559
ACH-000222,0.1797588925048223
ACH-000223,0.14737314202083934
