,LRR1 (122769)
ACH-000004,-1.506093206151592
ACH-000005,-2.1055683208638376
ACH-000007,-1.238048761807564
ACH-000009,-1.32225849530142
ACH-000011,-1.2587369534361148
ACH-000012,-1.3087353470262024
ACH-000013,-1.2402125343389812
ACH-000014,-1.4766625024094042
ACH-000015,-1.287881081357976
ACH-000017,-1.3274350923346538
ACH-000018,-1.218539897728133
ACH-000019,-1.1662245524090296
ACH-000021,-1.4112014187725839
ACH-000022,-1.3671857243521477
ACH-000025,-1.276931886972987
ACH-000028,-1.228996760085879
ACH-000030,-1.2846902393358737
ACH-000035,-1.2731549302828569
ACH-000036,-1.4229678948552469
ACH-000037,-1.567767096217772
ACH-000039,-1.3570227579779643
ACH-000040,-1.3971369035494443
ACH-000041,-1.5388636669977136
ACH-000042,-1.161257526988661
ACH-000045,-1.2174900903739132
ACH-000047,-1.4844987083393593
ACH-000052,-1.2113748848852288
ACH-000053,-1.3476941108486904
ACH-000054,-1.1822213806063202
ACH-000055,-1.457271194211787
ACH-000060,-1.3417521035128397
ACH-000067,-1.614829758786276
ACH-000070,-1.1411205496991583
ACH-000075,-1.3665279946728608
ACH-000078,-1.3301267846964462
ACH-000082,-1.1874077844975794
ACH-000085,-1.3926533856953052
ACH-000086,-1.1957008679833103
ACH-000087,-1.2017262546167369
ACH-000092,-1.2746532451134764
ACH-000095,-1.126430173679324
ACH-000097,-1.3819482710795248
ACH-000098,-1.4100496578752717
ACH-000099,-1.11697894670148
ACH-000108,-1.288851097554493
ACH-000113,-1.0766198945120489
ACH-000116,-1.4607984937764935
ACH-000118,-1.3232109926730289
ACH-000120,-1.3708930978179386
ACH-000123,-1.2249647524893077
ACH-000127,-1.4361594147307182
ACH-000128,-1.011854155287268
ACH-000132,-1.1908148074593137
ACH-000133,-1.4043295024389182
ACH-000137,-1.2272366213014456
ACH-000138,-1.2612712747874182
ACH-000142,-1.1620325441470658
ACH-000143,-1.2169601739728335
ACH-000146,-1.6837974846961419
ACH-000148,-1.492999895862
ACH-000150,-1.273191198959985
ACH-000152,-1.1240024681591174
ACH-000153,-1.383225142881163
ACH-000159,-1.443255907098382
ACH-000160,-1.5746574066333825
ACH-000163,-1.4304595403601883
ACH-000167,-2.0037610383061546
ACH-000168,-1.3628127937145016
ACH-000169,-1.2607625426122562
ACH-000178,-1.317872129855935
ACH-000183,-1.6271839792340297
ACH-000188,-1.1176650453814143
ACH-000189,-1.325062225581222
ACH-000190,-1.2348403052062056
ACH-000198,-1.3227309619664247
ACH-000203,-1.8566197259200257
ACH-000204,-1.4328763492617966
ACH-000206,-1.2557855615215454
ACH-000207,-0.9886077289223256
ACH-000208,-1.1261245981351842
ACH-000210,-1.3381904497989363
ACH-000211,-1.1797605906321826
ACH-000215,-1.1622033583368112
ACH-000221,-1.2684725518395992
ACH-000222,-1.641353058928839
ACH-000223,-1.004076957837709
ACH-000226,-1.248362199510633
ACH-000227,-1.2744767914708588
ACH-000228,-1.5722797990728878
ACH-000231,-1.3327426330285714
ACH-000232,-1.5108702512660246
ACH-000233,-1.4917191368531155
ACH-000234,-1.0736585210236311
ACH-000235,-1.2213345865277512
ACH-000237,-1.1156700575256584
ACH-000238,-1.2352947273042292
ACH-000242,-1.0993897388954672
ACH-000243,-1.3012762717197208
ACH-000244,-1.2294354571374289
ACH-000246,-1.4623889900668543
ACH-000248,-1.37600908822184
ACH-000250,-1.2925282339486237
ACH-000251,-1.1470321044157918
ACH-000252,-1.217312242228
ACH-000253,-1.2813199381316744
ACH-000255,-1.3041006212276058
ACH-000256,-1.0354780201403588
ACH-000257,-1.5057590938491632
ACH-000258,-1.1389574513598009
ACH-000259,-1.375529253472344
ACH-000260,-1.3171843227928524
ACH-000261,-1.2751705401509683
ACH-000262,-1.3493042308013263
ACH-000263,-1.3877400917716218
ACH-000264,-1.2485166618215608
ACH-000265,-1.2866919286892116
