,BSG (682)
ACH-000004,-0.07181009404873517
ACH-000005,0.2587655594303472
ACH-000007,-0.17154875570767078
ACH-000009,-0.011847494189377404
ACH-000011,0.04971036469356605
ACH-000012,-0.3269305145552569
ACH-000013,-0.07303911616008138
ACH-000014,0.03759605354146505
ACH-000015,0.024063991411627985
ACH-000017,-0.2813318156300461
ACH-000018,-0.3545190608265781
ACH-000019,-0.2880164220032272
ACH-000021,-0.07558323453066078
ACH-000022,0.0050224860827787175
ACH-000025,-0.12155550331357835
ACH-000028,-0.4708693432407358
ACH-000030,-0.08088324340596525
ACH-000035,-0.08021609991956746
ACH-000036,-0.05424000268835857
ACH-000037,-0.06551015985036962
ACH-000039,0.0919781034760646
ACH-000040,-0.0019449402811400594
ACH-000041,-0.2921955052954877
ACH-000042,0.0010992498108383542
ACH-000045,-0.08135454716734268
ACH-000047,-0.024100854825268626
ACH-000052,-0.11012341759770472
ACH-000053,-0.18163151364989225
ACH-000054,-0.16226263866657092
ACH-000055,-0.2660603107309134
ACH-000060,-0.14809066128932924
ACH-000067,-0.0133897392991664
ACH-000070,0.06979518711274646
ACH-000075,0.1034534068818963
ACH-000078,-0.20915179568216036
ACH-000082,-0.0794585386639175
ACH-000085,-0.3646256138406306
ACH-000086,-0.20543031225210534
ACH-000087,-0.15648974134896068
ACH-000092,-0.02916014864742785
ACH-000095,-0.19671323035049448
ACH-000097,-0.0075934235070239785
ACH-000098,-0.10668757072377684
ACH-000099,-0.3721858837821328
ACH-000108,0.02380888326087863
ACH-000113,0.1752354315463416
ACH-000116,0.034070516286432734
ACH-000118,-0.0051353621011574774
ACH-000120,0.02719313963018443
ACH-000123,-0.3787709567810707
ACH-000127,-0.0152271600083538
ACH-000128,-0.31247373170185155
ACH-000132,0.010902451451721916
ACH-000133,-0.029387653383856537
ACH-000137,0.07712908916224996
ACH-000138,-0.3779656413791809
ACH-000142,-0.11772199495830002
ACH-000143,-0.1777244245199417
ACH-000146,-0.1025748459969941
ACH-000148,-0.13629945288127088
ACH-000150,-0.4556654495042591
ACH-000152,-0.0059744778540727185
ACH-000153,0.028711763684758262
ACH-000159,-0.1352690734169546
ACH-000160,-0.17426611336861345
ACH-000163,-0.1305580600566027
ACH-000167,0.1498558341627622
ACH-000168,-0.3489229882386897
ACH-000169,-0.060742489864982485
ACH-000178,-0.21669775615933373
ACH-000183,-0.29319794890743817
ACH-000188,0.017900714869360002
ACH-000189,-0.4441625774450458
ACH-000190,-0.1166277440110936
ACH-000198,-0.014520501642986072
ACH-000203,-0.6643189823033797
ACH-000204,-0.10699212685414908
ACH-000206,0.04671899510347431
