,SMO (6608)
ACH-000004,-0.009459562892759557
ACH-000005,0.09032368974844417
ACH-000007,-0.20646002558680596
ACH-000009,-0.036986810971739205
ACH-000011,-0.008289820659184691
ACH-000012,-0.15330017893137746
ACH-000013,-0.0433008610943425
ACH-000014,-0.19039746202427105
ACH-000015,0.02536010910749589
ACH-000017,-0.14099109166850193
ACH-000018,-0.103694255245475
ACH-000019,0.17844285224964945
ACH-000021,-0.3356800851813537
ACH-000022,-0.10155193289163192
ACH-000025,-0.13048883479118326
ACH-000028,0.027467678777114816
ACH-000030,-0.05389652167506685
ACH-000035,-0.15565568572263366
ACH-000036,-0.1327207737634377
ACH-000037,-0.18450041909822226
ACH-000039,-0.09286187846328613
ACH-000040,-0.16678672297968605
ACH-000041,-0.04814195475512323
ACH-000042,-0.2367749698039384
ACH-000045,-0.258734874557201
ACH-000047,-0.10291048496452493
ACH-000052,0.2673216972647721
ACH-000053,-0.22412789607094927
ACH-000054,0.028115361439449052
ACH-000055,-0.1300575110673101
ACH-000060,-0.3215418061319316
ACH-000067,-0.2446005454878925
ACH-000070,-0.11488516774003135
ACH-000075,-0.13958228691090271
ACH-000078,-0.021039437257603613
ACH-000082,-0.15926322432897574
ACH-000085,-0.0706536427524694
ACH-000086,-0.007081154325268591
ACH-000087,0.029911080395143494
ACH-000092,-0.05620911808953398
ACH-000095,-0.05620792236286367
ACH-000097,-0.10114026158206256
ACH-000098,-0.02279990554739486
ACH-000099,0.007349737412637652
ACH-000108,-0.19273826508577016
ACH-000113,-0.13550545550451826
ACH-000116,0.01743937228224848
ACH-000118,-0.11646571436459215
ACH-000120,-0.1324680469365798
ACH-000123,0.026459447889699048
ACH-000127,-0.1061179675381907
ACH-000128,-0.2621340949033685
ACH-000132,-0.09715143932252854
ACH-000133,-0.08690753837050495
ACH-000137,0.01751474134860772
ACH-000138,-0.14390181822378534
ACH-000142,-0.114244902980402
ACH-000143,-0.12624859437549998
ACH-000146,-0.20754557858020706
ACH-000148,-0.14992262506806714
ACH-000150,-0.06133790618694121
ACH-000152,-0.057513571757227634
ACH-000153,0.015235165332909034
ACH-000159,-0.056909390705859736
ACH-000160,-0.10509710583987378
ACH-000163,-0.12034426709112712
ACH-000167,-0.11754653333773585
ACH-000168,-0.021013694935548447
ACH-000169,-0.03212028614932312
