,AVPI1 (60370)
ACH-000004,-0.11598886920196046
ACH-000005,-0.43126063595498265
ACH-000007,0.09223276188086013
ACH-000009,-0.07184995644192307
ACH-000011,-0.08468202260082505
ACH-000012,-0.08409597011927686
ACH-000013,-0.03536790908121993
ACH-000014,0.1323968707227
ACH-000015,-0.20001744040789646
ACH-000017,-0.01892809168100585
ACH-000018,-0.03704370690249949
ACH-000019,-0.004509772076215907
ACH-000021,-0.07850824418534746
ACH-000022,0.021544498011804768
ACH-000025,-0.15165135618617825
ACH-000028,0.014263542700627775
ACH-000030,-0.0810554752376527
ACH-000035,-0.19253221864505052
ACH-000036,-0.06382294818516085
ACH-000037,-0.14657738424734032
ACH-000039,-0.14169222701717402
ACH-000040,-0.07872613986026675
ACH-000041,-0.12692951490094062
ACH-000042,-0.08000178364099529
ACH-000045,0.014691162085877925
ACH-000047,0.032123949513592834
ACH-000052,-0.08719640705961322
ACH-000053,-0.10330822042942242
ACH-000054,-0.07649613755265776
ACH-000055,-0.05382869727627149
ACH-000060,-0.2603733697961797
ACH-000067,-0.2491662602354197
ACH-000070,0.21884023883769552
ACH-000075,0.01715127915540483
ACH-000078,0.010965864494562149
ACH-000082,0.025341955981669863
ACH-000085,-0.11363497063370333
ACH-000086,-0.11091467913832363
ACH-000087,-0.013821984792709742
ACH-000092,-0.09290318550717792
ACH-000095,-0.05364926602082809
ACH-000097,-0.1375967532565926
ACH-000098,-0.21246639966031394
ACH-000099,-0.042865785799428985
ACH-000108,-0.10541114958480624
ACH-000113,-0.11093973393779727
ACH-000116,-0.08341230334624712
ACH-000118,-0.014729982203654112
ACH-000120,0.016391321519692713
ACH-000123,-0.04872782582747448
ACH-000127,-0.21728816712099414
ACH-000128,0.011787684034213715
ACH-000132,-0.11233547101147252
ACH-000133,-0.12991858700008507
ACH-000137,-0.15003289617928794
ACH-000138,-0.049400163167668834
ACH-000142,-0.09903105152217946
ACH-000143,0.033410995405885234
ACH-000146,-0.04519925629287204
ACH-000148,-0.1995984490143448
ACH-000150,-0.09687005237455648
ACH-000152,-0.16363853290879485
ACH-000153,0.11302112277663295
ACH-000159,-0.07116718193315424
ACH-000160,-0.2731962681564055
ACH-000163,-0.17646850651387547
ACH-000167,-0.13581428235284518
ACH-000168,-0.24635213346800025
ACH-000169,-0.2367062973208624
ACH-000178,-0.038671573557915784
ACH-000183,-0.2087294883647784
ACH-000188,-0.031762443697010034
ACH-000189,-0.1625583943658844
ACH-000190,-0.106494477514816
ACH-000198,-0.1480797723732907
ACH-000203,0.08951755964216651
ACH-000204,-0.3624415101310306
ACH-000206,-0.17793681285406213
ACH-000207,-0.09054119232140184
ACH-000208,-0.07746513082179532
ACH-000210,-0.31953152306428384
ACH-000211,-0.10761921494677924
ACH-000215,-0.0737572914774286
ACH-000221,-0.17335418012510714
ACH-000222,-0.043838463689011835
ACH-000223,-0.14304025764313247
ACH-000226,-0.14717504168871567
ACH-000227,-0.05642483572191189
ACH-000228,-0.14465872647941114
ACH-000231,-0.1377320691590719
ACH-000232,-0.07087742713870296
ACH-000233,-0.10403957715442798
ACH-000234,-0.1103856014984398
ACH-000235,-0.07145867777002013
ACH-000237,-0.18849461883696292
ACH-000238,-0.19318705224447305
ACH-000242,-0.31028065346321704
ACH-000243,-0.10302505660653834
ACH-000244,-0.07635513299624133
ACH-000246,-0.1613021342664439
ACH-000248,-0.058748238518456335
ACH-000250,-0.1220857735802882
ACH-000251,-0.10515305065327844
ACH-000252,-0.09535469217093674
ACH-000253,-0.14278312339808974
ACH-000255,-0.15207911220362144
ACH-000256,-0.029225873007949207
ACH-000257,-0.08241912734591925
ACH-000258,-0.020073193143444388
ACH-000259,-0.14807371180342607
ACH-000260,0.005003782243047558
ACH-000261,-0.11401455065058785
ACH-000262,-0.07061487132103966
ACH-000263,0.00731460917277041
ACH-000264,-0.15512093656205594
ACH-000265,-0.12699490447958198
ACH-000266,-0.039033946777757435
ACH-000272,-0.03407532037559758
ACH-000274,-0.052419283338160635
ACH-000277,-0.08366931409071315
ACH-000278,-0.08096345539377263
ACH-000279,-0.02604512993455864
ACH-000280,0.010986103380539274
ACH-000281,-0.12363803989371296
ACH-000288,-0.14146933729889086
ACH-000291,-0.10303133476851424
ACH-000293,-0.046633880029459736
ACH-000294,0.028787508840756818
ACH-000295,-0.1822098708478825
ACH-000296,0.0009583007410987515
ACH-000302,-0.07917945768558604
ACH-000304,-0.07167782984051843
ACH-000307,-0.13865020178464504
ACH-000308,-0.11602579230525152
ACH-000310,0.012748411102582412
ACH-000311,-0.08571967774858817
ACH-000312,-0.06255959057753642
ACH-000315,-0.10391412541863382
ACH-000316,-0.02317593502914984
ACH-000317,-0.12570282926972964
ACH-000318,-0.017647285980086424
ACH-000319,-0.09993274167019824
ACH-000320,-0.256436520371994
ACH-000322,-0.1874282555715998
ACH-000323,-0.21868084954606248
ACH-000324,-0.09359361565052414
ACH-000329,-0.07149755702460607
ACH-000330,-0.17769327070635613
ACH-000331,-0.1363566668668601
ACH-000332,-0.11731014309473335
ACH-000334,0.02603190448743563
ACH-000335,0.11613228323458635
ACH-000336,0.02466269322741372
ACH-000337,-0.2566391192011613
ACH-000338,-0.06082597505198153
ACH-000339,-0.06918834586564629
ACH-000341,-0.15245508214417355
ACH-000348,-0.06559303544447953
ACH-000350,-0.08861430115573651
ACH-000352,0.023290720157461208
