,MYH7B (57644)
ACH-000004,-0.2950041936708265
ACH-000005,-0.1915557232568034
ACH-000007,0.06613344723549472
ACH-000009,-0.14654233850539794
ACH-000011,-0.01597430864091081
ACH-000012,0.03456889161827376
ACH-000013,0.03012094848338713
ACH-000014,-0.0173176673391324
ACH-000015,-0.1586042181838771
ACH-000017,-0.12608366687334688
ACH-000018,0.004722545112260825
ACH-000019,-0.03934712323790238
ACH-000021,-0.09235510948224114
ACH-000022,-0.12641827019442953
ACH-000025,-0.10405137732053013
ACH-000028,-0.09980409163064444
ACH-000030,-0.17291704874479316
ACH-000035,-0.1561941658281542
ACH-000036,-0.1330128535063917
ACH-000037,-0.042713349014769315
ACH-000039,-0.1958230242409136
ACH-000040,0.04069899717867498
ACH-000041,-0.018353093185333087
ACH-000042,-0.1556634729747488
ACH-000045,-0.053827246378618895
ACH-000047,0.025070246633666242
ACH-000052,0.09508682870176456
ACH-000053,-0.11679954302867955
ACH-000054,-0.020091021110642687
ACH-000055,-0.005533316323963511
ACH-000060,-0.18457834086355998
ACH-000067,-0.002107094713838405
ACH-000070,0.05881907862580085
ACH-000075,-0.2095191600528078
ACH-000078,-0.1343293233183293
ACH-000082,-0.161822959997517
ACH-000085,-0.290689235117408
ACH-000086,-0.053891448908135464
ACH-000087,-0.20132442926925334
ACH-000092,-0.113967422831007
ACH-000095,-0.03058515503493558
ACH-000097,-0.07768386052215735
ACH-000098,-0.015565460370493516
ACH-000099,-0.15930397922311998
ACH-000108,-0.07676347751359336
ACH-000113,-0.06819405498591806
ACH-000116,-0.2757727334624661
ACH-000118,-0.03350164418969087
ACH-000120,-0.11586371843744782
ACH-000123,-0.08735780439260102
ACH-000127,-0.1572429520982508
ACH-000128,-0.19921707494665328
ACH-000132,0.07076553465807052
ACH-000133,-0.20968729315103926
ACH-000137,0.004802083520837086
ACH-000138,-0.06627595123262403
ACH-000142,-0.005797702942742193
ACH-000143,-0.2933823261240166
ACH-000146,-0.035532552769989435
ACH-000148,-0.0009158428319719345
ACH-000150,-0.08946868197450254
ACH-000152,-0.014173304337521337
ACH-000153,-0.1357001207779955
ACH-000159,-0.17017538897728013
ACH-000160,-0.014940327061784981
ACH-000163,-0.1480946469289893
ACH-000167,-0.00948796414210037
ACH-000168,-0.1965065301929726
ACH-000169,-0.050750228802872915
ACH-000178,-0.10269303537160948
ACH-000183,-0.04591831444150634
ACH-000188,-0.025540730654984817
ACH-000189,-0.20344597561870395
ACH-000190,-0.20551036916081344
ACH-000198,-0.03789683314552876
ACH-000203,-0.03349230121203083
ACH-000204,0.256624297649112
ACH-000206,-0.2382287245860699
ACH-000207,-0.20148677612173432
ACH-000208,-0.048847250842736764
ACH-000210,-0.2960852301948906
ACH-000211,-0.029437356228638845
ACH-000215,-0.13336544531558145
ACH-000221,-0.20086367108624087
ACH-000222,-0.18353462148477606
ACH-000223,-0.05855117900250718
ACH-000226,-0.09287586280207306
ACH-000227,-0.05485001243000242
ACH-000228,-0.13607459979927658
ACH-000231,-0.15164901801180486
ACH-000232,-0.19120832871282745
ACH-000233,-0.09750009638891567
ACH-000234,-0.1204136956831647
ACH-000235,-0.09285733802407747
ACH-000237,-0.05194105678623899
ACH-000238,-0.09646814401049182
ACH-000242,-0.39302737468315385
ACH-000243,-0.02145226335233096
ACH-000244,-0.042431663188987334
ACH-000246,-0.09662953118924332
ACH-000248,-0.2818518000329033
ACH-000250,-0.08907331369758756
ACH-000251,0.043672680841412
ACH-000252,0.09573172580912463
ACH-000253,-0.13650429548681448
ACH-000255,-0.3791384883700709
ACH-000256,-0.12678076858505338
ACH-000257,-0.07960916007532443
ACH-000258,-0.0780740753451491
ACH-000259,-0.10996129997440478
ACH-000260,-0.15572277274672958
ACH-000261,-0.00872306914615027
ACH-000262,-0.12011854611469322
ACH-000263,-0.03370850817039446
ACH-000264,-0.17102542062436754
ACH-000265,-0.02718014938810752
ACH-000266,-0.014504837222365613
ACH-000272,-0.09000670868362409
ACH-000274,-0.2040380640163504
ACH-000277,-0.35182318737006085
ACH-000278,0.034496728152112806
ACH-000279,0.03984770459680018
ACH-000280,-0.19426324149872795
ACH-000281,-0.10362291053564923
ACH-000288,-0.033035158486384206
ACH-000291,-0.10837277938555308
