,POGZ (23126)
ACH-000004,-0.37731327503221995
ACH-000005,-0.26258563748077324
ACH-000007,-0.34910397052179404
ACH-000009,-0.6173836289318475
ACH-000011,-0.33879466016821
ACH-000012,-0.525755751370508
ACH-000013,-0.3380428458809206
ACH-000014,-0.5310017088594172
ACH-000015,-0.4914462993643754
ACH-000017,-0.4507051539880632
ACH-000018,-0.36263482761624455
ACH-000019,-0.8392944702734519
ACH-000021,-0.5811502038325033
ACH-000022,-0.3745656750544025
ACH-000025,-0.4563395558436991
ACH-000028,-0.412444758583123
ACH-000030,-0.5366575357196255
ACH-000035,-0.4148258737917199
ACH-000036,-0.5137694894578549
ACH-000037,-0.636928482281565
ACH-000039,-0.3849575063878231
ACH-000040,-0.589202565880953
ACH-000041,-0.5223959966051562
ACH-000042,-0.4416453985423265
ACH-000045,-0.3867253577805025
ACH-000047,-0.24470674715350146
ACH-000052,-0.521591047280925
ACH-000053,-0.5405790052436099
ACH-000054,-0.5645410540828621
ACH-000055,-0.305199229864104
ACH-000060,-0.19253852308731648
ACH-000067,-0.7986380646074609
ACH-000070,-0.5933353240411027
ACH-000075,-0.7701991496977141
ACH-000078,-0.77868939405514
ACH-000082,-0.3549095537166989
ACH-000085,-0.405425537659923
ACH-000086,-0.564527381403414
ACH-000087,-0.41780165646464
ACH-000092,-0.4892129857279659
ACH-000095,-0.4977018344070388
ACH-000097,-0.5667963111623663
ACH-000098,-0.4036636568408373
ACH-000099,-0.4830615409915629
ACH-000108,-0.3447276656436365
ACH-000113,-0.4699664452624889
ACH-000116,-0.4054484102291254
ACH-000118,-0.3921811892457315
ACH-000120,-0.36978153880435777
ACH-000123,-0.3954765244892665
ACH-000127,-0.5694312227840339
ACH-000128,-0.3305548072468009
ACH-000132,-0.5614305075987256
ACH-000133,-0.5521155266759935
ACH-000137,-0.4177958186669478
ACH-000138,-0.4514371596685851
ACH-000142,-0.5863724080984201
ACH-000143,-0.2494738260521724
ACH-000146,-0.4185942312092698
ACH-000148,-0.5204623142266462
ACH-000150,-0.4969166638941497
ACH-000152,-0.44754367247246
ACH-000153,-0.3526546867169729
ACH-000159,-0.5198683765679278
ACH-000160,-0.4199414506183664
ACH-000163,-0.3784131253920713
ACH-000167,-0.8428880227074165
ACH-000168,-0.5846736212620101
ACH-000169,-0.4777186636245769
ACH-000178,-0.4425976428383101
ACH-000183,-0.23701181217793246
ACH-000188,-0.3335431920584672
ACH-000189,-0.6513135125389049
ACH-000190,-0.4277986209007778
ACH-000198,-0.6302990966311297
ACH-000203,-0.3954513041237079
ACH-000204,-0.5729448407390639
ACH-000206,-0.28274820240468
ACH-000207,-0.290382605163617
ACH-000208,-0.251447668947246
ACH-000210,-0.4318492043786269
ACH-000211,-0.4601490769922478
ACH-000215,-0.5444207843890038
ACH-000221,-0.4570142685161093
ACH-000222,-0.2894865927734907
ACH-000223,-0.5317827664575515
ACH-000226,-0.3523065034719573
ACH-000227,-0.4603823407255464
ACH-000228,-0.3642156952546931
ACH-000231,-0.5759680346881095
ACH-000232,-0.5475904378883988
ACH-000233,-0.4107792405810821
ACH-000234,-0.5363980683846326
ACH-000235,-0.548645232282778
ACH-000237,-0.36242161128509903
ACH-000238,-0.4488882720549864
ACH-000242,-0.620611864359707
ACH-000243,-0.4695773790909714
ACH-000244,-0.39301404887562025
ACH-000246,-0.5949342657258636
ACH-000248,-0.511332433169577
ACH-000250,-0.4880726479992285
ACH-000251,-0.4741698768909877
ACH-000252,-0.19168499332400266
ACH-000253,-0.7280225111384346
ACH-000255,-0.4412790419523705
ACH-000256,-0.4661153802826609
ACH-000257,-0.4759099182299146
ACH-000258,-0.4700012411912196
ACH-000259,-0.4503455349618682
ACH-000260,-0.5568135459991719
ACH-000261,-0.4800912195425216
ACH-000262,-0.26015055666430364
ACH-000263,-0.5345604147195883
ACH-000264,-0.6901718368517269
ACH-000265,-0.3389721851023971
ACH-000266,-0.5474302902007037
ACH-000272,-0.4598596037352676
ACH-000274,-0.5375973566477503
