,B2M (567)
ACH-000004,-0.08300739971523449
ACH-000005,0.1736069376750729
ACH-000007,-0.04981845710061039
ACH-000009,-0.036401812746481056
ACH-000011,-0.04310397155291288
ACH-000012,0.033429314988887286
ACH-000013,-0.013908082579636374
ACH-000014,-0.030215608502119795
ACH-000015,-0.009480538897986656
ACH-000017,0.08421122427064033
ACH-000018,0.015846762790780528
ACH-000019,0.09579536871774452
ACH-000021,0.08351284277134889
ACH-000022,-0.05783316609961734
ACH-000025,-0.05179610945115627
ACH-000028,0.07574895112467296
ACH-000030,-0.009501415175523923
ACH-000035,-0.12250947925780133
ACH-000036,0.02604124192055105
ACH-000037,-0.1059905582181712
ACH-000039,-0.007835189770520534
ACH-000040,0.08591360686244423
ACH-000041,0.12777011652659542
ACH-000042,-0.05587110980713346
ACH-000045,0.1435652793182147
ACH-000047,-0.04216712795460036
ACH-000052,-0.07427014558598846
ACH-000053,-0.058459120147752626
ACH-000054,-0.01662827805667765
ACH-000055,0.00920156342498642
ACH-000060,-0.15068515358616513
ACH-000067,0.032803188817160586
ACH-000070,0.09342595357796038
ACH-000075,-0.04493952168057752
ACH-000078,0.15132292210368115
ACH-000082,-0.02841714226617027
ACH-000085,0.03284310173586188
ACH-000086,0.001128268461782498
ACH-000087,0.11865651786424322
ACH-000092,-0.1840080078365391
ACH-000095,-0.014599113551159225
ACH-000097,0.008573282103653792
ACH-000098,0.0682796869237931
ACH-000099,0.018852371220513583
ACH-000108,-0.05300958769002562
ACH-000113,-0.024043434510378
ACH-000116,-0.035370245648895224
ACH-000118,0.02979743063430438
ACH-000120,0.07069853006227085
ACH-000123,-0.09899591142648756
ACH-000127,-0.048528576863691435
ACH-000128,-0.03875926521630065
ACH-000132,0.019253980118224125
ACH-000133,0.08231376259337764
ACH-000137,0.034583109527074274
ACH-000138,-0.04940487279568217
ACH-000142,0.07701414580059288
ACH-000143,-0.14170051226255606
ACH-000146,-0.03862966909576855
ACH-000148,-0.03332235896480324
