,ELF2 (1998)
ACH-000004,-0.3734878941871727
ACH-000005,-0.2982983483911686
ACH-000007,-0.1680318428368477
ACH-000009,-0.33861666890815684
ACH-000011,-0.17629568669176948
ACH-000012,-0.1890771607530764
ACH-000013,-0.110214574062184
ACH-000014,-0.3078543365522275
ACH-000015,-0.3733275715382752
ACH-000017,-0.09780005233699264
ACH-000018,-0.4754479327604647
ACH-000019,0.041045074486287705
ACH-000021,-0.07943778595016864
ACH-000022,-0.17548845437665925
ACH-000025,-0.2319892859975921
ACH-000028,-0.13341060359394666
ACH-000030,-0.19224742709445972
ACH-000035,-0.13603541407236
ACH-000036,-0.3171351046063755
ACH-000037,-0.08311667749589753
ACH-000039,0.2476944648158416
ACH-000040,-0.09890545033517742
ACH-000041,-0.06209528152787835
ACH-000042,-0.29222869403460344
ACH-000045,-0.06670806557325999
ACH-000047,-0.3689818658774972
ACH-000052,-0.09261238320887236
ACH-000053,-0.12291732690204638
ACH-000054,-0.19600105599634
ACH-000055,-0.029099782693351776
ACH-000060,-0.3837004310960349
ACH-000067,-0.16501651773007672
ACH-000070,-0.2064309238325048
ACH-000075,-0.20591948586436828
ACH-000078,-0.1440314291343445
ACH-000082,-0.17775111927762327
ACH-000085,-0.04716860129773001
ACH-000086,-0.20178071024522065
ACH-000087,0.032182556038694576
ACH-000092,-0.2513806944191809
ACH-000095,0.09239362815942967
ACH-000097,-0.35638133350266765
ACH-000098,-0.2729879698831213
ACH-000099,-0.17557922025662714
ACH-000108,-0.22187380590990935
ACH-000113,-0.19337176264535247
ACH-000116,-0.1910035525875825
ACH-000118,-0.15484872328674004
ACH-000120,-0.13677697875731196
ACH-000123,0.04940084206871943
ACH-000127,-0.374290193179504
ACH-000128,-0.3093615425831974
ACH-000132,-0.0639869978598225
ACH-000133,-0.22389855082074253
ACH-000137,-0.22922894531955665
ACH-000138,-0.2696545646316235
ACH-000142,0.0630217102456414
ACH-000143,0.04673426549829944
ACH-000146,-0.26142258974919674
ACH-000148,-0.07324921621590061
ACH-000150,-0.21032333322387267
ACH-000152,-0.1770566507150106
ACH-000153,-0.1365737551510903
ACH-000159,-0.17905654395387482
ACH-000160,-0.03130326837373028
ACH-000163,-0.28301449090301417
ACH-000167,-0.6503588228696867
ACH-000168,-0.3207639955886303
ACH-000169,-0.2616140159484641
ACH-000178,-0.2000415155685868
ACH-000183,-0.4283116513109007
ACH-000188,-0.04287909932010581
ACH-000189,-0.0017187549950623655
ACH-000190,-0.22017504231033816
ACH-000198,-0.03966839083366476
ACH-000203,-0.03622254716639898
ACH-000204,-0.2254850023816408
ACH-000206,-0.1818697661026628
ACH-000207,-0.2930117759195727
ACH-000208,-0.2777243265642041
ACH-000210,0.08754313634502695
ACH-000211,-0.2543949344314615
ACH-000215,-0.31341255763237497
ACH-000221,-0.02144810995996669
ACH-000222,-0.17592728868919022
ACH-000223,-0.1789169857523059
ACH-000226,-0.1303848616363493
ACH-000227,-0.18149255771142606
ACH-000228,-0.1129545372698299
ACH-000231,0.022175562976680458
ACH-000232,-0.2035053780887803
ACH-000233,-0.04540277144030972
ACH-000234,-0.14726399266147516
ACH-000235,-0.13328857101442215
ACH-000237,-0.16127948626100494
ACH-000238,-0.35562665541914945
ACH-000242,-0.3168687345949457
