,PARS2 (25973)
ACH-000004,-0.4690590317009363
ACH-000005,-0.36502358634895177
ACH-000007,-0.4773229168948904
ACH-000009,-0.5716920525946851
ACH-000011,-0.2769615550331726
ACH-000012,-0.5300094554554947
ACH-000013,-0.6102621097077077
ACH-000014,-0.5188920570571729
ACH-000015,-0.6148319221493729
ACH-000017,-0.5075724362548969
ACH-000018,-0.6512144113809561
ACH-000019,-0.5307293305579485
ACH-000021,-0.4876279343477962
ACH-000022,-0.6388222930929047
ACH-000025,-0.6719332165761017
ACH-000028,-0.6029637971932101
ACH-000030,-0.3963101810801365
ACH-000035,-0.5990497986994711
ACH-000036,-0.3313248121247876
ACH-000037,-0.41203593239185615
ACH-000039,-0.19927127003980166
ACH-000040,-0.20564597332070156
ACH-000041,-0.3855210863452423
ACH-000042,-0.3719341234066742
ACH-000045,-0.4693747098706268
ACH-000047,-0.6592652217730095
ACH-000052,-0.3798152351661215
ACH-000053,-0.4456724569569105
ACH-000054,-0.3727525001508591
ACH-000055,-0.3788342208437751
ACH-000060,-0.43371307327323655
ACH-000067,-0.19334919350681432
ACH-000070,-0.5829960966942727
ACH-000075,-0.37160347999071214
ACH-000078,-0.04431501935291166
ACH-000082,-0.42928471355535003
ACH-000085,-0.12512589376603214
ACH-000086,-0.5254880597590132
ACH-000087,-0.4706264054328956
ACH-000092,-0.5698626304396986
ACH-000095,-0.40162674654395103
ACH-000097,-0.4447588193878647
ACH-000098,-0.6517380025684613
ACH-000099,-0.5069487455367514
ACH-000108,-0.4017150316409021
ACH-000113,-0.5737259020713693
ACH-000116,-0.44825327648921215
ACH-000118,-0.6087321642261113
ACH-000120,-0.7384642002128224
ACH-000123,-0.5283010787889169
ACH-000127,-0.8811605675229514
ACH-000128,-0.554982470844286
ACH-000132,-0.2737362775507504
ACH-000133,-0.2953213130302238
ACH-000137,-0.3273808065450566
ACH-000138,-0.6472027612039403
ACH-000142,-0.4263232315000319
ACH-000143,-0.495582216476173
ACH-000146,-0.400187188323524
ACH-000148,-0.7147595627440093
ACH-000150,-0.644713846158975
ACH-000152,-0.5976119595981257
ACH-000153,-0.4975828420492587
ACH-000159,-0.3013812272969573
ACH-000160,-0.39325773631998695
ACH-000163,-0.4982683006573148
ACH-000167,-0.2077832838114569
ACH-000168,-0.27998631681842306
ACH-000169,-0.4165129186283944
ACH-000178,-0.41759577042402896
ACH-000183,-0.6674484611135164
ACH-000188,-0.518100705347223
ACH-000189,-0.5538138174073701
ACH-000190,-1.0229625052973441
ACH-000198,-0.5750717139606148
ACH-000203,-0.7093442917818361
ACH-000204,-0.4051716011987097
ACH-000206,-0.6536645159897146
ACH-000207,-0.5529222424671535
ACH-000208,-0.2671383797638027
ACH-000210,-0.8181190622919676
ACH-000211,-0.27683465155237713
ACH-000215,-0.4679815617662416
ACH-000221,-0.9619928054780073
ACH-000222,-0.4040025124294686
ACH-000223,-0.5162757292394238
ACH-000226,-0.6106394000308198
ACH-000227,-0.3798134499591608
ACH-000228,-0.4793667856047284
ACH-000231,-0.5936097843204947
ACH-000232,-0.7312010000271405
ACH-000233,-0.49012264492647295
ACH-000234,-0.3438535689513415
ACH-000235,-0.6001341957464381
ACH-000237,-0.2461505113497819
ACH-000238,-0.6387792612620345
ACH-000242,-0.6237956286903603
ACH-000243,-0.5129240999122968
ACH-000244,-0.4850751039833288
ACH-000246,-0.6378875169753461
ACH-000248,-1.1013827408539092
ACH-000250,-0.3455384194499798
ACH-000251,-0.43371419190503896
ACH-000252,-0.27891768659186383
ACH-000253,-0.1487674082189473
ACH-000255,-0.6201854250022976
ACH-000256,-0.04365025094464755
ACH-000257,-0.5661876548567297
ACH-000258,-0.3672397717788349
ACH-000259,-0.3903400097394416
ACH-000260,-0.5444083540488522
ACH-000261,-0.34477195637373537
ACH-000262,-0.5896024371294765
ACH-000263,-0.17466752811449046
ACH-000264,-0.4518763183188727
ACH-000265,-0.4419235937210083
ACH-000266,-0.33287565825428617
ACH-000272,-0.5616903678626584
ACH-000274,-0.5010433442583694
ACH-000277,-0.4646475138425078
ACH-000278,-0.3563745652479637
ACH-000279,-0.5501579973934274
ACH-000280,-0.6646590425173653
ACH-000281,-0.5303206434822897
ACH-000288,-0.5557846156391835
ACH-000291,-0.4718299636766684
ACH-000293,-0.5841380090364109
ACH-000294,-0.4983558811493866
ACH-000295,-0.2604479677541449
ACH-000296,-0.5912137085179666
ACH-000302,-0.449969237855025
ACH-000304,-0.536656218473814
ACH-000307,-0.4726093466758116
ACH-000308,-0.34809987656796115
ACH-000310,-0.3531227480336479
ACH-000311,-0.6406088845821342
ACH-000312,-0.6107307413048166
ACH-000315,-0.6337708353938091
ACH-000316,-0.5812349528024756
ACH-000317,-0.8522608941795319
ACH-000318,-0.6897061355110959
ACH-000319,-0.5798921509234551
ACH-000320,-0.7077279804355228
ACH-000322,-0.7014943884997616
ACH-000323,-0.5671706240825787
ACH-000324,-0.29261073476985944
ACH-000329,-0.527949053466824
ACH-000330,-0.4711341076303498
ACH-000331,-0.4407212456686155
ACH-000332,-0.3185242125608118
ACH-000334,-0.6642585982128629
ACH-000335,-0.5050985711154563
ACH-000336,-0.32959241808234563
ACH-000337,-0.6388733931984348
ACH-000338,-0.42994817552966574
ACH-000339,-0.5365577560082956
ACH-000341,-0.63511824369272
ACH-000348,-0.5344266729317991
ACH-000350,-0.4232837069485038
ACH-000352,-0.3761089264996889
ACH-000356,-0.32313776883253803
ACH-000361,-0.5777795945119019
ACH-000362,-0.1673286904802239
ACH-000363,-0.43996515567092936
ACH-000364,-0.5760078683013017
ACH-000365,-0.3873724225787931
ACH-000366,-0.5815733339671892
ACH-000368,-0.5273472383266402
ACH-000374,-0.31108245059191153
ACH-000375,-0.34893777703547346
ACH-000376,-0.5376045539002344
ACH-000381,-0.6505191666080986
ACH-000383,-0.4992000182426317
ACH-000387,-0.3572929917038457
ACH-000389,-0.09836225829852653
ACH-000390,-0.4612994040843554
ACH-000393,-0.44246482126253817
ACH-000395,-0.4238522822235685
ACH-000396,-0.8747955646440899
ACH-000397,-0.18785428222144407
ACH-000401,-0.5352378245003725
ACH-000402,-0.7207541155114804
ACH-000403,-0.4662880672527867
ACH-000404,-0.2685848259113903
ACH-000406,-0.6504670953728984
ACH-000407,-0.3702634508455233
ACH-000408,-0.6627848873392966
ACH-000410,-0.3217104547177462
ACH-000411,-0.3451075526026049
ACH-000414,-0.16654361762416672
ACH-000415,-0.6831865892171689
ACH-000416,-0.2783011783717492
ACH-000420,-0.5224752809881643
ACH-000421,-0.5669387846396045
ACH-000424,-0.6491430853708497
ACH-000425,-0.41157250325766936
ACH-000426,-0.7871818487678229
ACH-000427,-0.4916353237339928
ACH-000433,-0.5369345170787561
ACH-000435,-0.687649546345661
ACH-000436,-0.2514148027830831
ACH-000444,-0.6350292994793524
ACH-000445,-0.4941867217568001
ACH-000448,-0.4297902889009896
ACH-000450,-0.5277385445835595
ACH-000452,-0.4510730262125359
ACH-000454,-0.985073878985758
ACH-000458,-0.5473558914569773
ACH-000459,-1.0580388011918531
ACH-000460,-0.44652082654046
ACH-000461,-0.6350431966189117
ACH-000463,-0.3867054662644321
ACH-000464,-0.5347011699643232
ACH-000466,-0.35143035641890297
ACH-000467,-0.6866028623674006
ACH-000468,-0.4881417464254638
ACH-000469,-0.7701977017509892
ACH-000470,-0.44905388454105816
ACH-000471,-0.3382260336363864
ACH-000472,-0.4458748031158085
ACH-000473,-0.6877019584883891
ACH-000475,-0.3617556863743236
ACH-000476,-0.2870216998511139
ACH-000477,-0.4206068497458721
ACH-000479,-0.7893718496073372
ACH-000480,-0.660135340523641
ACH-000481,-0.35486268021797984
ACH-000483,-0.3530073493749445
ACH-000484,-0.4471081476580933
ACH-000485,-0.34249469690795964
ACH-000486,-0.2983816463980964
ACH-000487,-0.6270165211677498
ACH-000488,-0.3055879300807027
ACH-000490,-0.5185219984508971
ACH-000491,-0.5153861467108407
ACH-000495,-0.3467391595321576
ACH-000496,-0.4508126750703892
ACH-000499,-0.8321542586987324
ACH-000500,0.2751688319808151
ACH-000502,-0.4990118702680277
ACH-000503,-0.7005671171896565
ACH-000505,-0.2255121566435147
ACH-000507,-0.5396323582302744
ACH-000510,-0.5863957276505972
ACH-000511,-0.5180050230635992
ACH-000512,-1.0836049762358522
ACH-000516,-0.3981396503002356
ACH-000517,-0.3757556993471352
ACH-000518,-0.7241331020169997
ACH-000520,-0.25994108682100786
ACH-000521,-0.4952244881192564
ACH-000522,-0.4188430800981808
ACH-000524,-0.3074724910416955
ACH-000527,-0.3260897946823781
ACH-000528,-0.3546655893865045
ACH-000537,-0.6193952375729648
ACH-000541,-0.4801980842930069
ACH-000542,-0.5076729493289528
ACH-000544,-0.8074698883579036
ACH-000545,-0.7450561962765072
ACH-000547,-0.73404092317081
ACH-000548,-0.4500574221446991
ACH-000549,-0.6130581296380366
ACH-000550,-0.5634680719521312
ACH-000552,-0.8382893588157296
ACH-000556,-0.4902477537780526
ACH-000557,-0.2927703470111756
ACH-000569,-0.5746727939927763
ACH-000570,-0.44877862347461417
ACH-000571,-0.4810205545559867
ACH-000573,-0.5697210269899353
ACH-000576,-0.18126092363162336
ACH-000579,-0.8226275286555004
ACH-000580,-0.3157151452871601
ACH-000584,-0.5301188601302894
ACH-000585,-0.4643828700580655
ACH-000588,-0.7976858262626352
ACH-000589,-0.7761251494250956
ACH-000591,-0.5766397942037923
ACH-000593,-0.6641126286555756
ACH-000600,-0.4159996187733539
ACH-000601,-0.5742558751111225
ACH-000605,-0.6867732474427375
ACH-000606,-0.6952186225680592
ACH-000608,-0.28025659566679595
ACH-000614,-0.7414143594846831
ACH-000616,-0.4753295063550474
ACH-000618,-0.41912413861932696
ACH-000619,-0.5379943797009608
ACH-000620,-0.6543442426977218
ACH-000621,-0.42697991915598105
ACH-000622,-0.5118112268109343
ACH-000623,-0.6014035814786222
ACH-000624,-0.3372424744765314
ACH-000627,-0.5776679892067953
ACH-000630,-0.758215194474022
ACH-000631,-0.2798575732193329
ACH-000632,-0.6665742390427651
ACH-000633,-0.6898177989759586
ACH-000637,-0.3894283846588708
ACH-000638,-0.42907569511438703
ACH-000646,-0.6158834505174444
ACH-000647,-0.6744660310945643
ACH-000648,-0.35864764135685634
ACH-000649,-0.5110507146024635
ACH-000651,-0.598489943687364
ACH-000652,-0.6067232271194462
ACH-000653,-0.24546663884592096
ACH-000657,-0.6239164447099076
ACH-000658,-0.4384162056519589
ACH-000661,-0.5068301964710085
ACH-000662,-0.3334587014533959
ACH-000663,-0.3930983902086086
ACH-000665,-0.2929360252434833
ACH-000671,-0.7564882472995216
ACH-000672,-0.9743696479088216
ACH-000673,-0.33321951156817475
ACH-000676,-0.6765802585678061
ACH-000677,-1.0625618074758276
ACH-000681,-0.67578803243706
ACH-000683,-0.5184842358952844
ACH-000684,-0.4893760505032694
ACH-000688,-0.38970555928836975
ACH-000693,-0.4797852662257894
ACH-000694,-0.4572502527050476
ACH-000695,-0.5870687553673553
ACH-000696,-0.627575899886002
ACH-000697,-0.3422983670383765
ACH-000699,-0.3537682050656448
ACH-000701,-0.4049187340264551
ACH-000706,-0.7593466561912015
ACH-000711,-0.3323254293400872
ACH-000713,-0.670859385250114
ACH-000714,-0.5807087690534857
ACH-000718,-0.6735131959228908
