,FJX1 (24147)
ACH-000004,-0.015967368003369533
ACH-000005,-0.09039143459395173
ACH-000007,0.03366291907938064
ACH-000009,-0.016330288635911766
ACH-000011,-0.11939693143711705
ACH-000012,-0.014412430490508782
ACH-000013,-0.14571345473054126
ACH-000014,-0.09317854360237107
ACH-000015,6.371139342996108e-06
ACH-000017,0.021500098165082374
ACH-000018,-0.2092879388874128
ACH-000019,-0.07803588449305951
ACH-000021,-0.0693317009157985
ACH-000022,-0.09518745064457028
ACH-000025,-0.22845090365173185
ACH-000028,-0.11950273210297015
ACH-000030,-0.15152030257390112
ACH-000035,-0.04028115241401491
ACH-000036,-0.14444138226369638
ACH-000037,-0.09432030358773306
ACH-000039,-0.00026277716667174613
ACH-000040,-0.2897789674763188
ACH-000041,0.04409620338239408
ACH-000042,-0.0735118867579101
ACH-000045,0.02999039156164988
ACH-000047,-0.08839812654370342
ACH-000052,-0.124328762594418
ACH-000053,-0.01435989696096908
ACH-000054,0.009076870826302609
ACH-000055,-0.0940957707395712
ACH-000060,-0.10334085270260217
ACH-000067,0.0786976233301382
ACH-000070,-0.07993818982310086
ACH-000075,-0.3394208710389684
ACH-000078,-0.03057465193283672
ACH-000082,-0.150620790158552
ACH-000085,-0.10715491916379843
ACH-000086,-0.1819908553351829
ACH-000087,-0.17054155837217996
ACH-000092,-0.074308242682682
ACH-000095,-0.12270299595178576
ACH-000097,-0.13280144639706234
ACH-000098,-0.17312235563306302
ACH-000099,-0.06130287780133919
ACH-000108,0.09284451529115853
ACH-000113,0.04083369670075319
ACH-000116,-0.01175860585730339
ACH-000118,0.009109023936600388
ACH-000120,-0.026441253439404525
ACH-000123,-0.02134731376198917
ACH-000127,-0.10247724853450847
ACH-000128,0.168941281267961
ACH-000132,-0.17704208879168234
ACH-000133,-0.1908823401756609
ACH-000137,-0.13659974045922627
ACH-000138,-0.010890731793680893
ACH-000142,0.021495103707943775
ACH-000143,-0.09988669586342826
ACH-000146,-0.09668906586028887
ACH-000148,0.003354385024408309
ACH-000150,-0.18271578532680435
ACH-000152,-0.06355854362548552
ACH-000153,-0.040712786657751215
ACH-000159,-0.008702997685878755
ACH-000160,-0.05310267458329554
ACH-000163,0.1600182435653924
ACH-000167,0.04209146373172126
ACH-000168,0.12943226826034665
ACH-000169,-0.12926002996851432
ACH-000178,-0.04213864991781266
ACH-000183,-0.0449490828545394
ACH-000188,-0.0583896941353784
ACH-000189,-0.020802501852123186
ACH-000190,-0.1156510967057648
ACH-000198,-0.03677411043673303
ACH-000203,-0.4876003008785146
ACH-000204,-0.10072536425937728
ACH-000206,-0.15345902755372762
ACH-000207,-0.2834463661173532
ACH-000208,-0.020208014214868317
ACH-000210,-0.07867037810625467
ACH-000211,-0.038558160397204534
ACH-000215,-0.06425338096506257
ACH-000221,-0.1115431745622689
ACH-000222,-0.11093889659609517
ACH-000223,-0.07084148551117797
ACH-000226,-0.12359940125057395
ACH-000227,-0.06202905194723285
ACH-000228,0.002965585263297995
ACH-000231,-0.1676876011229622
ACH-000232,-0.2807206946474552
ACH-000233,-0.16570162633629082
ACH-000234,-0.14165605588154598
ACH-000235,-0.1026303763306511
ACH-000237,-0.12646001088424574
ACH-000238,0.07554609431306633
ACH-000242,0.11630181366268864
ACH-000243,-0.0994901208662226
ACH-000244,-0.05523077708354724
ACH-000246,-0.05364428323009126
ACH-000248,-0.09726048969601417
ACH-000250,0.0032805710091196047
ACH-000251,-0.015614417691727937
ACH-000252,0.12419639546812455
ACH-000253,-0.1777049389183984
ACH-000255,-0.23320808260180975
ACH-000256,-0.10957804654309193
ACH-000257,-0.1638156057157807
ACH-000258,-0.05780646293599745
ACH-000259,-0.028891292237352637
ACH-000260,-0.1433486197593033
ACH-000261,-0.14605352399646426
ACH-000262,0.11086014061549493
ACH-000263,-0.09589492099124243
ACH-000264,-0.06602422780116256
ACH-000265,-0.11157669778662754
ACH-000266,-0.11338405906736646
ACH-000272,-0.01648107607990721
ACH-000274,-0.10161900031783154
ACH-000277,0.07095320070658273
ACH-000278,-0.13438193165467013
ACH-000279,-0.012709166123004208
ACH-000280,-0.0020648566159017718
ACH-000281,-0.04404781120747352
ACH-000288,-0.06946245980707237
ACH-000291,-0.1890667924131104
ACH-000293,-0.13646972233704066
ACH-000294,0.010185202503059713
