,NDE1 (54820)
ACH-000004,-0.6866352021397273
ACH-000005,-0.6024365497624353
ACH-000007,-0.4656697256341801
ACH-000009,-0.8268434945685798
ACH-000011,-0.5766824825458735
ACH-000012,-0.2646397787837189
ACH-000013,-0.6864466575649093
ACH-000014,-0.4085373191345169
ACH-000015,-0.7591107940524561
ACH-000017,-0.720487571105504
ACH-000018,-0.4871064283727006
ACH-000019,-0.3393182860562932
ACH-000021,-0.2435888964886764
ACH-000022,-0.7767970444430978
ACH-000025,-0.1918223760601532
ACH-000028,-0.2603338255127898
ACH-000030,-0.2565556756505565
ACH-000035,-0.3419431995732813
ACH-000036,-0.3026881013482077
ACH-000037,-0.36369215771661023
ACH-000039,-0.6959600121022677
ACH-000040,-0.6427957547858033
ACH-000041,-0.5173040096354993
ACH-000042,-1.0119792286316889
ACH-000045,-0.24995633489974245
ACH-000047,-0.4222320609531458
ACH-000052,-0.21624729642133014
ACH-000053,-0.8507237260427789
ACH-000054,-0.2736242375083881
ACH-000055,-0.6535771553510222
ACH-000060,-0.7309713000738499
ACH-000067,-0.4869224352266312
ACH-000070,-0.4357948731267152
ACH-000075,-0.23233315549132194
ACH-000078,-0.9593687742127542
ACH-000082,-0.3402837527252697
ACH-000085,-0.9548375113351988
ACH-000086,-0.09663434735902278
ACH-000087,-0.32956931938748074
ACH-000092,-0.1738912277880501
ACH-000095,-0.3774346534956584
ACH-000097,-0.6657024586653011
ACH-000098,-0.6275754324459959
ACH-000099,-0.6119256849295052
ACH-000108,-0.4245454346548014
ACH-000113,-0.3045222674252259
ACH-000116,-0.7206892613562579
ACH-000118,-0.3413030013152396
ACH-000120,-0.6096783144427416
ACH-000123,-0.6252142229094976
ACH-000127,-0.7808766488724838
ACH-000128,-0.3455537096771207
ACH-000132,-0.13840481574311309
ACH-000133,-0.3279135602155018
ACH-000137,-0.2158317902790801
ACH-000138,-1.002544271461451
ACH-000142,-0.6692566953669622
ACH-000143,-0.7363594887858653
ACH-000146,-0.648237098023442
ACH-000148,-0.5134939211718029
ACH-000150,-0.3609379664211534
ACH-000152,-0.4835213132520079
ACH-000153,-0.7371478670495608
ACH-000159,-0.3094524437538666
ACH-000160,-0.3063556236678633
ACH-000163,-0.0695856208337941
ACH-000167,-0.6376873409413004
ACH-000168,-0.31666448029262145
ACH-000169,-0.7402165888860505
ACH-000178,-0.7993736598224535
ACH-000183,-0.3269299411702701
ACH-000188,-0.5775832409684378
ACH-000189,0.13332411625475374
ACH-000190,-0.4874007420759314
ACH-000198,-0.19704686285219894
ACH-000203,-0.5171191725947286
ACH-000204,-0.23332285500925504
ACH-000206,-0.3989273256508988
ACH-000207,-0.3114705286748471
ACH-000208,-0.4071568284166199
ACH-000210,-0.4334385418921046
ACH-000211,-0.23005052959352176
ACH-000215,-0.3198000158211571
ACH-000221,-0.8982968404405228
