,QRSL1 (55278)
ACH-000004,-0.428670871665425
ACH-000005,-0.486390929589564
ACH-000007,-0.6252167449852021
ACH-000009,-0.4720793202062913
ACH-000011,-0.16638324933805435
ACH-000012,-0.7661270952000767
ACH-000013,-0.4736892971909344
ACH-000014,-0.44632153674583613
ACH-000015,-0.5488394045326271
ACH-000017,-0.4134663004065784
ACH-000018,-0.7787039162496415
ACH-000019,-0.5459248164811401
ACH-000021,-0.4349739606709819
ACH-000022,-0.5161684107855212
ACH-000025,-0.6575672786926262
ACH-000028,-0.5016138509006371
ACH-000030,-0.5929485804356679
ACH-000035,-0.8571771397761999
ACH-000036,-0.07549934523719501
ACH-000037,-0.4941123922644086
ACH-000039,-0.34545350482528725
ACH-000040,-0.3505613490928034
ACH-000041,-0.4807642542557254
ACH-000042,-0.41861058679180196
ACH-000045,-0.3064037003724705
ACH-000047,-0.6881206782022731
ACH-000052,-0.28302734595295903
ACH-000053,-0.3255322911456731
ACH-000054,-0.5178489157562594
ACH-000055,-0.4854537130297582
ACH-000060,-0.4093563871461705
ACH-000067,-0.3137734105359884
ACH-000070,-0.8025598018449727
ACH-000075,-0.3876025283581475
ACH-000078,-0.3849747296331005
ACH-000082,-0.24440320669000756
ACH-000085,-0.4631253269776468
ACH-000086,-0.8016735336983873
ACH-000087,-0.4872901807888835
ACH-000092,-0.1943358527688202
ACH-000095,-0.17636689481854925
ACH-000097,-0.3857240870834697
ACH-000098,-0.3473558781369168
ACH-000099,-0.5622301067537941
ACH-000108,-0.3187731171446675
ACH-000113,-0.3896234964380533
ACH-000116,-0.4425662434839273
ACH-000118,-0.7538772265494434
ACH-000120,-0.32767136701262684
ACH-000123,-0.5095022476524509
ACH-000127,-0.7754768776912156
ACH-000128,-0.63942182795513
ACH-000132,-0.4236428995653245
ACH-000133,-0.3469580732655889
ACH-000137,-0.3709415681652091
ACH-000138,-0.5849454529062014
ACH-000142,-0.2436778354621006
ACH-000143,-0.6121916038264923
ACH-000146,-0.3760943281585107
ACH-000148,-0.6040939477783427
ACH-000150,-0.5954711894829751
ACH-000152,-0.18884316534490872
ACH-000153,-0.4339909163459632
ACH-000159,-0.3104918911972008
ACH-000160,-0.5447114675986661
ACH-000163,-0.4445010563351645
ACH-000167,-0.05092204430265402
ACH-000168,-0.34742306457268
ACH-000169,-0.3408340560748236
ACH-000178,-0.5129515760033929
ACH-000183,-0.5675931018605088
ACH-000188,-0.2700734474062592
ACH-000189,-0.7594743466438534
ACH-000190,-1.0804535228260392
ACH-000198,-0.3742998273313848
ACH-000203,-0.22386818585854226
ACH-000204,-0.7302366968521384
ACH-000206,-0.16594219888945075
ACH-000207,-0.5792017337732251
ACH-000208,-0.2182174274008485
ACH-000210,-0.4771809165785839
ACH-000211,-0.4649033436816295
ACH-000215,-0.5721004951383505
ACH-000221,-0.9130067731220666
ACH-000222,-0.499272009163858
ACH-000223,-0.4453573653357708
ACH-000226,-0.5881355875823562
ACH-000227,-0.4068270320374958
ACH-000228,-0.4486326047106737
ACH-000231,-0.616458755883405
ACH-000232,-0.4888491827787756
ACH-000233,-0.4279174811833276
ACH-000234,-0.4260542736815643
ACH-000235,-0.4418053045380471
ACH-000237,-0.03292108708901716
ACH-000238,-0.4978923986839289
ACH-000242,-0.5838397899437601
ACH-000243,-0.3366881235854827
ACH-000244,-0.483614999229857
ACH-000246,-0.5713619975381788
ACH-000248,-0.7710737323220584
ACH-000250,-0.21615667447811449
ACH-000251,-0.6007120932723332
ACH-000252,-0.5820710449954835
ACH-000253,-0.38537868291998695
ACH-000255,-0.377062549670642
ACH-000256,-0.10472979107861788
ACH-000257,-0.5596643417308851
ACH-000258,-0.3510375049245695
ACH-000259,-0.7265620991346582
ACH-000260,-0.3470901274871955
ACH-000261,-0.5720243910425911
ACH-000262,-0.3994975156544868
ACH-000263,-0.36498678664987627
ACH-000264,-0.4746644793760936
ACH-000265,-0.4921789540079001
ACH-000266,-0.2490538768041173
ACH-000272,-0.30711737234319825
ACH-000274,-0.3700131987952533
ACH-000277,-0.4765457979805328
ACH-000278,-0.14518311947944776
ACH-000279,-0.9173158781651678
ACH-000280,-0.3962304876200535
ACH-000281,-0.7587099352478581
ACH-000288,-0.7450203888536102
ACH-000291,-0.3879507465528489
ACH-000293,-0.3511779023034056
ACH-000294,-0.6064717840344509
ACH-000295,-0.5620828952444156
ACH-000296,-0.6029519589010657
ACH-000302,-0.4492216326719299
ACH-000304,-0.6983890034356871
ACH-000307,-0.5914080904549103
ACH-000308,-0.3888854599823864
ACH-000310,-0.2559607899060941
ACH-000311,-0.4826866354672373
ACH-000312,-0.5850714279736293
ACH-000315,-0.5171295381437709
ACH-000316,-0.4976836660029152
ACH-000317,-1.1307946337237051
ACH-000318,-0.27960996168205393
ACH-000319,-0.2863858641424764
ACH-000320,-0.6491252715680105
ACH-000322,-0.3730983246072455
ACH-000323,-0.6502532988623231
ACH-000324,-0.4101526245195515
ACH-000329,-0.5832013494599394
ACH-000330,-0.3779327238994689
ACH-000331,-0.5730169533487544
ACH-000332,-0.12197136525105955
ACH-000334,-0.3549543759655352
ACH-000335,-0.4462402647845918
ACH-000336,-0.5686723099210357
ACH-000337,-0.5131149349779291
ACH-000338,-0.9951135531142514
ACH-000339,-0.5300650287896252
ACH-000341,-0.5492753327232603
ACH-000348,-0.3674064906700957
ACH-000350,-0.40645865141860654
ACH-000352,-0.4906441331636399
ACH-000356,-0.6854218246803773
ACH-000361,-0.21149059148730195
ACH-000362,-0.2400598010780961
ACH-000363,-0.4285472235378152
ACH-000364,-0.6154294573554026
ACH-000365,-0.6396473515934386
ACH-000366,-0.2353014909529937
ACH-000368,-0.4211695684580942
ACH-000374,-0.7628991664591349
ACH-000375,-0.28015144763619965
ACH-000376,-0.9300638900381232
ACH-000381,-0.3731015196124571
ACH-000383,-0.4937031440734704
ACH-000387,-0.3971677294325815
ACH-000389,-0.3044943978345914
ACH-000390,-0.4572854975996507
ACH-000393,-0.3724607199221682
ACH-000395,-0.33198627268136016
ACH-000396,-0.561938827001333
ACH-000397,-0.3930521006337362
ACH-000401,-0.4781461308311072
ACH-000402,-0.5814085944789131
ACH-000403,-0.3427400998898694
ACH-000404,-0.7532726201445269
ACH-000406,-0.6798326110023359
ACH-000407,-0.5289493531102801
ACH-000408,-0.6658386734302789
ACH-000410,-0.4677355030998853
ACH-000411,-0.16845589350684534
ACH-000414,-0.4201583761860362
ACH-000415,-0.5689350478562473
ACH-000416,-0.2894088882878613
ACH-000420,-0.39691522767556586
ACH-000421,-0.4292307638879129
ACH-000424,-0.6959490180602813
ACH-000425,-0.4414918229181828
ACH-000426,-0.2622176664526106
ACH-000427,-0.6116706969411183
ACH-000433,-0.4039568212307799
ACH-000435,-0.874943543410994
ACH-000436,-0.27911895506744056
ACH-000444,-0.5592299744911198
ACH-000445,-0.4270786002262624
ACH-000448,-0.1318839143140202
ACH-000450,-0.4140149329098881
ACH-000452,-0.41881640628545136
ACH-000454,-0.9186664266969364
ACH-000458,-0.791198650262581
ACH-000459,-0.6937399478431219
ACH-000460,-0.4300433441158569
ACH-000461,-0.8936893175780664
ACH-000463,-0.4110844545756482
ACH-000464,-0.18335559457893333
ACH-000466,-0.6535490569890166
ACH-000467,-0.7200468076179509
ACH-000468,-0.5515453597309973
ACH-000469,-0.6828654258164574
ACH-000470,-0.4892619460858868
ACH-000471,-0.1677184423454707
ACH-000472,-0.4711127332126786
ACH-000473,-0.6769671469311475
ACH-000475,-0.4096658945639936
ACH-000476,-0.7351636120681732
ACH-000477,-0.5280065925961149
ACH-000479,-0.7059618589543067
ACH-000480,-0.5490404543097445
ACH-000481,-0.3685278583042501
ACH-000483,-0.5917856917614797
ACH-000484,-0.3386202328411569
ACH-000485,-0.5395651410817971
ACH-000486,-0.5731372430546342
ACH-000487,-0.7113705909071198
ACH-000488,-0.8332287913399811
ACH-000490,-0.3760180644473872
ACH-000491,-0.6645046574996841
ACH-000495,-0.3158770460931745
ACH-000496,-0.3823296507732519
ACH-000499,-0.6375702467470331
ACH-000500,-0.8884933837631034
ACH-000502,-0.2827978313436815
ACH-000503,-0.471176739973501
ACH-000505,-0.2080515310859582
ACH-000507,-0.6233158685920962
ACH-000510,-0.5223178884208336
ACH-000511,-0.32726883952387203
ACH-000512,-0.5123919428738032
ACH-000516,-0.2804903668777914
ACH-000517,-0.27449285177850485
ACH-000518,-0.6536920907054612
ACH-000520,-0.01992315352289513
ACH-000521,-0.40762658179623856
ACH-000522,-0.5180247457866576
ACH-000524,-0.27932828364576195
