,POLR3A (11128)
ACH-000004,-1.5403495207353797
ACH-000005,-1.5108703911318455
ACH-000007,-1.5040240001210516
ACH-000009,-1.4234201916919371
ACH-000011,-1.0190206789881868
ACH-000012,-1.4868873083078868
ACH-000013,-1.292598944927055
ACH-000014,-1.571695347643376
ACH-000015,-1.442422184359465
ACH-000017,-1.3383369877597069
ACH-000018,-1.4596422286447714
ACH-000019,-1.3345854343315766
ACH-000021,-1.3924364425726576
ACH-000022,-1.3514325343796876
ACH-000025,-1.3673110879995347
ACH-000028,-1.2400185752481967
ACH-000030,-1.5538707256151814
ACH-000035,-1.2901990673166497
ACH-000036,-1.291164278973408
ACH-000037,-1.6336671408941046
ACH-000039,-1.3628868389618265
ACH-000040,-1.3522001620980022
ACH-000041,-1.3365913792036854
ACH-000042,-1.5844763655387144
ACH-000045,-1.3361813943537184
ACH-000047,-1.379939172680696
ACH-000052,-1.7989534984440783
ACH-000053,-1.444247608198485
ACH-000054,-1.342338132734454
ACH-000055,-1.4198799175677952
ACH-000060,-1.3576872085489822
ACH-000067,-1.562438862010311
ACH-000070,-1.3445365596539642
ACH-000075,-1.5471579747218625
ACH-000078,-1.4873575392316505
ACH-000082,-1.5020025388498175
ACH-000085,-1.196623623656082
ACH-000086,-1.2980359794148335
ACH-000087,-1.2684582611416195
ACH-000092,-1.4791127941483595
ACH-000095,-1.5967511894241382
ACH-000097,-1.454032881162478
ACH-000098,-1.4084733771305968
ACH-000099,-1.4681831416854465
ACH-000108,-1.3738378846669752
ACH-000113,-1.3854934659067395
ACH-000116,-1.3949454318936194
ACH-000118,-1.1062600604184596
ACH-000120,-1.439052801666996
ACH-000123,-1.4157284067258913
ACH-000127,-1.435501981743203
ACH-000128,-1.4571826117181064
ACH-000132,-1.43854622082054
ACH-000133,-1.3213315414117903
ACH-000137,-1.4538328955380966
ACH-000138,-1.2645391023896024
ACH-000142,-1.09156193096016
ACH-000143,-1.4909116146060184
ACH-000146,-1.5135594905482554
ACH-000148,-1.5294883310043152
ACH-000150,-1.3903299155907858
ACH-000152,-1.3917588139034736
ACH-000153,-1.5623703086433962
ACH-000159,-1.3640718205557458
ACH-000160,-1.119779486304873
ACH-000163,-1.4384998425007285
ACH-000167,-2.023059057021441
ACH-000168,-1.2970098280552715
