,RPIA (22934)
ACH-000004,-0.52914549020463
ACH-000005,-0.6848194760456293
ACH-000007,-0.5197812844018692
ACH-000009,-0.21384268474427207
ACH-000011,-0.5355865644579147
ACH-000012,-0.4045534261196743
ACH-000013,-0.054997580485675504
ACH-000014,-0.3070365564451121
ACH-000015,-0.3706101773164769
ACH-000017,-0.6889129348336851
ACH-000018,-0.5438652162734362
ACH-000019,-0.3650603342622082
ACH-000021,-0.3547796846983522
ACH-000022,-0.20165427344526832
ACH-000025,-0.8229606240941038
ACH-000028,-0.3740527995803189
ACH-000030,-0.7038040964632944
ACH-000035,-0.2932491611921984
ACH-000036,-0.4790734997078041
ACH-000037,-0.3682802977590165
ACH-000039,-0.16994650598036135
ACH-000040,-0.3194201400350754
ACH-000041,-0.5087402873161619
ACH-000042,-0.32749336417406144
ACH-000045,-0.5251274924785393
ACH-000047,-0.4292710114767885
ACH-000052,-0.21409092277477368
ACH-000053,-0.4059109850000627
ACH-000054,-0.18868487686361127
ACH-000055,-0.3770894927500919
ACH-000060,-0.1836483511468868
ACH-000067,-0.3301653168220713
ACH-000070,-0.3906334619852049
ACH-000075,-0.2061534608818308
ACH-000078,-0.2461688149210444
ACH-000082,-0.12594655043207562
ACH-000085,-0.6428131994733829
ACH-000086,-0.17922954655019846
ACH-000087,-0.5705630109322171
ACH-000092,-0.34444996928281385
ACH-000095,-0.06033344159106813
ACH-000097,-0.6721815560431703
ACH-000098,-0.10867218243198758
ACH-000099,-0.3539622471185134
ACH-000108,-0.480518992234262
ACH-000113,-0.3419340869303075
ACH-000116,-0.3081868726737573
ACH-000118,-0.16480116339967768
ACH-000120,-0.07562215947263808
ACH-000123,-0.18179563246252967
ACH-000127,-0.5299368556061205
ACH-000128,-0.3835647642898517
ACH-000132,-0.2598810834775962
ACH-000133,-0.34381901229283623
ACH-000137,-0.32594115032587434
ACH-000138,-0.5993350989986435
ACH-000142,-0.577100282122189
ACH-000143,-0.17476003860223596
ACH-000146,-0.483008642097903
ACH-000148,-0.1861640858663832
ACH-000150,-0.09241355676904997
ACH-000152,-0.413067142731358
ACH-000153,-0.077473456566765
ACH-000159,-0.5248572131513913
ACH-000160,-0.44855423192228794
ACH-000163,-0.3740706903935859
ACH-000167,-0.3995484250646496
ACH-000168,-0.1419901486008703
ACH-000169,-0.14151128308273467
ACH-000178,-0.7051231919302244
ACH-000183,-0.5812036767523505
ACH-000188,-0.4514392889407925
ACH-000189,-0.5922824404599814
ACH-000190,-0.1988749191891178
ACH-000198,-0.4585109777265882
ACH-000203,-1.0739258943578525
ACH-000204,0.014738540422381825
ACH-000206,-0.6127518296749659
ACH-000207,-0.4043980590345104
ACH-000208,-0.6233930657214846
ACH-000210,-0.055672281332207606
ACH-000211,-0.24075651328707054
ACH-000215,-0.2792791648363369
ACH-000221,-0.2654736859823036
ACH-000222,-0.4287996566127049
ACH-000223,-0.4236250913521446
ACH-000226,-0.6449909706913091
ACH-000227,-0.2660533042502918
ACH-000228,-0.16447803555063575
ACH-000231,-0.3034903515200864
ACH-000232,-0.08664087483450722
ACH-000233,-0.5383900178823731
ACH-000234,-0.5301186132941041
ACH-000235,-0.5244766760244568
ACH-000237,-0.32232961486048745
ACH-000238,-0.2002549668833888
ACH-000242,-0.1889112529208913
ACH-000243,-0.4514845246637774
ACH-000244,-0.3726105267400092
ACH-000246,-0.22615285621617345
ACH-000248,-0.6647825908861149
ACH-000250,-0.5547118352323502
ACH-000251,-0.5305176384095066
ACH-000252,-0.31443832324446125
ACH-000253,-0.5276183102772904
ACH-000255,-0.3968668841399085
ACH-000256,-0.32895576867773063
ACH-000257,-0.3169488720050677
ACH-000258,-0.5164187912048371
