,GCN1L1 (10985)
ACH-000004,-0.5766917345683195
ACH-000005,-0.5488574961152862
ACH-000007,-0.9648679211982528
ACH-000009,-0.7257944506195408
ACH-000011,-0.7522931120257825
ACH-000012,-0.6786667817291391
ACH-000013,-0.32874646972844
ACH-000014,-0.5686163523794512
ACH-000015,-0.4100637208439187
ACH-000017,-0.7128352405378227
ACH-000018,-0.5754676355076074
ACH-000019,-0.4016607695148001
ACH-000021,-0.5957740703532167
ACH-000022,-0.4887364605881007
ACH-000025,-0.8347017490432335
ACH-000028,-0.5653049385386876
ACH-000030,-0.6761000526593541
ACH-000035,-0.5269014302198948
ACH-000036,-0.7631971550559815
ACH-000037,-0.6314099032225156
ACH-000039,-1.102215205259222
ACH-000040,-0.3740544435184383
ACH-000041,-0.3861868727326596
ACH-000042,-0.4580676299781618
ACH-000045,-0.4587932673982941
ACH-000047,-0.1923271726830954
ACH-000052,-0.5819585424549658
ACH-000053,-0.6354715204548461
ACH-000054,-0.6698780192571685
ACH-000055,-0.7299658771381088
ACH-000060,-0.4460088827539154
ACH-000067,-0.5555298818644192
ACH-000070,-0.6789465736000073
ACH-000075,-1.0718339459377408
ACH-000078,-0.5624233807963349
ACH-000082,-0.5425517787470902
ACH-000085,-0.8106422889131203
ACH-000086,-0.6398044118285663
ACH-000087,-0.6110663562824984
ACH-000092,-0.4387847367888103
ACH-000095,-0.4291831808127425
ACH-000097,-0.35133222933448016
ACH-000098,-0.4756965342139257
ACH-000099,-0.4174085485995007
ACH-000108,-0.6372464040979836
ACH-000113,-0.4451975311237598
ACH-000116,-0.4759983541543028
ACH-000118,-0.5417926558253012
ACH-000120,-0.17850396938214588
ACH-000123,-0.6102457381303108
ACH-000127,-0.4905561112876788
ACH-000128,-0.6716750197900953
ACH-000132,-0.05487169173037874
ACH-000133,-0.5146304046877332
ACH-000137,-0.7587864032657493
ACH-000138,-0.8471796039419591
ACH-000142,-0.7374910368896472
ACH-000143,-0.5999683009287484
ACH-000146,-0.20382893471906816
ACH-000148,-0.701662370168304
ACH-000150,-0.6309245030799646
ACH-000152,-0.6340807233183758
ACH-000153,-0.7750437423309536
ACH-000159,-0.42979433158806624
ACH-000160,-0.5160385241616209
ACH-000163,-0.6716729003196826
ACH-000167,-0.6350643487469346
ACH-000168,-0.5699025601521913
ACH-000169,-0.3841952056425448
ACH-000178,-0.6460700752423019
ACH-000183,-0.6562116037556831
ACH-000188,-0.3697016885504679
ACH-000189,-0.35294134689300866
ACH-000190,-0.4799840759201104
ACH-000198,-0.715718144839261
ACH-000203,-0.4957339563223814
ACH-000204,-0.4011782625727521
ACH-000206,-0.4696978131190504
ACH-000207,-0.6060540038226271
ACH-000208,-0.4512927162325875
ACH-000210,-0.33747527743827505
ACH-000211,-1.064457012238651
ACH-000215,-0.43310305417535455
ACH-000221,-0.4193759499789559
ACH-000222,-0.7323634425008592
ACH-000223,-0.4809596021498348
ACH-000226,-0.7963466842077414
ACH-000227,-0.586530027695215
ACH-000228,-0.6521035919935542
ACH-000231,-0.36717923350445897
ACH-000232,-0.6197308139174822
ACH-000233,-0.3773546830735197
ACH-000234,-0.6068189946793479
