,BCKDHB (594)
ACH-000004,-0.2152983663414078
ACH-000005,0.22358140777434332
ACH-000007,-0.0873845342293961
ACH-000009,0.09482989941208417
ACH-000011,-0.16039600772461318
ACH-000012,-0.22373995424647766
ACH-000013,-0.13890755823114226
ACH-000014,-0.09974234842699686
ACH-000015,-0.0143452850982129
ACH-000017,0.08827158047832133
ACH-000018,-0.14683185899135046
ACH-000019,-0.06560477664520861
ACH-000021,-0.26763304546733896
ACH-000022,-0.12045353218501342
ACH-000025,-0.2439542217439597
ACH-000028,-0.13112202048325391
ACH-000030,-0.08131126706890038
ACH-000035,0.027964848246411125
ACH-000036,-0.16590782249037414
ACH-000037,-0.11191193336113768
ACH-000039,-0.20461628237707769
ACH-000040,-0.31442870050414073
ACH-000041,-0.1421347592476416
ACH-000042,-0.17991683869193295
ACH-000045,-0.11758152697273495
ACH-000047,-0.2081900896566557
ACH-000052,-0.25492088159111265
ACH-000053,-0.08397544567946551
ACH-000054,-0.14673775372626827
ACH-000055,-0.2479835497511691
ACH-000060,-0.06629070754785081
ACH-000067,-0.20940646020984774
ACH-000070,-0.13586720914580114
ACH-000075,-0.11651708192763015
ACH-000078,-0.1590776554793732
ACH-000082,-0.059422250867404026
ACH-000085,-0.017954027766158023
ACH-000086,-0.22544663837469264
ACH-000087,0.23671115471718304
ACH-000092,-0.18395135998391776
ACH-000095,-0.1941370886164808
ACH-000097,-0.17344628431856096
ACH-000098,-0.20412901424482405
ACH-000099,-0.15777944198439728
ACH-000108,-0.1772069188189116
ACH-000113,-0.1740449711108944
ACH-000116,-0.1404875865538274
ACH-000118,-0.09514074615989372
ACH-000120,-0.0852905415556944
ACH-000123,-0.12762517219087832
ACH-000127,-0.10500556035896527
ACH-000128,-0.14042258195204865
ACH-000132,-0.13425243475286774
ACH-000133,-0.287294699957222
ACH-000137,-0.2017478136343135
ACH-000138,-0.08615630342577929
ACH-000142,-0.2569388589475575
ACH-000143,-0.09639837339700476
ACH-000146,-0.10119737859826178
ACH-000148,-0.09930095493105832
ACH-000150,-0.09085599621565364
ACH-000152,-0.08199923547792047
ACH-000153,-0.10380183541648504
ACH-000159,-0.29643642453700064
ACH-000160,-0.18273516561541825
ACH-000163,-0.22846321598820266
ACH-000167,-0.5624629606626393
ACH-000168,-0.010642952968320608
ACH-000169,-0.058906471859775995
ACH-000178,-0.17001433181785686
ACH-000183,-0.2658993096320062
ACH-000188,-0.05597784134837278
ACH-000189,-0.10868151277147073
ACH-000190,0.054385024665906036
ACH-000198,-0.2910820127580357
ACH-000203,0.3479658036797961
ACH-000204,-0.2477703872506453
ACH-000206,-0.13270079611036334
ACH-000207,-0.04527281235616402
