,SIGLEC15 (284266)
ACH-000663,-0.14831254054792264
ACH-000665,0.03907858744707094
ACH-000671,-0.08487565562729911
ACH-000672,-0.1209787151696833
ACH-000673,-0.0930004462904321
ACH-000676,-0.06743760364968206
ACH-000677,-0.04246682152635945
ACH-000681,0.11187526112953528
ACH-000683,0.005705208769687374
ACH-000684,-0.01659450177011983
ACH-000688,-0.08187952691196775
ACH-000693,-0.04675274924935517
ACH-000694,-0.09720877955419333
ACH-000695,-0.2727695650372817
ACH-000696,0.013692496953746277
ACH-000697,0.11392535435341734
ACH-000699,-0.002166441834099989
ACH-000701,0.1407006365836779
ACH-000706,-0.025166417993605642
ACH-000711,0.009607611901771809
ACH-000713,-0.019249438653525002
ACH-000714,-0.042391015747930735
ACH-000718,-0.06842588239720462
ACH-000720,0.012549770355629259
ACH-000721,0.04999134217707789
ACH-000724,-0.027576211780631164
ACH-000725,-0.13002558592022154
ACH-000732,-0.2055487068685918
ACH-000734,-0.03670857469468115
ACH-000735,0.012461385584698193
ACH-000736,-0.06020280304583155
ACH-000738,-0.08191970539384186
ACH-000746,-0.04512929614566402
ACH-000747,0.09528183319203236
ACH-000748,-0.018977671271538037
ACH-000753,0.0260530034752914
ACH-000756,-0.06905594410339752
ACH-000757,-0.0565515050495256
ACH-000758,-0.13475673572728605
ACH-000760,-0.05587755495090169
ACH-000762,-0.07744189892209698
ACH-000763,-0.12121437964025215
ACH-000764,-0.1662156640218245
ACH-000765,0.0012504158677419232
ACH-000766,-0.15659054786139018
ACH-000767,0.06448992608817603
ACH-000768,-0.0568627945838402
ACH-000769,0.13657945024944854
ACH-000770,-0.04868631069280821
ACH-000771,-0.04410106880805837
ACH-000773,0.016589432453011692
ACH-000776,-0.033745878388270416
ACH-000777,0.028969608603819638
ACH-000778,-0.10231350746446954
ACH-000781,-0.03760944595330172
ACH-000782,-0.18250063524807586
ACH-000783,-0.07145347035809667
ACH-000784,0.014679125858367843
ACH-000785,-0.13290431307211345
ACH-000787,-0.017636507508660856
ACH-000788,-0.034134488139400725
ACH-000791,-0.09091252038921567
ACH-000792,-0.009402699006499224
ACH-000794,-0.04863588800958465
ACH-000796,-0.057053904455063774
ACH-000798,0.03761312883137525
ACH-000799,-0.10237013160815876
ACH-000800,0.2354280392402021
ACH-000802,-0.04345572937166989
ACH-000804,-0.061884350303080135
ACH-000805,-0.06002950897166121
ACH-000809,-0.027381872576285663
ACH-000810,0.1881669932060632
ACH-000811,0.04254531801830898
ACH-000817,-0.03285056108764998
ACH-000819,-0.0829063235756369
ACH-000820,-0.3489746638784516
ACH-000821,-0.008108154641852197
ACH-000822,-0.09561012753336527
ACH-000823,-0.0976465746976506
ACH-000824,-0.036908064812379265
ACH-000827,-0.11871941865097052
ACH-000829,0.07314068548143683
ACH-000831,-0.034836373915249866
ACH-000832,-0.1296929869393446
ACH-000833,0.05169236930879539
ACH-000834,-0.02457659733409549
ACH-000835,-0.05979953662862534
ACH-000836,-0.010031492410593777
ACH-000837,-0.06953255665285063
ACH-000838,0.10958762215329568
ACH-000839,-0.05571884407591357
ACH-000840,-0.07906046514922821
ACH-000841,0.17588135135269026
ACH-000843,-0.34754646709631626
ACH-000846,-0.12267375230030378
ACH-000847,0.16916646363066706
ACH-000848,-0.010945337369962678
ACH-000849,0.009283206888613291
ACH-000851,-0.08937143760373899
ACH-000855,-0.1307643443258318
ACH-000856,-0.03151790779494977
ACH-000858,-0.15880294026327904
ACH-000859,-0.08894136458109267
ACH-000861,-0.17296662595677434
ACH-000862,0.05728091280996645
ACH-000865,-0.04132603656718028
ACH-000866,-0.051178608014508783
ACH-000867,0.024852115228872138
ACH-000869,-0.0869109994930352
ACH-000872,0.011432169393649992
ACH-000873,0.156986716120088
ACH-000876,-0.04743442914327098
ACH-000878,0.00702095332428312
ACH-000880,-0.056277335307517495
ACH-000881,-0.011287238295213406
ACH-000882,-0.06794599845274918
ACH-000884,-0.00385222414744784
ACH-000885,0.047849477238011036
ACH-000887,-0.08490681569993158
ACH-000889,0.15398266794807852
ACH-000896,-0.040258316823103636
ACH-000898,-0.19973167632011252
ACH-000900,0.03691800743581828
ACH-000901,-0.037441599284859885
ACH-000905,0.08054365271099148
ACH-000906,-0.09185724913906808
ACH-000907,-0.05624396060679807
ACH-000910,-0.08469146374402739
ACH-000911,0.07586794250801439
ACH-000912,-0.032537828565543256
ACH-000913,0.17152663346984545
ACH-000915,-0.04254712101400685
ACH-000916,-0.14856831831338935
ACH-000917,0.00014003137344417146
ACH-000920,-0.3624388030728946
ACH-000921,0.06350942057898948
ACH-000924,-0.03150947098406507
ACH-000926,-0.10941093477396964
ACH-000928,-0.04254787580463267
ACH-000929,0.018886632263935242
ACH-000932,0.05381822649081061
ACH-000935,-0.1360689561771937
ACH-000936,-0.0261511851525055
ACH-000937,-0.03402627322115147
ACH-000938,0.02056501497320713
ACH-000939,-0.09413695675690643
ACH-000941,0.02669157340673298
