,HNRNPAB (3182)
ACH-000004,-0.2682848005869042
ACH-000005,0.1873329400163352
ACH-000007,-0.07349605610404178
ACH-000009,-0.1383498929723584
ACH-000011,-0.1335602226743577
ACH-000012,-0.013219727459949857
ACH-000013,0.025707664103407052
ACH-000014,-0.12865234060140468
ACH-000015,-0.02625296530678975
ACH-000017,-0.14699210943089233
ACH-000018,-0.16844622992571778
ACH-000019,0.04842978892393124
ACH-000021,-0.22406036730471054
ACH-000022,0.024917300213208145
ACH-000025,0.06969460537325622
ACH-000028,0.041869511152190834
ACH-000030,0.043559032961307545
ACH-000035,-0.0202113835662386
ACH-000036,0.08788080589062422
ACH-000037,-0.2079567832105548
ACH-000039,-0.15367505091232295
ACH-000040,0.046106649595216896
ACH-000041,-0.05234200703400154
ACH-000042,-0.11645179848248105
ACH-000045,-0.04941446563469866
ACH-000047,-0.008294746085962562
ACH-000052,0.05437925068781452
ACH-000053,-0.1097874208330528
ACH-000054,0.011004972379693759
ACH-000055,0.14135867354424927
ACH-000060,-0.15857750785293126
ACH-000067,0.06345395300342546
ACH-000070,-0.11210693636158124
ACH-000075,-0.2328285237123402
ACH-000078,-0.09161083688761602
ACH-000082,0.021196994591751527
ACH-000085,-0.1712925945577375
ACH-000086,0.04229161796910588
ACH-000087,-0.06104674685590442
ACH-000092,-0.1193928328938601
ACH-000095,-0.08543579255832738
ACH-000097,0.011798965831455724
ACH-000098,-0.08260522917298721
ACH-000099,-0.15775180346513012
ACH-000108,-0.16837892142147942
ACH-000113,-0.016353846196388067
ACH-000116,-0.1534476943891415
ACH-000118,0.08275662861647003
ACH-000120,0.1669895101116572
ACH-000123,-0.05731318714090549
ACH-000127,0.06795314571534831
ACH-000128,0.17927581722501995
ACH-000132,-0.18390657492280651
ACH-000133,0.02348591954950679
ACH-000137,0.05539737262141351
ACH-000138,-0.03032712740038322
ACH-000142,-0.2069223016303732
ACH-000143,-0.3773878502395969
ACH-000146,-0.21307853066795954
ACH-000148,-0.010780403049009466
ACH-000150,-0.3685549646419746
ACH-000152,-0.07530622944188255
ACH-000153,0.03937783014741628
ACH-000159,-0.12733091491423
ACH-000160,-0.0656973387922019
ACH-000163,-0.18314672101607127
ACH-000167,-0.031848538325555516
ACH-000168,-0.17595333929368562
ACH-000169,-0.09683288866784977
ACH-000178,-0.15448660175557002
ACH-000183,-0.08085925339735454
ACH-000188,-0.3260472041961226
ACH-000189,-0.18100022519715556
ACH-000190,-0.2734035625546298
ACH-000198,0.06625372703585633
ACH-000203,-0.4093726983783654
ACH-000204,0.06113297112132478
ACH-000206,-0.07530028315645425
ACH-000207,-0.03248898626630114
ACH-000208,-0.36016017897688923
ACH-000210,0.014131258311681612
ACH-000211,-0.057982527572151187
ACH-000215,-0.07368349888796147
ACH-000221,0.06337655911956727
ACH-000222,0.07277406072771006
ACH-000223,-0.3015889026618212
ACH-000226,-0.17245623523306625
ACH-000227,-0.08115830238848475
ACH-000228,-0.2647216363016955
ACH-000231,-0.16615398081149998
ACH-000232,-0.02828071184371495
ACH-000233,-0.1711865124273097
ACH-000234,0.005474955074670264
ACH-000235,-0.06443616315515494
ACH-000237,-0.2499510253962083
ACH-000238,-0.18792181787514647
ACH-000242,-0.1729855617275599
ACH-000243,-0.185142675543648
ACH-000244,-0.08885619669285494
ACH-000246,-0.024493643361991453
ACH-000248,-0.1696898510983293
ACH-000250,-0.1218161148968328
ACH-000251,-0.3379590100139677
ACH-000252,0.0030982308385698247
ACH-000253,0.03419271384430436
ACH-000255,-0.1928007705304956
ACH-000256,-0.15278135529025394
ACH-000257,0.21907013057441171
ACH-000258,0.13042549906818934
ACH-000259,-0.09229870558192843
ACH-000260,-0.090836171109106
ACH-000261,-0.015194357515437037
ACH-000262,-0.3153619067522377
