,RBFA (79863)
ACH-000004,-0.27359763939600257
ACH-000005,-0.1629887287448625
ACH-000007,-0.2775035857160068
ACH-000009,-0.29109677647221666
ACH-000011,-0.15046534576959925
ACH-000012,-0.25799024341879395
ACH-000013,-0.3100537547012977
ACH-000014,-0.18766113920942898
ACH-000015,-0.3363201800603214
ACH-000017,-0.2600491327125067
ACH-000018,-0.4270175410574388
ACH-000019,-0.3945722853374345
ACH-000021,-0.2298945262655473
ACH-000022,-0.22742233812575904
ACH-000025,-0.37291702474740496
ACH-000028,-0.34768681847706784
ACH-000030,-0.2133079433835469
ACH-000035,-0.4334901869154354
ACH-000036,-0.1643918319826211
ACH-000037,-0.2454850379945185
ACH-000039,-0.3697984707338355
ACH-000040,-0.2602495916559906
ACH-000041,-0.08613496748853451
ACH-000042,-0.20935181171250436
ACH-000045,-0.07097189677388524
ACH-000047,-0.3590552820339279
ACH-000052,-0.1342451753726655
ACH-000053,-0.1430079624463415
ACH-000054,-0.1256308850116154
ACH-000055,-0.27259272793972583
ACH-000060,-0.308856360300982
ACH-000067,-0.12127231268916686
ACH-000070,-0.18875480509609904
ACH-000075,-0.1490545333285099
ACH-000078,-0.2314965479295996
ACH-000082,-0.19689329184636645
ACH-000085,-0.08317460332743556
ACH-000086,-0.2338045955545532
ACH-000087,-0.1716272195137648
ACH-000092,-0.2492323365604806
ACH-000095,-0.1843316843188924
ACH-000097,-0.08231808960683848
ACH-000098,-0.19685693072506613
ACH-000099,-0.15911239875165673
ACH-000108,-0.2058119648200352
ACH-000113,-0.10122126844189308
ACH-000116,-0.13504705103314174
ACH-000118,-0.20003418584074426
ACH-000120,-0.16078812610400148
ACH-000123,-0.26071955859471285
ACH-000127,-0.2779343694913176
ACH-000128,-0.12603615663441542
ACH-000132,-0.3631369820274651
ACH-000133,-0.107517501308905
ACH-000137,-0.03962511951259776
ACH-000138,-0.2087055929948433
ACH-000142,-0.22424017616472885
ACH-000143,-0.4056172057576123
ACH-000146,-0.2403688923830687
ACH-000148,-0.2808398387605913
ACH-000150,-0.3895551169113944
ACH-000152,-0.10659321002263597
ACH-000153,-0.14436806873917052
ACH-000159,-0.16623729090308614
ACH-000160,-0.4043540598886548
ACH-000163,-0.17199026964352002
ACH-000167,-0.10336841285325477
ACH-000168,-0.3690325472122236
ACH-000169,-0.2671679448690244
ACH-000178,-0.17610638764165865
ACH-000183,-0.2134087356915806
ACH-000188,-0.15392437170106996
ACH-000189,-0.2456703376971241
ACH-000190,-0.5794775272560311
ACH-000198,-0.2458442681577279
ACH-000203,-0.11188870795761502
ACH-000204,-0.3113188781133078
ACH-000206,-0.35679821907200826
ACH-000207,-0.31322734666794144
ACH-000208,-0.23149585841891426
ACH-000210,-0.4589522101421405
ACH-000211,-0.20123838024431645
ACH-000215,-0.2180066482215618
ACH-000221,-0.4072833807428067
ACH-000222,-0.044397619493668564
ACH-000223,-0.5089259069123497
ACH-000226,-0.08278915370074412
ACH-000227,-0.3201934076796213
ACH-000228,-0.2746448258573768
ACH-000231,-0.13462637245295256
ACH-000232,-0.4155337559321009
ACH-000233,-0.182837440438212
ACH-000234,-0.2521804213389845
ACH-000235,-0.16925170208170776
ACH-000237,-0.16787323594166287
ACH-000238,-0.27319032250286995
ACH-000242,-0.21392523557146986
ACH-000243,-0.16457506630121774
ACH-000244,-0.2770751161485132
ACH-000246,-0.3341206254780328
ACH-000248,-0.1806530271766713
ACH-000250,-0.14854301945750462
ACH-000251,-0.2948805277948157
ACH-000252,-0.2980767721678369
ACH-000253,-0.15732008860081798
ACH-000255,-0.13876821914428347
ACH-000256,-0.2346086059901191
ACH-000257,-0.2686169756604512
ACH-000258,-0.24104604733400076
ACH-000259,-0.1980644081019656
ACH-000260,-0.11432179321541612
ACH-000261,-0.18212941524217235
ACH-000262,-0.03172047154098495
ACH-000263,-0.2578389085914197
ACH-000264,-0.2056721689093404
ACH-000265,-0.29485917483362417
ACH-000266,-0.1889400454011616
ACH-000272,-0.15886920060378035
ACH-000274,-0.2397739619180517
ACH-000277,-0.2432584249085333
ACH-000278,-0.0939895686088598
ACH-000279,-0.1417310691750292
ACH-000280,-0.22048154320773367
ACH-000281,-0.3902128646866526
ACH-000288,-0.1360541412774831
ACH-000291,-0.2970768511135916
ACH-000293,-0.2457913649597332
ACH-000294,-0.16334159067647702
ACH-000295,-0.3041489521641978
ACH-000296,-0.19090924481308644
ACH-000302,-0.29333203642098354
ACH-000304,-0.4169438982249056
ACH-000307,-0.33327425290289764
ACH-000308,-0.3913306343478402
ACH-000310,-0.277633867931767
ACH-000311,-0.20563756614612905
ACH-000312,-0.457102779816719
ACH-000315,0.15969671281977246
ACH-000316,-0.10654027076722224
ACH-000317,-0.2966857147758519
ACH-000318,-0.1809465699658405
ACH-000319,-0.21629012710737835
ACH-000320,-0.009885259401391306
ACH-000322,-0.3718706632742873
ACH-000323,-0.29388966093580393
ACH-000324,-0.06744431041392276
ACH-000329,-0.2597121746066983
ACH-000330,-0.4440652019240227
ACH-000331,-0.2486526981910776
ACH-000332,-0.14631863015808208
ACH-000334,-0.10412513875416657
ACH-000335,-0.07579926537823667
ACH-000336,-0.2709281659892549
ACH-000337,-0.12296386216908894
ACH-000338,-0.19347468167966
ACH-000339,-0.14162924224394102
ACH-000341,-0.17536258104837982
ACH-000348,-0.2191894145337576
ACH-000350,-0.22468017761150932
ACH-000352,-0.4088038798779247
ACH-000356,-0.41275546170336697
ACH-000361,-0.1574328534092624
ACH-000362,-0.14684834803811372
ACH-000363,-0.2020812598511044
ACH-000364,-0.3126678511431453
ACH-000365,-0.13813590257242886
ACH-000366,-0.07930312770913044
ACH-000368,-0.29721727144412297
ACH-000374,-0.2389595257963651
ACH-000375,-0.3834632861089082
ACH-000376,-0.3749054059395546
ACH-000381,-0.3467822080241956
ACH-000383,-0.2258075121462343
ACH-000387,-0.12213210288707975
ACH-000389,0.1736774760857955
ACH-000390,-0.2871052654867168
ACH-000393,-0.2912694394857088
ACH-000395,-0.12401231153564647
ACH-000396,-0.1817952302623175
ACH-000397,-0.008535702391227829
ACH-000401,-0.3337193477858523
