,DCPS (28960)
ACH-000004,-0.2947225545429318
ACH-000005,-0.3908076705519624
ACH-000007,-0.4058881580862989
ACH-000009,-0.2406696326158687
ACH-000011,-0.7938578891743189
ACH-000012,-0.3283372270556781
ACH-000013,-0.18026395149425772
ACH-000014,-0.2994920496445323
ACH-000015,-0.3691836750924163
ACH-000017,-0.0525617020568012
ACH-000018,-0.6724640324264213
ACH-000019,-0.2601140613495455
ACH-000021,-0.17066008759114548
ACH-000022,-0.16298361382031942
ACH-000025,-0.5454162275494648
ACH-000028,-0.3954927641216662
ACH-000030,-0.5562868425407728
ACH-000035,-0.3416063924630661
ACH-000036,-0.3867638919452301
ACH-000037,-0.2667956453769297
ACH-000039,-0.2646977154275156
ACH-000040,-0.21786464422698615
ACH-000041,-0.23994699907979525
ACH-000042,-0.3238025412852097
ACH-000045,-0.4804273840685388
ACH-000047,-0.2284020409304864
ACH-000052,-0.3379513021897201
ACH-000053,-0.2613038586845041
ACH-000054,-0.1502808007602374
ACH-000055,-0.5859102963545995
ACH-000060,-0.5199998096350616
ACH-000067,-0.2050419729959267
ACH-000070,-0.6521548764212679
ACH-000075,-0.21371883729417707
ACH-000078,-0.18688985683585094
ACH-000082,-0.1268462432073976
ACH-000085,-0.4262690067966941
ACH-000086,0.02242959544781267
ACH-000087,-0.5135580133530141
ACH-000092,-0.25566587755924697
ACH-000095,-0.3054162902656677
ACH-000097,0.003296860310202739
ACH-000098,-0.3364282920936766
ACH-000099,-0.3262106362677445
ACH-000108,-0.4515202858940993
ACH-000113,-0.3317723913147344
ACH-000116,-0.10578374938368386
ACH-000118,-0.4483933279612622
ACH-000120,-0.25543890877041403
ACH-000123,-0.4947975885671638
ACH-000127,-0.6128649453813254
ACH-000128,-0.3503508534456141
ACH-000132,-0.38564114420856055
ACH-000133,-0.17750383523098498
ACH-000137,-0.2311520275325269
ACH-000138,-0.4912895902038058
ACH-000142,-0.4738838707198204
ACH-000143,-0.4976864001820616
ACH-000146,-0.08212041641807076
ACH-000148,-0.21094767152074012
ACH-000150,-0.14797994410390264
ACH-000152,-0.3478036014666105
ACH-000153,-0.3980609909533207
ACH-000159,-0.1688213915547638
ACH-000160,-0.23925160295996364
ACH-000163,-0.20681264913201305
ACH-000167,1.8805805867440009
ACH-000168,-0.4042986138951018
ACH-000169,-0.4713562405791354
ACH-000178,-0.4888144928883615
ACH-000183,-0.5512817745405899
ACH-000188,-0.6917223749398389
ACH-000189,-0.6165587564828282
ACH-000190,-0.5088356993478168
