,SPATA5L1 (79029)
ACH-000004,-1.3898183738091108
ACH-000005,-1.6422217435626325
ACH-000007,-1.306811424574543
ACH-000009,-1.2458834177478717
ACH-000011,-1.3834599161803272
ACH-000012,-1.0834941963780509
ACH-000013,-1.2080488709886148
ACH-000014,-1.2174044280412146
ACH-000015,-1.229330206702381
ACH-000017,-0.739991570061433
ACH-000018,-1.1748106836507295
ACH-000019,-0.7118708100537032
ACH-000021,-1.1004307360680432
ACH-000022,-1.2842896755098423
ACH-000025,-1.3022884766702365
ACH-000028,-1.0369019979856708
ACH-000030,-1.2956194547647446
ACH-000035,-1.2852220578023097
ACH-000036,-1.0179694323295907
ACH-000037,-0.7327980370040541
ACH-000039,-1.0649794762966092
ACH-000040,-1.0514932452417471
ACH-000041,-1.4282653133675154
ACH-000042,-1.3535873117435375
ACH-000045,-1.3507987393998744
ACH-000047,-1.1738723555235633
ACH-000052,-1.363063370724504
ACH-000053,-1.0614882490977209
ACH-000054,-1.042345476769202
ACH-000055,-1.1635641667107128
ACH-000060,-1.2518818543917258
ACH-000067,-1.1362536122184146
ACH-000070,-0.8372687947354823
ACH-000075,-1.0340328241449792
ACH-000078,-1.1088324847848228
ACH-000082,-0.8198257504077747
ACH-000085,-1.2535877121932468
ACH-000086,-0.883887300607943
ACH-000087,-1.266519165709813
ACH-000092,-1.0314193304891657
ACH-000095,-1.0431807035439664
ACH-000097,-1.0057188348345658
ACH-000098,-0.9569297863671924
ACH-000099,-0.9670924730068456
ACH-000108,-1.0956012077170012
ACH-000113,-1.1085587333051077
ACH-000116,-1.5832915178271159
ACH-000118,-1.140907027929047
ACH-000120,-1.1318543223284847
ACH-000123,-1.076929217584243
ACH-000127,-1.1446108199820522
ACH-000128,-0.8915153332575725
ACH-000132,-1.2594001448032743
ACH-000133,-1.0658338382478814
ACH-000137,-1.3168728824524056
ACH-000138,-1.1135941249933932
ACH-000142,-1.268056911897738
ACH-000143,-1.3605998564216428
ACH-000146,-0.903093626213528
ACH-000148,-1.4499783889536788
ACH-000150,-0.8766306789568561
ACH-000152,-1.2384933041651145
ACH-000153,-1.3653717971811097
ACH-000159,-0.9949002859110244
ACH-000160,-1.0595313467957246
ACH-000163,-1.2837853780247148
ACH-000167,-1.016141200038888
ACH-000168,-1.3878294591731248
ACH-000169,-1.097642736576756
ACH-000178,-1.1596856417590442
ACH-000183,-1.2303956515604215
ACH-000188,-1.0487918949830148
ACH-000189,-1.0988901542489595
ACH-000190,-0.8956247756943613
ACH-000198,-0.8999616501635942
ACH-000203,-1.2007487519378126
ACH-000204,-1.0413192274931722
ACH-000206,-1.8060583703316824
ACH-000207,-0.8781913198693461
ACH-000208,-1.1267006288878647
ACH-000210,-1.4501414634181584
ACH-000211,-1.1485177980685422
ACH-000215,-0.9682271321046054
ACH-000221,-1.3238888892999834
ACH-000222,-1.2680519229281964
ACH-000223,-0.8807965170522589
ACH-000226,-1.0719670598184887
ACH-000227,-0.4810367312614371
ACH-000228,-1.2370247676012232
ACH-000231,-1.0505109783406656
ACH-000232,-1.0563616525422157
ACH-000233,-1.147874818488188
ACH-000234,-1.2187646401741663
ACH-000235,-1.0133721526569095
ACH-000237,-1.2543712041989092
ACH-000238,-1.128701648403458
ACH-000242,-1.1001117055853658
ACH-000243,-1.301769870080407
ACH-000244,-0.9867009905864552
ACH-000246,-1.1881268234090754
ACH-000248,-1.16030144934275
ACH-000250,-1.0668158905097909
ACH-000251,-1.3847509937340077
ACH-000252,-1.0061594498702378
ACH-000253,-1.1678547998138242
ACH-000255,-1.2896040171977483
ACH-000256,-1.2206157050014723
ACH-000257,-1.0493792431233568
ACH-000258,-1.1895574547747727
ACH-000259,-1.1841844408514437
ACH-000260,-1.187948064329394
ACH-000261,-1.159284231360834
ACH-000262,-1.195604959016371
ACH-000263,-1.0728631032465366
ACH-000264,-0.8867760649855524
ACH-000265,-1.1745616557396243
ACH-000266,-1.0653381626067224
ACH-000272,-1.2415860446514515
ACH-000274,-0.7970803336241756
ACH-000277,-1.0749441975288998
ACH-000278,-1.2723805348274972
ACH-000279,-1.0845957974774525
ACH-000280,-1.1324778431747549
ACH-000281,-1.1813000980777233
ACH-000288,-1.144762496368844
ACH-000291,-0.932650511478086
ACH-000293,-0.8580138878122235
ACH-000294,-1.5543097449988603
ACH-000295,-1.1055121517192694
ACH-000296,-1.3080074350452964
ACH-000302,-1.0615423083156523
ACH-000304,-1.5893575019666142
ACH-000307,-1.291902075487938
ACH-000308,-0.9576182759737496
ACH-000310,-0.4787288879114489
ACH-000311,-1.353390216417906
ACH-000312,-1.0460708713818725
ACH-000315,-1.3058549767419654
ACH-000316,-1.3502612648888621
ACH-000317,-1.3136290602329983
ACH-000318,-1.1164317286309409
ACH-000319,-1.1431499361515605
ACH-000320,-1.2338656950620877
ACH-000322,-0.8204928602684123
ACH-000323,-1.0648967552000068
ACH-000324,-1.1843503158998123
