,SATB1 (6304)
ACH-000004,0.0371774919097227
ACH-000005,0.3761082874745316
ACH-000007,0.05378749343968152
ACH-000009,0.05565778450372071
ACH-000011,-0.16523641677590853
ACH-000012,-0.06345118374086232
ACH-000013,-0.015150844727393425
ACH-000014,0.18943489314890927
ACH-000015,-0.09908031953516896
ACH-000017,0.012027268501777922
ACH-000018,-0.2689659450233132
ACH-000019,-0.2874827808077621
ACH-000021,-0.033987049551885154
ACH-000022,-0.039970127481767
ACH-000025,-0.22075848820582653
ACH-000028,-0.09369151017830198
ACH-000030,0.0525923880282585
ACH-000035,-0.0588100845837424
ACH-000036,0.03568713616877536
ACH-000037,0.022974436425977556
ACH-000039,0.08156523938052437
ACH-000040,-0.003947315481870242
ACH-000041,-0.1379589320903144
ACH-000042,-0.16072156609019592
ACH-000045,-0.3966132493971486
ACH-000047,-0.2851150382206853
ACH-000052,-0.22334777369482406
ACH-000053,0.027051129267556404
ACH-000054,-0.10951535954311208
ACH-000055,-0.2458623055403173
ACH-000060,-0.09151566643987458
ACH-000067,-0.29144347910216073
ACH-000070,-0.4010141000128752
ACH-000075,-0.10258638490867956
ACH-000078,-0.10669229364828027
ACH-000082,0.025202682364685827
ACH-000085,-0.28356123038966585
ACH-000086,-0.06071873361819188
ACH-000087,-0.24867163151245386
ACH-000092,-0.10400311229570207
ACH-000095,-0.0372257773902549
ACH-000097,-0.12990421250438106
ACH-000098,-0.10645422593775307
ACH-000099,-0.018948966773760244
ACH-000108,-0.12595054337343858
ACH-000113,-0.5645853108731507
ACH-000116,-0.1082379104967946
ACH-000118,0.0234172144810771
ACH-000120,-0.24398856470118535
ACH-000123,-0.08248719930971589
ACH-000127,-0.04007031030142808
ACH-000128,-0.10875458861492407
ACH-000132,-0.17461875695433765
ACH-000133,-0.05733853058328706
ACH-000137,0.03747279100445973
ACH-000138,-0.03322719504674893
ACH-000142,-0.2034624720983871
ACH-000143,-0.03409179171463539
ACH-000146,-0.1374425460633758
ACH-000148,-0.05088330905777928
ACH-000150,-0.3799542922535242
ACH-000152,-0.10865112819377094
ACH-000153,-0.06639654079703998
ACH-000159,-0.182306396562526
ACH-000160,0.23588433518217525
ACH-000163,-0.16373414587923474
ACH-000167,0.7024051944378185
ACH-000168,-0.25729520119636523
ACH-000169,0.039343921882318264
ACH-000178,-0.10695255703990543
ACH-000183,0.030206163346805738
ACH-000188,-0.10947138306010497
ACH-000189,-0.3485591040468755
ACH-000190,0.2425865843192741
ACH-000198,-0.2841783944097261
ACH-000203,0.5091068768203546
ACH-000204,0.20831716363816505
ACH-000206,-0.11575491514183685
ACH-000207,0.17732947596261264
ACH-000208,-0.14767630245919228
ACH-000210,0.017662627662772608
ACH-000211,-0.11583786029275847
ACH-000215,-0.046910355467195436
ACH-000221,-0.2568269161899998
ACH-000222,0.09549299001609432
ACH-000223,-0.10458731456444736
ACH-000226,-0.06296366209086192
ACH-000227,-0.32061451099514343
ACH-000228,-0.21724197130609207
ACH-000231,-0.04074974644226237
ACH-000232,-0.07908004548581307
ACH-000233,-0.08034193552205529
ACH-000234,-0.16379469604059932
ACH-000235,-0.04480634776732124
ACH-000237,-0.04007185552840936
ACH-000238,-0.13580479531266204
ACH-000242,-0.1007911945744386
ACH-000243,-0.1184098805035046
ACH-000244,0.21397932207846485
ACH-000246,-0.13551093670319386
ACH-000248,-0.08389039593602192
ACH-000250,-0.15638116312494624
ACH-000251,0.14159129597141845
ACH-000252,-0.12826747554651818
ACH-000253,-0.08140583146742042
ACH-000255,-0.18794562944005933
ACH-000256,-0.02753708305154081
ACH-000257,-0.3142785753352589
ACH-000258,-0.22523549344738694
ACH-000259,-0.16785062662371258
ACH-000260,-0.04119785911064122
ACH-000261,0.005478263644642482
ACH-000262,-0.2854049828357383
ACH-000263,-0.4261269776822463
ACH-000264,-0.1611180387514932
ACH-000265,-0.09299383499743276
ACH-000266,-0.058018091511108365
ACH-000272,-0.06750205652763609
ACH-000274,-0.11793431467082108
ACH-000277,0.17773436328564185
ACH-000278,-0.06390237786803872
ACH-000279,-0.12841763584523305
ACH-000280,-0.2229453809202959
ACH-000281,-0.2117137666794277
ACH-000288,-0.10509027694227777
ACH-000291,-0.18498319008132227
ACH-000293,-0.028759151167165164
ACH-000294,0.03581383835497615
ACH-000295,-0.2700157468659803
ACH-000296,-0.23870174694776586
ACH-000302,-0.11269616850251354
ACH-000304,0.08576379449590169
ACH-000307,-0.03321821059510475
ACH-000308,-0.11506145377457624
ACH-000310,-0.5770308910782608
ACH-000311,0.04942421815380422
ACH-000312,-0.17988292814765466
ACH-000315,0.05813534646655285
ACH-000316,-0.20571384887718247
ACH-000317,-0.13335469424810836
ACH-000318,-0.08332354207321319
ACH-000319,0.1339873693557567
ACH-000320,0.0652587601022716
ACH-000322,-0.031779979202642195
ACH-000323,-0.016686514496717236
ACH-000324,0.05957722223102811
ACH-000329,-0.006619394470963006
ACH-000330,-0.17158926151878304
ACH-000331,-0.3377314353201369
ACH-000332,-0.10427700123136036
ACH-000334,-0.005559147794833214
ACH-000335,-0.1189343457569271
ACH-000336,-0.27242954603021136
ACH-000337,-0.014996089506909584
ACH-000338,-0.40641844101716296
ACH-000339,-0.08555760449468927
ACH-000341,0.07293349286645451
ACH-000348,-0.08072638035982911
ACH-000350,-0.1645901228374023
ACH-000352,-0.12287198044159067
ACH-000356,0.08993584575852097
ACH-000361,-0.16760785597026273
ACH-000362,-0.15065017985485668
ACH-000363,-0.139168146137888
ACH-000364,0.11860759523247698
ACH-000365,-0.13081262140334038
ACH-000366,-0.18618182036009748
ACH-000368,0.1278120037260953
ACH-000374,0.03629768442114086
