,PTP4A2 (8073)
ACH-000004,-0.190455467754072
ACH-000005,-0.6596260853468798
ACH-000007,-0.3030921960777581
ACH-000009,-0.19700025228129828
ACH-000011,-0.29052740475852257
ACH-000012,-0.3716901224658784
ACH-000013,-0.19279499210103768
ACH-000014,-0.4811140378808265
ACH-000015,-0.30553340565109705
ACH-000017,-0.564065746515941
ACH-000018,-0.2878668765012174
ACH-000019,-0.05568130677796033
ACH-000021,-0.21273751057764936
ACH-000022,-0.28728211195910325
ACH-000025,-0.2314520315184381
ACH-000028,-0.06107275837926784
ACH-000030,-0.2576162075348542
ACH-000035,-0.5692696080130076
ACH-000036,-0.2897827938637714
ACH-000037,-0.4859857661179853
ACH-000039,-0.2402088861521546
ACH-000040,-0.2269408846355856
ACH-000041,-0.31336694703281737
ACH-000042,-0.7776552639859617
ACH-000045,-0.38051967668954295
ACH-000047,-0.12491418105238655
ACH-000052,-0.3087559641546065
ACH-000053,-0.19389013938974772
ACH-000054,-0.21819623278153213
ACH-000055,-0.06502985857118898
ACH-000060,-0.3438812403166692
ACH-000067,-0.3516146503650885
ACH-000070,-0.2569194739321369
ACH-000075,-0.1042324110498121
ACH-000078,-0.3258966836710812
ACH-000082,-0.2302962769553008
ACH-000085,-0.19716173425879172
ACH-000086,-0.2892409856049906
ACH-000087,-0.1095575294577352
ACH-000092,-0.2059765197703516
ACH-000095,-0.4075134873785132
ACH-000097,-0.5011143628343694
ACH-000098,-0.19692079900466786
ACH-000099,-0.1086373237016764
ACH-000108,-0.5966003192133209
ACH-000113,-0.2171095537469204
ACH-000116,-0.11061519227066162
ACH-000118,-0.17909547323402214
ACH-000120,-0.1761123519408134
ACH-000123,-0.17940400808722975
ACH-000127,-0.1928594174746928
ACH-000128,-0.26849246701527313
ACH-000132,-0.21561518170256447
ACH-000133,-0.19523619219459865
ACH-000137,-0.22166015770262573
ACH-000138,-0.4201879248941873
ACH-000142,-0.6554856313474106
ACH-000143,-0.12709401935069414
ACH-000146,-0.19205916013203125
ACH-000148,-0.2619688463576131
ACH-000150,-0.41238954147772094
ACH-000152,-0.2865893069483676
ACH-000153,-0.2000351470509535
ACH-000159,-0.12600725722500564
ACH-000160,-0.3331466223361941
ACH-000163,-0.17216442825237294
ACH-000167,-0.13926888479708482
ACH-000168,-0.29446621325701394
ACH-000169,-0.4048786939951324
