,RRM1 (6240)
ACH-000004,-1.634378771908153
ACH-000005,-1.8077054206528715
ACH-000007,-1.5167486808452324
ACH-000009,-1.3488894872854935
ACH-000011,-1.1448334684663348
ACH-000012,-1.4884132875857532
ACH-000013,-1.275949513957074
ACH-000014,-1.4537731841949149
ACH-000015,-1.1984073426161226
ACH-000017,-1.2645639211656032
ACH-000018,-1.3882898564730801
ACH-000019,-1.4249829061817456
ACH-000021,-1.3600842026074638
ACH-000022,-1.4050369689507074
ACH-000025,-1.3433126410182556
ACH-000028,-1.2811293285046608
ACH-000030,-1.4587036816580452
ACH-000035,-1.2965707911603759
ACH-000036,-1.1343705382412026
ACH-000037,-1.2514111167104602
ACH-000039,-1.5289401894267298
ACH-000040,-1.263080280802955
ACH-000041,-1.3493337706622497
ACH-000042,-1.126999246745752
ACH-000045,-1.3016147189873906
ACH-000047,-1.3900569160426222
ACH-000052,-1.2685576685142816
ACH-000053,-1.2594220691996203
ACH-000054,-1.3362739008235838
ACH-000055,-1.402301355579868
ACH-000060,-1.2509710429888004
ACH-000067,-1.2108618352571847
ACH-000070,-1.2888725272328356
ACH-000075,-1.094329512010207
ACH-000078,-1.5700031254721662
ACH-000082,-1.1886689228306575
ACH-000085,-1.34751325411616
ACH-000086,-1.0703090147577834
ACH-000087,-1.3390131859742271
ACH-000092,-1.330040920579209
ACH-000095,-1.384456576283246
ACH-000097,-1.3503026148162605
ACH-000098,-1.1203047273320788
ACH-000099,-1.3344539021408413
ACH-000108,-1.3329389431926393
ACH-000113,-1.2688936137583604
ACH-000116,-1.508361167140242
ACH-000118,-1.3123373006440318
ACH-000120,-1.5344522329785673
ACH-000123,-1.324856201430853
ACH-000127,-1.378466990845485
ACH-000128,-1.24810171988578
ACH-000132,-1.2286129595386222
ACH-000133,-1.4249339371531653
ACH-000137,-1.4994060388030213
ACH-000138,-1.3518553371957749
ACH-000142,-1.2620804715011311
ACH-000143,-1.4956409741343737
ACH-000146,-1.6017717866279806
ACH-000148,-1.0585538868370643
ACH-000150,-1.348347986428325
ACH-000152,-1.2805244382889056
ACH-000153,-1.1668523923976497
ACH-000159,-1.3115582910505963
ACH-000160,-1.5151809356865087
ACH-000163,-1.338003046287907
ACH-000167,-2.1009347847399287
ACH-000168,-1.3211807451678097
ACH-000169,-1.3417137831363353
ACH-000178,-1.2358413299885298
ACH-000183,-1.3923939144360968
ACH-000188,-1.1425542145332546
ACH-000189,-1.424900264415656
ACH-000190,-0.9611170950858848
ACH-000198,-1.3291390892449693
ACH-000203,-1.5546169166150658
ACH-000204,-1.2694319131686158
ACH-000206,-1.3849463538148583
ACH-000207,-1.5350114059026574
ACH-000208,-1.274759834252718
ACH-000210,-1.2399547085755618
ACH-000211,-1.3478784629576634
ACH-000215,-1.3313851743065124
