,SRCAP (10847)
ACH-000004,-0.8968688106330289
ACH-000005,-0.9971448407806128
ACH-000007,-0.7220792031902358
ACH-000009,-0.5354216361519888
ACH-000011,-0.6831652976332381
ACH-000012,-0.7883609209098946
ACH-000013,-0.8918238632247926
ACH-000014,-0.6584015195847412
ACH-000015,-0.8557607151374494
ACH-000017,-0.5338911193997488
ACH-000018,-0.5991452031094917
ACH-000019,-0.5259128543600283
ACH-000021,-0.5748671046405304
ACH-000022,-0.5380712053949414
ACH-000025,-0.7679651560581909
ACH-000028,-0.6322633006253557
ACH-000030,-0.42190311336046826
ACH-000035,-0.8146244475101255
ACH-000036,-0.6339957051636395
ACH-000037,-0.9791779431967912
ACH-000039,-0.5245895196402686
ACH-000040,-0.6398853125020473
ACH-000041,-0.6922529974525614
ACH-000042,-0.4903800902742957
ACH-000045,-0.5313403129143166
ACH-000047,-0.5213510623641433
ACH-000052,-0.5351538511535255
ACH-000053,-0.5494266633552027
ACH-000054,-0.5243855107086334
ACH-000055,-0.7737217542976228
ACH-000060,-0.37352021363634624
ACH-000067,-0.6546471057948146
ACH-000070,-0.6973562120153725
ACH-000075,-0.8120049115683633
ACH-000078,-0.6637669474348045
ACH-000082,-0.6766320228444987
ACH-000085,-0.5194763796708499
ACH-000086,-0.29915162675187296
ACH-000087,-0.6369476321345876
ACH-000092,-0.8698148806719012
ACH-000095,-0.7028719273935458
ACH-000097,-0.7272417152674817
ACH-000098,-1.0079441157263076
ACH-000099,-0.5275049161274572
ACH-000108,-0.7600017188805868
ACH-000113,-0.5246262978685424
ACH-000116,-0.7232369912320368
ACH-000118,-0.8418459784160993
ACH-000120,-0.711407148827177
ACH-000123,-0.7124496587668384
ACH-000127,-0.4647078434986723
ACH-000128,-0.6550436788456937
ACH-000132,-0.6911192428099151
ACH-000133,-0.6483489875789111
ACH-000137,-0.6855334706618518
ACH-000138,-0.4596261170053904
ACH-000142,-0.4926926555763811
ACH-000143,-0.8564669622729602
ACH-000146,-0.5623140522259238
ACH-000148,-0.7343566214883003
ACH-000150,-0.5563411050847501
ACH-000152,-0.3540061556777946
ACH-000153,-0.5732143079378873
ACH-000159,-0.6110790414132777
ACH-000160,-0.2367215789748767
ACH-000163,-0.4085049174644938
ACH-000167,-0.4242462266226084
ACH-000168,-0.4298863501344167
ACH-000169,-0.6903461045143888
ACH-000178,-0.5216790967268063
ACH-000183,-0.9009525763965132
ACH-000188,-0.5343892631120708
ACH-000189,-0.4566355799313578
ACH-000190,-0.35066071840978275
ACH-000198,-0.6432526797381607
ACH-000203,-0.5909818979748505
ACH-000204,-0.5496382130696124
ACH-000206,-0.5103816889713889
ACH-000207,-0.4448463575900444
ACH-000208,-0.8818446179999754
ACH-000210,-0.5457114713418332
ACH-000211,-0.7591896566572641
ACH-000215,-0.6438490012490633
ACH-000221,-0.6904916261664887
ACH-000222,-0.5205321007003479
ACH-000223,-0.39841024911331696
ACH-000226,-0.6522709353605866
ACH-000227,-0.3597532678527614
ACH-000228,-0.5011497296579567
ACH-000231,-0.820644107076641
ACH-000232,-0.5954398504603906
ACH-000233,-0.6181382962416704
ACH-000234,-0.5053409504210098
ACH-000235,-0.4703017975304016
ACH-000237,-0.6676615032774195
ACH-000238,-0.4156925203378707
ACH-000242,-0.5823355880487764
ACH-000243,-0.5492686985624805
ACH-000244,-1.0749312895582157
ACH-000246,-0.5642318799765115
ACH-000248,-0.6339477440755971
ACH-000250,-0.5231363112534999
ACH-000251,-0.5502052188292899
ACH-000252,-0.6181120160680413
ACH-000253,-0.5435011219809794
ACH-000255,-0.7179175142410229
ACH-000256,-0.6590843478400409
ACH-000257,-0.6505925351580173
ACH-000258,-0.573755775570199
ACH-000259,-0.7555015501478498
ACH-000260,-0.7238151049562818
ACH-000261,-0.5185276202676098
ACH-000262,-0.7302148646282024
ACH-000263,-0.6522047790499141
ACH-000264,-0.6171421188528907
ACH-000265,-0.8753592230661889
ACH-000266,-0.7511381119280736
ACH-000272,-0.3056476539084098
ACH-000274,-0.35415497030742793
ACH-000277,-0.5943519413164362
ACH-000278,-0.8888669547346904
ACH-000279,-0.5465094422515028
ACH-000280,-0.6307105461192051
ACH-000281,-0.4758956253460965
ACH-000288,-0.7166243204375887
ACH-000291,-0.5979054399916087
ACH-000293,-0.7290726677426267
ACH-000294,-0.3362723961398991
ACH-000295,-0.735879428488452
ACH-000296,-0.8351542222675542
ACH-000302,-0.6092011282743276
ACH-000304,-0.817025568079705
ACH-000307,-0.5707550871543172
ACH-000308,-0.7612161411503768
ACH-000310,-0.4299127360986512
ACH-000311,-0.8418605510058841
ACH-000312,-0.7513446003872216
ACH-000315,-0.9922363510457904
ACH-000316,-0.7835503331544859
ACH-000317,-0.6519042050982604
ACH-000318,-0.4796956077463865
ACH-000319,-0.6340384031086503
ACH-000320,-0.23601022029846275
ACH-000322,-0.8761372090381482
ACH-000323,-0.3128468949292052
ACH-000324,-0.4545567212219278
ACH-000329,-0.4375617563587416
ACH-000330,-0.6661060835419014
ACH-000331,-0.6964471040751071
ACH-000332,-0.6217317227313609
ACH-000334,-0.5991215718524155
ACH-000335,-0.2449695019813552
ACH-000336,-0.7981695359337948
ACH-000337,-0.5604249636866685
ACH-000338,-0.6694878882418136
ACH-000339,-0.6038567005004978
ACH-000341,-0.4188746733816663
ACH-000348,-0.7398642906586613
ACH-000350,-0.6114816688664261
ACH-000352,-0.5082410544977376
ACH-000356,-0.6502973936049333
ACH-000361,-0.7118750154599942
ACH-000362,-0.7368976506590968
ACH-000363,-0.7314316775750307
ACH-000364,-0.7505594698723025
ACH-000365,-0.8021827327839323
ACH-000366,-0.6510621404634831
ACH-000368,-0.6945608083579139
ACH-000374,-0.3120421039051558
ACH-000375,-0.6760403144321641
ACH-000376,-0.3804800560229539
ACH-000381,-0.6294567948660125
ACH-000383,-0.4148408717437893
ACH-000387,-0.8416583757555859
ACH-000389,-0.5726384087473609
ACH-000390,-0.6828730835083971
ACH-000393,-0.4968379400530051
ACH-000395,-0.5197575850687862
ACH-000396,-0.5170710054746147
ACH-000397,-0.6666767005784227
ACH-000401,-0.7915435377783451
ACH-000402,-0.7364782194982117
ACH-000403,-0.4760845472850556
ACH-000404,-0.34266010366589944
ACH-000406,-0.7235136017868025
ACH-000407,-0.6752274265593667
ACH-000408,-0.5254990958702817
ACH-000410,-0.7579622812480358
ACH-000411,-0.7179627957214327
ACH-000414,-0.6498423111160297
ACH-000415,-0.6194107086220921
ACH-000416,-0.834491218702016
ACH-000420,-0.7398298174630229
ACH-000421,-0.6148729002741596
ACH-000424,-0.5381824515144115
ACH-000425,-0.6099088171037157
ACH-000426,-0.6386812131775285
ACH-000427,-0.6399674606533772
ACH-000433,-0.6666008713274477
ACH-000435,-0.6371119493279594
ACH-000436,-0.4962100863120958
ACH-000444,-0.5479336547775212
ACH-000445,-0.9312536034528914
ACH-000448,-0.4828702690652637
ACH-000450,-0.6401796537339206
ACH-000452,-0.6432952361458373
ACH-000454,-0.6608115379970121
ACH-000458,-0.6584221591121369
ACH-000459,-1.1686045031070142
ACH-000460,-0.5777142746751386
ACH-000461,-0.6086654120180283
ACH-000463,-0.753058790785797
ACH-000464,-0.4526042027683805
ACH-000466,-0.5782761753714398
ACH-000467,-0.4866888112068905
ACH-000468,-0.4962633893438158
ACH-000469,-0.6806116613237619
ACH-000470,-0.419336993238667
ACH-000471,-0.6345928264952418
ACH-000472,-0.5995623501265535
ACH-000473,-0.50460381463527
ACH-000475,-0.6888302920371376
ACH-000476,-0.6562588032256291
ACH-000477,-0.5464075973893737
ACH-000479,-0.9131037637498288
ACH-000480,-0.8497663281008793
ACH-000481,-0.5821545266064516
ACH-000483,-0.6523590646080578
ACH-000484,-0.9432982179435372
ACH-000485,-0.630287294172391
ACH-000486,-0.7464071112624286
ACH-000487,-0.7693868312434359
ACH-000488,-0.4863151315624669
ACH-000490,-0.7956972435674816
ACH-000491,-0.4537440075977486
ACH-000495,-0.6449105967913403
ACH-000496,-0.6978664990952435
ACH-000499,-0.6373021403572195
ACH-000500,-0.2560769499065918
ACH-000502,-0.7013323899670074
ACH-000503,-0.6463727421841291
ACH-000505,-0.5401678295081657
ACH-000507,-0.5087605959419803
ACH-000510,-0.5422873746026632
ACH-000511,-0.6251938875840594
ACH-000512,-0.6088203278017854
ACH-000516,-0.7327456844917838
ACH-000517,-0.6352686396829093
ACH-000518,-0.7063875951406295
ACH-000520,-0.6569568693538722
ACH-000521,-0.6849457496895819
ACH-000522,-0.7487135699981601
ACH-000524,-0.6210164930835743
ACH-000527,-0.7451800861981023
ACH-000528,-0.6480730094941531
ACH-000537,-0.6471207930289614
ACH-000541,-0.5541360859283987
ACH-000542,-0.3889285898371293
ACH-000544,-0.5963120242571043
ACH-000545,-0.6265485093496413
ACH-000547,-0.6498219572077075
ACH-000548,-0.73286341432485
ACH-000549,-0.6822544168433984
ACH-000550,-0.4826817580143818
ACH-000552,-0.4874261894449371
ACH-000556,-0.7029604890515424
ACH-000557,-0.750691054284157
ACH-000569,-0.9815156296531921
ACH-000570,-0.5438311583010097
ACH-000571,-0.4204170620722749
ACH-000573,-0.7538500546279994
ACH-000576,-0.7371064427908994
ACH-000579,-0.5512354215259561
ACH-000580,-0.6257910308623239
