,ATP5H (10476)
ACH-000004,-0.0817433039889091
ACH-000005,0.11899473974832055
ACH-000007,-0.3673690816374919
ACH-000009,-0.35395412129403137
ACH-000011,0.2750594645915034
ACH-000012,-0.03590905711250681
ACH-000013,-0.2931791961877698
ACH-000014,-0.015721864705587563
ACH-000015,-0.22478157271550533
ACH-000017,-0.15559490066518664
ACH-000018,-0.2099106565290153
ACH-000019,-0.222899448598358
ACH-000021,-0.14876767369553226
ACH-000022,-0.23577271762303365
ACH-000025,-0.18868685630731946
ACH-000028,-0.17472660703586315
ACH-000030,-0.1195121931538391
ACH-000035,-0.3276270146996649
ACH-000036,0.21688111638601976
ACH-000037,-0.038509145695240776
ACH-000039,-0.12391795353319242
ACH-000040,-0.1043587467841478
ACH-000041,-0.1135498321670972
ACH-000042,-0.031731264285539816
ACH-000045,-0.19201041947019215
ACH-000047,-0.19501879902969896
ACH-000052,-0.27227352818844386
ACH-000053,-0.0404311277072694
ACH-000054,-0.17224460053698504
ACH-000055,0.006671480312725334
ACH-000060,-0.16833374966996276
ACH-000067,-0.006179751434909013
ACH-000070,-0.3832435551944752
ACH-000075,-0.057124029225981525
ACH-000078,-0.06933124989378334
ACH-000082,-0.050811312600402
ACH-000085,-0.3416969404340843
ACH-000086,-0.2712286445765442
ACH-000087,-0.06052252898133724
ACH-000092,-0.04364995572146551
ACH-000095,0.12649002319628053
ACH-000097,-0.0678130567319243
ACH-000098,-0.21369718286675
ACH-000099,-0.10047724618800488
ACH-000108,-0.1061062731815155
ACH-000113,-0.15460696127064116
ACH-000116,-0.2907864390357771
ACH-000118,-0.4718073061066364
ACH-000120,-0.020867380245935176
ACH-000123,-0.2656650432691856
ACH-000127,-0.2272534755809291
ACH-000128,-0.19752102167005287
ACH-000132,-0.16996762562234155
ACH-000133,0.0046755337490438365
ACH-000137,-0.06616812840815718
ACH-000138,-0.1873943363834798
ACH-000142,-0.2188050934626664
ACH-000143,-0.2365810324703799
ACH-000146,0.038651315359403686
ACH-000148,-0.23965264078300216
ACH-000150,-0.36240232291676944
ACH-000152,-0.1191680814606116
ACH-000153,-0.14203431583214393
ACH-000159,-0.1657640870027946
ACH-000160,-0.44108077070942864
ACH-000163,-0.05140659115180165
ACH-000167,-0.2509133093516424
ACH-000168,-0.005820730756699216
ACH-000169,-0.3880108503298541
ACH-000178,-0.044220979346061166
ACH-000183,-0.21073844667217526
ACH-000188,-0.06964809911883649
ACH-000189,-0.14157598478117162
ACH-000190,-0.33472321849389874
ACH-000198,-0.2202125264463712
ACH-000203,-0.1768317919538229
ACH-000204,-0.14961208611556512
ACH-000206,-0.0576483763080196
ACH-000207,-0.2398996863203544
ACH-000208,-0.25728743748460675
ACH-000210,-0.026302604234689702
ACH-000211,-0.19352639629366888
ACH-000215,-0.0808185714692395
ACH-000221,-0.5264210719974532
ACH-000222,-0.025811006441762933
ACH-000223,-0.2889075767322745
ACH-000226,0.0704200430404841
ACH-000227,-0.20034476066498025
ACH-000228,-0.16271652142999934
ACH-000231,-0.08168338072555982
ACH-000232,-0.25264358100786605
ACH-000233,-0.1814685451641595
ACH-000234,-0.16402700928183514
ACH-000235,-0.028261462750076908
ACH-000237,0.023851142030948333
ACH-000238,-0.15275962040160107
ACH-000242,-0.010737033827580605
ACH-000243,-0.1472406205304549
ACH-000244,-0.13630580087723587
ACH-000246,-0.16441514373161473
ACH-000248,-0.3927209126630792
ACH-000250,-0.018585224619021488
ACH-000251,-0.3081023308895153
ACH-000252,-0.11531674849617625
ACH-000253,-0.0682253999789893
ACH-000255,-0.2368419250730309
ACH-000256,-0.20336408919304252
ACH-000257,-0.3804415290681129
ACH-000258,-0.24378728890488796
ACH-000259,-0.3088912948210443
ACH-000260,-0.09391757441863112
ACH-000261,-0.16064735293059415
ACH-000262,-0.3370059254663313
ACH-000263,-0.3015933425448189
ACH-000264,-0.14490439331237742
ACH-000265,-0.3233920216494712
ACH-000266,-0.01131546088028919
ACH-000272,-0.07622246441321777
ACH-000274,-0.2754724789702593
ACH-000277,-0.23947969290583074
ACH-000278,-0.12701322045582142
ACH-000279,-0.1434960940181419
