,PAF1 (54623)
ACH-000004,-0.6110938037335978
ACH-000005,-1.0330807427407938
ACH-000007,-0.8194699500266778
ACH-000009,-0.6107382791662502
ACH-000011,-0.7820388281394574
ACH-000012,-0.6979082828415817
ACH-000013,-0.9273521181343451
ACH-000014,-0.6355751089940208
ACH-000015,-0.9034545494118452
ACH-000017,-0.6481108466685551
ACH-000018,-0.7220086303748211
ACH-000019,-0.7837137697237427
ACH-000021,-0.7867633549894945
ACH-000022,-0.3971203319274279
ACH-000025,-0.6673507949300359
ACH-000028,-0.8168992444147903
ACH-000030,-0.6975948838512782
ACH-000035,-0.7313619848163331
ACH-000036,-0.6914101384910725
ACH-000037,-0.7580577800658685
ACH-000039,-0.819999824989417
ACH-000040,-0.7042155754815654
ACH-000041,-0.7599919164029876
ACH-000042,-0.6729107068174754
ACH-000045,-0.5362237637760372
ACH-000047,-0.6751976849529833
ACH-000052,-0.7029610275226009
ACH-000053,-0.6720863889095526
ACH-000054,-0.5868238822623322
ACH-000055,-0.8110041906432233
ACH-000060,-0.9199900284609304
ACH-000067,-0.9031946924253871
ACH-000070,-0.5695705291357636
ACH-000075,-0.8322052603844791
ACH-000078,-0.6985757199245053
ACH-000082,-0.8041189742526957
ACH-000085,-0.6622885662932573
ACH-000086,-0.8253721366980094
ACH-000087,-1.091278992993072
ACH-000092,-0.8550321745198634
ACH-000095,-0.6905992121750449
ACH-000097,-0.7738882795929586
ACH-000098,-0.7635951949592827
ACH-000099,-0.7083862116919557
ACH-000108,-0.7523389362187387
ACH-000113,-0.7367182278599885
ACH-000116,-0.8363174962895118
ACH-000118,-0.939864926397154
ACH-000120,-0.7689970392027323
ACH-000123,-0.8052718872165258
ACH-000127,-0.6254535684536051
ACH-000128,-0.6689957193865783
ACH-000132,-0.8635181596725648
ACH-000133,-0.844730281078075
ACH-000137,-0.8440014230165263
ACH-000138,-0.6017832702501972
ACH-000142,-0.7016575775851362
ACH-000143,-0.7526989574817459
ACH-000146,-0.7560351405322955
ACH-000148,-0.6405798280552425
