,CFDP1 (10428)
ACH-000004,-0.7131358495397527
ACH-000005,-0.3062070995893272
ACH-000007,-0.7529225873632072
ACH-000009,-0.3659170822143848
ACH-000011,-0.7050914480638069
ACH-000012,-0.599634754844603
ACH-000013,-0.7607821877337471
ACH-000014,-0.6437858558301616
ACH-000015,-0.3616730085569064
ACH-000017,-0.6919167443312846
ACH-000018,-0.5134051608322656
ACH-000019,-0.3018663656204094
ACH-000021,-0.7523798541688473
ACH-000022,-0.4768895618425111
ACH-000025,-0.6375032336017318
ACH-000028,-0.26551014674434537
ACH-000030,-0.472697128610036
ACH-000035,-0.4855096098683518
ACH-000036,-0.4997947966723389
ACH-000037,-0.4804130289531394
ACH-000039,-0.5676038119135287
ACH-000040,-0.6581746635346826
ACH-000041,-0.4150576993891785
ACH-000042,-0.5267433732634469
ACH-000045,-0.4687868080911643
ACH-000047,-0.6652675265057733
ACH-000052,-0.648356534290277
ACH-000053,-0.6553331953964288
ACH-000054,-0.4775733076818828
ACH-000055,-0.6184642833510702
ACH-000060,-0.4823507031189492
ACH-000067,-0.6472196726638111
ACH-000070,-0.6346891141190615
ACH-000075,-0.5994463008059766
ACH-000078,-0.4973019669683731
ACH-000082,-0.4611106869281694
ACH-000085,-0.5250476440438588
ACH-000086,-0.6808381714587242
ACH-000087,-0.7571573537366543
ACH-000092,-0.5873164036406033
ACH-000095,-0.5056288230180146
ACH-000097,-0.5430311239992079
ACH-000098,-0.7312882355552094
ACH-000099,-0.39916748311962097
ACH-000108,-0.5930122232926002
ACH-000113,-0.5865928285414349
ACH-000116,-0.7102194845893849
ACH-000118,-0.6199533336688231
ACH-000120,-0.5682860938970056
ACH-000123,-0.6056913982368338
ACH-000127,-0.37830935892808587
ACH-000128,-0.4721967858490504
ACH-000132,-0.7649006591958194
ACH-000133,-0.7113359976843199
ACH-000137,-0.606029036905163
ACH-000138,-0.42866529320751373
ACH-000142,-0.7520737857449004
ACH-000143,-0.7021757929056761
ACH-000146,-0.6882187254051103
ACH-000148,-0.7251135447532786
ACH-000150,-0.4958562628440032
ACH-000152,-0.4795500843801159
ACH-000153,-0.5311853309655274
ACH-000159,-0.51291010355887
ACH-000160,-0.4737191828689487
ACH-000163,-0.5533233111977799
ACH-000167,-0.7113626369694537
ACH-000168,-0.3662461125606053
ACH-000169,-0.5122810542556294
ACH-000178,-0.5083350692422491
ACH-000183,-0.4322397695238297
ACH-000188,-0.5557518017580999
ACH-000189,-0.4507282732936579
ACH-000190,-0.7769366776707428
ACH-000198,-0.5459604340414966
ACH-000203,-0.6520051122483057
ACH-000204,-0.5045046043669201
ACH-000206,-0.6018764510109739
ACH-000207,-0.3787800861252083
ACH-000208,-0.6255824030295846
ACH-000210,-0.6177397450158948
ACH-000211,-0.6663651746407393
ACH-000215,-0.5665550337495933
ACH-000221,-0.5381058459956382
ACH-000222,-0.5970454424403624
ACH-000223,-0.3952668935869272
ACH-000226,-0.7628683596003774
ACH-000227,-0.22096144418829688
ACH-000228,-0.5297850499037743
ACH-000231,-0.7462106721496071
ACH-000232,-0.568281585521301
ACH-000233,-0.7152324745204676
ACH-000234,-0.3632862580238527
ACH-000235,-0.4989967171337396
ACH-000237,-0.8121265140701093
ACH-000238,-0.5255860965650062
ACH-000242,-0.15870887127325248
ACH-000243,-0.4920301617967882
ACH-000244,-0.6839638322810847
ACH-000246,-0.4454283902888317
ACH-000248,-0.8065395346188551
ACH-000250,-0.4608427045036408
ACH-000251,-0.5609423042908631
ACH-000252,-0.4995625869201333
ACH-000253,-0.6104650472629095
ACH-000255,-0.4950345494038117
ACH-000256,-0.5956264110368278
ACH-000257,-0.7094753134472989
ACH-000258,-0.6332537184169318
ACH-000259,-0.4245893677197771
ACH-000260,-0.6922206838833282
ACH-000261,-0.4105006697563053
ACH-000262,-0.7942890180659622
ACH-000263,-0.3160232969183441
ACH-000264,-0.5064456970377214
ACH-000265,-0.4419255601628253
ACH-000266,-0.7847629975945329
ACH-000272,-0.4036517543442073
ACH-000274,-0.6408711533994323
ACH-000277,-0.6695271096904324
ACH-000278,-0.9229946229866816
ACH-000279,-0.4035149621956917
ACH-000280,-0.5817771441285278
ACH-000281,-0.5698125190330398
ACH-000288,-0.5979692614514455
ACH-000291,-0.3939363332168511
ACH-000293,-0.7810805335387053
ACH-000294,-0.4896220036364469
ACH-000295,-0.7322751080693114
ACH-000296,-0.4658526382371306
ACH-000302,-0.6222274424624152
