,WDSUB1 (151525)
ACH-000004,-0.029586041391063345
ACH-000005,0.1365924136506389
ACH-000007,-0.13639068530442175
ACH-000009,-0.16266357874118387
ACH-000011,0.003884640352937679
ACH-000012,-0.07011299000083855
ACH-000013,-0.0739298096052415
ACH-000014,0.07065846912678986
ACH-000015,-0.01879538628432595
ACH-000017,0.1058228498432432
ACH-000018,-0.16095009313234454
ACH-000019,-0.02376883260442348
ACH-000021,0.017383550433617445
ACH-000022,0.028254909268884926
ACH-000025,0.013919311752643541
ACH-000028,-0.2181429182233352
ACH-000030,-0.059789158525325466
ACH-000035,-0.014437930207950568
ACH-000036,-0.2157955293303108
ACH-000037,-0.14986367182726135
ACH-000039,-0.2731590965608167
ACH-000040,-0.07513786757691067
ACH-000041,-0.08585068735618022
ACH-000042,-0.03386983322357672
ACH-000045,-0.12286056452023505
ACH-000047,-0.19075234779460365
ACH-000052,-0.04386216224966007
ACH-000053,-0.02844854219237975
ACH-000054,-0.15357200174435431
ACH-000055,-0.1765257563734783
ACH-000060,-0.13113842072190074
ACH-000067,-0.1889246166870429
ACH-000070,0.017236215328125918
ACH-000075,-0.23960211457966105
ACH-000078,-0.02704570729883497
ACH-000082,0.025200026687155368
ACH-000085,-0.0979551739201456
ACH-000086,0.01104196287979867
ACH-000087,-0.14520343990094964
ACH-000092,-0.07317858300977921
ACH-000095,-0.05211119394717418
ACH-000097,-0.10864857020025026
ACH-000098,-0.05361111835144476
ACH-000099,-0.05562148830315082
ACH-000108,-0.07979546499360013
ACH-000113,0.03676301303397452
ACH-000116,-0.09989105709645384
ACH-000118,-0.016257809362503695
ACH-000120,-0.11352882483757727
ACH-000123,-0.06952577688757959
ACH-000127,-0.000805563084478306
ACH-000128,0.011772243543713548
ACH-000132,-0.22839136608929075
ACH-000133,-0.07565132989138224
ACH-000137,-0.027174983096034427
ACH-000138,-0.050569297234801504
ACH-000142,0.038160973819928085
ACH-000143,0.036494826505229394
ACH-000146,0.020485849572731942
ACH-000148,-0.06892353795726147
ACH-000150,-0.017085630568360197
ACH-000152,-0.03687453161397968
ACH-000153,-0.1413909024671298
ACH-000159,-0.06964069831589903
ACH-000160,-0.039972248188032335
ACH-000163,-0.03875965742942613
ACH-000167,-0.0581613055837507
ACH-000168,0.04506027725483222
ACH-000169,0.02637615959374781
ACH-000178,-0.046149007761521366
ACH-000183,-0.15486313706011667
ACH-000188,0.01916572768258952
ACH-000189,0.1279703951943268
ACH-000190,-0.08152208663204626
ACH-000198,-0.03878935532715918
ACH-000203,-0.7212369926993961
ACH-000204,-0.21841154452534975
ACH-000206,-0.00527690023380102
ACH-000207,0.04592339218919792
ACH-000208,-0.18291284722528
ACH-000210,0.0939518456814262
ACH-000211,-0.06412923093075193
ACH-000215,-0.15770127471220793
ACH-000221,0.030497141030677136
ACH-000222,-0.0341512425205563
ACH-000223,-0.07767586494420757
ACH-000226,-0.010715552930241928
ACH-000227,-0.09251852583474136
ACH-000228,-0.13445643422343848
ACH-000231,-0.07181895294137595
ACH-000232,-0.08568980273238495
ACH-000233,-0.011195924007678644
ACH-000234,-0.0832752418346678
ACH-000235,0.0035178213807194715
ACH-000237,-0.031687213044409614
ACH-000238,-0.04314658115755323
ACH-000242,-0.15670379537864346
ACH-000243,0.05450182128161878
ACH-000244,-0.06930026650801074
ACH-000246,-0.010361412972725937
ACH-000248,-0.1793826655870505
ACH-000250,-0.034756932628943873
ACH-000251,-0.16729410475621065
ACH-000252,-0.0026688444371038155
ACH-000253,0.0021387178494533896
ACH-000255,-0.21797045572766147
ACH-000256,-0.06610363077371402
ACH-000257,-0.14610081995575988
ACH-000258,0.01684117259331903
ACH-000259,0.003942017136009773
ACH-000260,-0.21967870053906555
ACH-000261,-0.035202068491096306
ACH-000262,0.09259367595879904
ACH-000263,-0.05605257438113394
ACH-000264,-0.022735030006247527
ACH-000265,-0.15809118566456154
ACH-000266,-0.03957605348015617
ACH-000272,-0.08826176266716212
ACH-000274,-0.07142386481626868
