,TYRO3 (7301)
ACH-000004,-0.5884347178469308
ACH-000005,-0.4846374852145486
ACH-000007,-0.11387137802703973
ACH-000009,-0.31221176652940197
ACH-000011,-0.06493031345731658
ACH-000012,-0.17655030189163926
ACH-000013,-0.0419939319123268
ACH-000014,-0.5663204372346919
ACH-000015,-0.1099945214801532
ACH-000017,-0.2671243601644548
ACH-000018,-0.14960775349980374
ACH-000019,0.07872460640591558
ACH-000021,0.029449997292077236
ACH-000022,-0.2477951470719953
ACH-000025,-0.20558281650283036
ACH-000028,0.1221529108718062
ACH-000030,-0.16998118150924846
ACH-000035,-0.2716089211703526
ACH-000036,0.013056666787732329
ACH-000037,-0.21088986951560512
ACH-000039,-0.028338625662113613
ACH-000040,-0.0787287926268305
ACH-000041,-0.14215488216291775
ACH-000042,-0.2214167853079848
ACH-000045,-0.18619631454346186
ACH-000047,-0.0032419616873115924
ACH-000052,-0.15193690264189078
ACH-000053,-0.02440853035207537
ACH-000054,-0.07552792934155188
ACH-000055,-0.011215491798975559
ACH-000060,-0.033419211485856457
ACH-000067,-0.040577046913729986
ACH-000070,-0.08839375001549933
ACH-000075,0.011307214921464557
ACH-000078,-0.04112023721927258
ACH-000082,-0.10976829201252483
ACH-000085,0.17756520837070253
ACH-000086,-0.023407683725375515
ACH-000087,-0.14554104611011426
ACH-000092,-0.15745038689431504
ACH-000095,-0.1728676657053224
ACH-000097,-0.16094911837824355
ACH-000098,-0.1037290270766926
ACH-000099,-0.21832091125459094
ACH-000108,-0.2282178007909791
ACH-000113,-0.21362549194709332
ACH-000116,-0.04240780048187165
ACH-000118,-0.046866074666387016
ACH-000120,-0.25234548062156525
ACH-000123,-0.15598353142202956
ACH-000127,-0.2036651619350829
ACH-000128,-0.2441585193956354
ACH-000132,-0.18040644059497407
ACH-000133,-0.07695831537530874
ACH-000137,0.0019505750676679391
ACH-000138,0.018021595835157868
ACH-000142,0.04401666186809813
ACH-000143,-0.18324733072855987
ACH-000146,-0.1812954581052958
ACH-000148,-0.13222874850850294
ACH-000150,-0.1967884893142408
ACH-000152,0.015423372796422016
ACH-000153,-0.2279420785912216
ACH-000159,-0.02736565415986277
ACH-000160,-0.2772427757420185
ACH-000163,-0.009219386578972286
ACH-000167,-0.14352183596528886
ACH-000168,-0.15201425578244646
ACH-000169,-0.2795524437878117
ACH-000178,-0.22739845213243925
ACH-000183,-0.3982006699479821
ACH-000188,-0.219392979134617
ACH-000189,-0.20197118283625493
ACH-000190,-0.06170451672658572
ACH-000198,-0.11664827679802064
ACH-000203,-0.3576073422045545
ACH-000204,-0.18321110142069014
ACH-000206,-0.4102265993406145
ACH-000207,-0.15852799587396446
ACH-000208,-0.1347048832911216
ACH-000210,-0.2273449661344293
ACH-000211,-0.10255390632720016
ACH-000215,-0.06654651514734057
ACH-000221,-0.18532775361984927
ACH-000222,-0.23080467345359404
ACH-000223,-0.14559894814630395
ACH-000226,-0.11618038988585873
ACH-000227,-0.2889740355356896
ACH-000228,-0.06159968254910824
ACH-000231,-0.25468469109665914
ACH-000232,-0.029155655387454224
ACH-000233,-0.2224689014519982
ACH-000234,0.0026086725628203323
ACH-000235,-0.1820990813075341
ACH-000237,-0.09885279988223758
ACH-000238,0.06538565452394969
ACH-000242,-0.16141159224959287
ACH-000243,-0.20988214236991048
ACH-000244,-0.10122480268474117
ACH-000246,0.004685344000038567
ACH-000248,-0.10422976146826818
ACH-000250,-0.06065773015006106
ACH-000251,-0.12150431672904237
ACH-000252,-0.13675061310259545
ACH-000253,-0.12430642148103555
ACH-000255,-0.26704323696103394
ACH-000256,-0.1168808242142604
ACH-000257,-0.2739513730366008
ACH-000258,0.02598422179026684
ACH-000259,0.004494224477977234
ACH-000260,-0.14869964659814314
ACH-000261,-0.3906100418036027
ACH-000262,0.006949129928092603
ACH-000263,-0.01098427578166102
ACH-000264,-0.08301517776638825
ACH-000265,-0.2964891038928588
ACH-000266,-0.1436013909405931
ACH-000272,-0.2961279441780233
ACH-000274,-0.16682394199113246
ACH-000277,0.0327059417664207
ACH-000278,0.02637707529490724
ACH-000279,-0.15933101215949616
ACH-000280,-0.07401029953995232
ACH-000281,-0.07739039786942685
ACH-000288,-0.28959864487491666
ACH-000291,-0.32692231937738964
ACH-000293,-0.008202459576202525
ACH-000294,-0.3408882155222015
ACH-000295,0.01926045748069428
ACH-000296,-0.11187108968152856
ACH-000302,-0.12272935103767757
ACH-000304,-0.32556973407894674
ACH-000307,-0.10974998701473207
ACH-000308,-0.08518794524277819
ACH-000310,-0.2311173975681875
ACH-000311,-0.14344704704392736
ACH-000312,-0.28799858768201897
ACH-000315,-0.440168074012007
ACH-000316,-0.07474267594223102
ACH-000317,-0.007742624139732206
ACH-000318,-0.1568970215145789
ACH-000319,-0.2342882114621906
ACH-000320,-0.032790479380717094
ACH-000322,-0.1502089007270858
ACH-000323,-0.11293687033260255
ACH-000324,-0.12634073296951984
ACH-000329,-0.01711372984771008
ACH-000330,-0.09588123832154666
ACH-000331,-0.1285611604306406
ACH-000332,-0.09819917115664377
ACH-000334,-0.02572961779047077
ACH-000335,-0.08009577633759016
ACH-000336,0.09332049401284953
ACH-000337,-0.11890082937221133
ACH-000338,-0.17004640607970622
ACH-000339,-0.15559906171498486
ACH-000341,-0.09826001321402944
ACH-000348,-0.1258815182251912
ACH-000350,-0.3458765473927972
ACH-000352,-0.03247200452270214
ACH-000356,-0.18830887522055428
ACH-000361,-0.10714544181171914
ACH-000362,-0.14643158998080272
ACH-000363,-0.12420547331613932
ACH-000364,-0.0819650683521665
ACH-000365,-0.19593841580993304
ACH-000366,-0.16998722787898246
ACH-000368,-0.21956266703791305
ACH-000374,-0.2056854829695064
ACH-000375,-0.20502360118638274
ACH-000376,-0.1352782499226429
ACH-000381,-0.04825951515174557
ACH-000383,-0.17520681540900016
ACH-000387,-0.20181204111621967
ACH-000389,0.020813850562582448
ACH-000390,-0.20453475789540276
ACH-000393,-0.13369956671080796
ACH-000395,-0.056004815976338766
ACH-000396,-0.21888712248766948
ACH-000397,0.010351184793703382
ACH-000401,-0.09532134932506467
ACH-000402,-0.10729394505224878
ACH-000403,-0.21824668903587766
ACH-000404,-0.2875784003211159
ACH-000406,-0.11266184242442713
ACH-000407,-0.2628621941406121
ACH-000408,0.03395851152122642
ACH-000410,-0.1097186539565072
ACH-000411,0.07316087762264091
ACH-000414,-0.15566212054051348
ACH-000415,-0.3962624468364216
ACH-000416,-0.006705875585797636
ACH-000420,-0.17652600487346018
ACH-000421,-0.2043804889734773
ACH-000424,-0.3680334885126778
ACH-000425,-0.19397931604470173
ACH-000426,-0.05534996664727768
ACH-000427,-0.060979571060379885
ACH-000433,0.07123750572691849
ACH-000435,0.037014657320860574
ACH-000436,-0.06207035927167433
ACH-000444,-0.03812075000756433
ACH-000445,-0.14055215032198587
ACH-000448,-0.15991700703066558
ACH-000450,-0.5077218507239593
ACH-000452,-0.11060683040891807
ACH-000454,-0.1408772193751431
ACH-000458,0.04376251139480854
ACH-000459,-0.07430494626071918
ACH-000460,-0.1773041553897364
ACH-000461,-0.014780780022194
ACH-000463,-0.063813391999229
ACH-000464,-0.22260330176663715
ACH-000466,-0.04103753862441847
ACH-000467,-0.0027172326991629693
ACH-000468,-0.3404098718496145
ACH-000469,-0.01923538693086634
ACH-000470,-0.2524870719797813
ACH-000471,-0.04364873043288208
ACH-000472,-0.17070180479676328
ACH-000473,-0.2303067014167675
ACH-000475,-0.09334487234048487
ACH-000476,-0.054752047197889016
ACH-000477,-0.40763228647304267
ACH-000479,-0.2065261828460352
ACH-000480,-0.0388083172147442
ACH-000481,-0.3490754992679275
ACH-000483,-0.16384954421528078
ACH-000484,-0.057257163595570974
ACH-000485,-0.060133253876370925
ACH-000486,-0.02030190042724634
ACH-000487,-0.10769300213550438
ACH-000488,-0.01652883019401179
ACH-000490,-0.108830512507677
ACH-000491,-0.2214116862107736
ACH-000495,-0.14112791926919244
ACH-000496,-0.1921174502116526
ACH-000499,-0.22280934956697845
ACH-000500,-0.1808359031513292
ACH-000502,-0.03956515356308362
ACH-000503,-0.4893206904289574
ACH-000505,-0.1768104339686543
ACH-000507,-0.16808952955876966
ACH-000510,-0.13153826617937153
