,LSG1 (55341)
ACH-000004,-0.7219701814987471
ACH-000005,-0.9867520811000872
ACH-000007,-0.9808303305767084
ACH-000009,-1.0129450352857632
ACH-000011,-0.9230269076578548
ACH-000012,-0.724398889571537
ACH-000013,-0.9917711185180518
ACH-000014,-0.6796375113386196
ACH-000015,-0.8660682698645811
ACH-000017,-0.5826808334418996
ACH-000018,-0.7836331177776641
ACH-000019,-0.6724632601062748
ACH-000021,-0.8646164650886462
ACH-000022,-0.7324144694582813
ACH-000025,-0.8189257023892144
ACH-000028,-0.8792316588413263
ACH-000030,-0.6870868981323079
ACH-000035,-1.0173257057632683
ACH-000036,-0.7457682099625323
ACH-000037,-0.712150055635499
ACH-000039,-0.8123744592757719
ACH-000040,-0.7712856844554469
ACH-000041,-1.0708311446067451
ACH-000042,-0.618163452334241
ACH-000045,-0.7844349746987731
ACH-000047,-0.6769141464474056
ACH-000052,-1.0603835937704071
ACH-000053,-0.6839598199393403
ACH-000054,-0.776302721900364
ACH-000055,-0.8409943074344742
ACH-000060,-0.7693954713688195
ACH-000067,-0.6450934595511482
ACH-000070,-0.7518638030933741
ACH-000075,-0.9719089057917276
ACH-000078,-0.7056162965228412
ACH-000082,-0.7649456768008904
ACH-000085,-0.94643984531086
ACH-000086,-0.9068262512001428
ACH-000087,-0.601896198450723
ACH-000092,-0.7927469635065514
ACH-000095,-0.8349881229985652
ACH-000097,-0.6919003591969857
ACH-000098,-0.8366999003660572
ACH-000099,-0.6337840442189381
ACH-000108,-0.8470369443799989
ACH-000113,-0.5427283619706713
ACH-000116,-0.7868289994759866
ACH-000118,-0.6999058287592475
ACH-000120,-0.7374296877241746
ACH-000123,-0.6186163543370319
ACH-000127,-0.7962885348570136
ACH-000128,-1.0159829947671166
ACH-000132,-0.6588759568120669
ACH-000133,-0.8141256777248146
ACH-000137,-0.8299015687309499
ACH-000138,-0.8589312489004737
ACH-000142,-0.8611746663761763
ACH-000143,-0.8240626354026583
ACH-000146,-0.7416695754978986
ACH-000148,-0.9190909067040864
ACH-000150,-0.9089060213062032
ACH-000152,-0.8307700307285026
ACH-000153,-1.0768928469330616
ACH-000159,-0.7015429261962304
ACH-000160,-0.8211376572715919
ACH-000163,-0.877794166717792
ACH-000167,-1.140280214445769
ACH-000168,-0.6012936557267575
ACH-000169,-0.8545481856318901
