,NIP7 (51388)
ACH-000004,-1.4569135998005858
ACH-000005,-1.8930035787650343
ACH-000007,-1.472776571662708
ACH-000009,-1.2751413572471721
ACH-000011,-1.6894408577920994
ACH-000012,-1.288228962539554
ACH-000013,-1.6522921616817627
ACH-000014,-1.6494848585239834
ACH-000015,-1.2758863570633356
ACH-000017,-1.4990460801447782
ACH-000018,-1.3207835731410105
ACH-000019,-1.0551684273201771
ACH-000021,-1.4751641718216817
ACH-000022,-1.504853243840414
ACH-000025,-1.323074854983174
ACH-000028,-1.3159222629433769
ACH-000030,-1.4554359430075745
ACH-000035,-1.4041830536244733
ACH-000036,-1.545072108660528
ACH-000037,-1.0406964495965867
ACH-000039,-1.4434852707762396
ACH-000040,-1.4483072648843185
ACH-000041,-1.521287336521569
ACH-000042,-1.3512087945254807
ACH-000045,-1.5436781260420605
ACH-000047,-1.2408647069768048
ACH-000052,-1.3050909435098348
ACH-000053,-1.4697976054173942
ACH-000054,-1.293460885153135
ACH-000055,-1.424995216890035
ACH-000060,-1.346556238460002
ACH-000067,-1.4748178126715619
ACH-000070,-1.3403918896098712
ACH-000075,-1.4940619764675505
ACH-000078,-1.6185609777468897
ACH-000082,-1.28196204685152
ACH-000085,-1.6075130857580984
ACH-000086,-1.3335080305464944
ACH-000087,-1.5489264262297062
ACH-000092,-1.3798985262455052
ACH-000095,-1.4459095076703117
ACH-000097,-1.615194933059225
ACH-000098,-1.59420449005097
ACH-000099,-1.373505893449274
ACH-000108,-1.213793036192815
ACH-000113,-1.2230777691061097
ACH-000116,-1.5307146099469366
ACH-000118,-1.348107931837208
ACH-000120,-1.3563592020484547
ACH-000123,-1.1902489535721552
ACH-000127,-1.4123542760600312
ACH-000128,-1.30796370473197
ACH-000132,-1.4939362656586348
ACH-000133,-1.471044062750125
ACH-000137,-1.1342568409402902
ACH-000138,-1.4346688927060618
ACH-000142,-1.2377628638719542
ACH-000143,-1.4270585429263134
ACH-000146,-1.666993024475398
ACH-000148,-1.8370986812342576
ACH-000150,-1.3705506673272423
ACH-000152,-1.370442315877696
ACH-000153,-1.6545734699394814
ACH-000159,-1.4200996090167384
ACH-000160,-1.5789724338047937
ACH-000163,-1.3810741327700726
ACH-000167,-1.8292783267020116
ACH-000168,-1.5428122036843075
ACH-000169,-1.4695867751620864
ACH-000178,-1.2838839312781334
