,RNMTL1 (55178)
ACH-000004,-0.029790260709098224
ACH-000005,-0.1151204530253159
ACH-000007,-0.34380262599433586
ACH-000009,-0.2498958511769599
ACH-000011,-0.09052575681079268
ACH-000012,-0.20433670173144586
ACH-000013,-0.4009672006172526
ACH-000014,-0.2136067625679352
ACH-000015,-0.4520544992752673
ACH-000017,-0.23815498288369
ACH-000018,-0.09932819145276676
ACH-000019,-0.3108327816214668
ACH-000021,-0.1414314383971412
ACH-000022,-0.4274445309421275
ACH-000025,-0.23811782725958802
ACH-000028,-0.5607726363109121
ACH-000030,-0.17232259172609726
ACH-000035,-0.2777346647891051
ACH-000036,-0.004638954987966994
ACH-000037,-0.3736218072932429
ACH-000039,-0.056823911398193025
ACH-000040,-0.3107961436970054
ACH-000041,-0.2481382703296583
ACH-000042,-0.1952434372266959
ACH-000045,-0.13676722598575647
ACH-000047,-0.5659599979032068
ACH-000052,-0.4234623688844519
ACH-000053,-0.1597255493998072
ACH-000054,-0.23890204958501116
ACH-000055,-0.14471963242977556
ACH-000060,-0.4123251990991284
ACH-000067,-0.090598640668183
ACH-000070,-0.267318328411963
ACH-000075,-0.23678424769870765
ACH-000078,-0.30703315895609296
ACH-000082,-0.20795164016649065
ACH-000085,-0.1286821607397392
ACH-000086,-0.4690162284673826
ACH-000087,-0.2912890208598372
ACH-000092,-0.17656873718939098
ACH-000095,-0.02486198058250454
ACH-000097,-0.0730137967187472
ACH-000098,-0.234370204810241
ACH-000099,-0.4410619571663532
ACH-000108,-0.1596983261862824
ACH-000113,-0.5743145486202015
ACH-000116,-0.20674863173808686
ACH-000118,-0.5883032664247158
ACH-000120,-0.08153216710432377
ACH-000123,-0.3574497751153079
ACH-000127,-0.2823692021767749
ACH-000128,-0.44053226545559615
ACH-000132,-0.2523298784737832
ACH-000133,-0.29405548661159986
ACH-000137,-0.31226470989766586
ACH-000138,-0.16643907525459006
ACH-000142,-0.10789210501068272
ACH-000143,-0.2751699458742027
ACH-000146,-0.15443424340125447
ACH-000148,-0.30388811479185324
ACH-000150,-0.3618456965018088
ACH-000152,-0.20377587598876049
ACH-000153,-0.36523212928148857
ACH-000159,-0.2116526825581054
ACH-000160,-0.508081267161684
ACH-000163,-0.1853833715833132
ACH-000167,-0.2794323905549476
ACH-000168,-0.22298710641454145
ACH-000169,-0.3203014208735949
ACH-000178,-0.29022186528007543
ACH-000183,-0.06979514003792307
ACH-000188,-0.2782962859349352
ACH-000189,-0.2721695914045914
ACH-000190,-0.4424256114865265
ACH-000198,-0.2778945505630967
ACH-000203,-0.1829176833679084
ACH-000204,-0.3919320442269101
ACH-000206,0.003527582143525236
ACH-000207,-0.2790335843615836
ACH-000208,0.04152490304445053
ACH-000210,-0.3044084317964417
ACH-000211,-0.2691351638892733
ACH-000215,-0.2206773836358568
ACH-000221,-0.5286371340590522
ACH-000222,-0.16588088346038915
ACH-000223,-0.26349037454180424
ACH-000226,-0.10086553681611496
ACH-000227,-0.15173471012439999
ACH-000228,-0.2503197477740872
ACH-000231,-0.08935627363728255
ACH-000232,-0.3874614999834433
ACH-000233,-0.1426100577018274
ACH-000234,-0.2759877994981942
ACH-000235,-0.13648361037971787
ACH-000237,-0.08834383277573657
ACH-000238,-0.2322061268684441
ACH-000242,0.004278548681517082
ACH-000243,-0.14336669321421058
ACH-000244,-0.19323701469773966
ACH-000246,-0.43892637803800416
ACH-000248,-0.16847832386585193
ACH-000250,-0.05151232506974706
ACH-000251,-0.18699548150565767
ACH-000252,-0.02242486874416317
ACH-000253,-0.11924072523820828
ACH-000255,-0.17785902640638507
ACH-000256,-0.3274139866937246
ACH-000257,-0.2640691128899907
ACH-000258,-0.2102232554747139
ACH-000259,-0.636597263872072
ACH-000260,-0.20445782305439905
ACH-000261,-0.05643051710712981
ACH-000262,-0.2798484496225038
ACH-000263,-0.2602321690429369
ACH-000264,-0.17920710414999422
ACH-000265,-0.5038061688676027
ACH-000266,-0.19656966520327404
ACH-000272,-0.1777599645412045
ACH-000274,-0.2652619865964861
ACH-000277,-0.3755073054297963
ACH-000278,-0.13482125781449836
ACH-000279,-0.2927166409139409
ACH-000280,-0.2987910744602601
ACH-000281,-0.33927958431761696
