,PSMA7 (5688)
ACH-000004,-1.0608646311657954
ACH-000005,-1.1810001647121713
ACH-000007,-1.1621486034269863
ACH-000009,-0.9403959050080276
ACH-000011,-1.222738178639042
ACH-000012,-1.190557076527205
ACH-000013,-1.1766387257514297
ACH-000014,-1.1374143860821335
ACH-000015,-1.2103808393712374
ACH-000017,-1.0661089174883158
ACH-000018,-0.8371795742360629
ACH-000019,-1.2215409161710535
ACH-000021,-1.185211081287355
ACH-000022,-1.0765941808905128
ACH-000025,-1.3281509466077528
ACH-000028,-1.1503948609998749
ACH-000030,-1.1400899268398517
ACH-000035,-0.7520310419238869
ACH-000036,-1.214535550280751
ACH-000037,-0.6563003286354031
ACH-000039,-0.9118093945028408
ACH-000040,-1.4003632725324044
ACH-000041,-0.8893155674440535
ACH-000042,-1.3644833494832398
ACH-000045,-1.3039803260815592
ACH-000047,-1.2916284638857185
ACH-000052,-1.0279802786277517
ACH-000053,-1.2163978408809462
ACH-000054,-1.127093757244629
ACH-000055,-1.1216334047402188
ACH-000060,-1.0297110228418576
ACH-000067,-1.3809580797458365
ACH-000070,-1.0606462923070965
ACH-000075,-1.1127588977053984
ACH-000078,-1.065325682995622
ACH-000082,-1.237377665616047
ACH-000085,-1.442445316685249
ACH-000086,-1.2352880294522606
ACH-000087,-1.2708310765945756
ACH-000092,-1.0472057558707395
ACH-000095,-1.160113064808604
ACH-000097,-1.1381300214312464
ACH-000098,-1.134717716280829
ACH-000099,-1.0676736062825058
ACH-000108,-1.1750450882757928
ACH-000113,-1.2457121972819092
ACH-000116,-1.180989532157792
ACH-000118,-1.1908263486566142
ACH-000120,-1.1049228904527053
ACH-000123,-1.0445029699035433
ACH-000127,-1.1194033535167904
ACH-000128,-1.4168124763144918
ACH-000132,-1.135023594191539
ACH-000133,-1.103159083169177
ACH-000137,-1.3303903464266726
ACH-000138,-1.3076387003121244
ACH-000142,-1.0038085252716051
ACH-000143,-1.355611718777174
ACH-000146,-1.3152413964768652
ACH-000148,-1.3329261110360275
ACH-000150,-1.2088842567188816
ACH-000152,-1.0618071822419777
ACH-000153,-1.121003011236325
ACH-000159,-1.1041718191782135
ACH-000160,-1.0955326601622963
ACH-000163,-1.1492719162999132
ACH-000167,0.019160584844811798
ACH-000168,-1.3121589567666267
ACH-000169,-1.0735619742250575
ACH-000178,-0.924302361038293
ACH-000183,-1.4123595707778074
ACH-000188,-1.1168366696075176
ACH-000189,-0.953390155291196
ACH-000190,-1.1316963439662313
ACH-000198,-1.3076101424531277
ACH-000203,-1.1696738203221182
ACH-000204,-1.294202972740793
ACH-000206,-1.5900341866879188
ACH-000207,-1.3317457100123449
ACH-000208,-1.2736291088642815
ACH-000210,-1.2691238697298008
ACH-000211,-1.139599149410868
ACH-000215,-0.909866571394666
ACH-000221,-1.3019974094243298
ACH-000222,-0.9271804976302094
ACH-000223,-1.152903514064758
ACH-000226,-1.2262088024602615
ACH-000227,-1.1373669443045455
ACH-000228,-1.2102029004846593
ACH-000231,-1.0710215309442808
ACH-000232,-1.1300547309804434
ACH-000233,-1.2771794823491325
ACH-000234,-1.2233326539265947
ACH-000235,-1.0649755096997229
ACH-000237,-1.1571291770555256
ACH-000238,-1.187681591408983
ACH-000242,-1.0884900519788814
ACH-000243,-1.166976986624104
ACH-000244,-1.1939274432725475
ACH-000246,-1.2010957913551077
ACH-000248,-0.9175966003824236
ACH-000250,-1.107278988348553
ACH-000251,-1.2481282224823422
ACH-000252,-1.0350815862213507
ACH-000253,-1.1247426447333524
ACH-000255,-1.3007277715119765
ACH-000256,-1.115572781553313
ACH-000257,-1.3294113265883123
ACH-000258,-1.2374659583261245
ACH-000259,-1.3192363062862742
ACH-000260,-1.1664439196147325
ACH-000261,-1.2447632113543368
ACH-000262,-1.0601255241419554
ACH-000263,-1.2497033819129386
ACH-000264,-1.1656391953172662
ACH-000265,-1.1093280261958256
ACH-000266,-1.1986859872582754
ACH-000272,-1.2514717554926538
ACH-000274,-1.1278814185045043
ACH-000277,-1.5572922030128291
ACH-000278,-1.1854703548430856
ACH-000279,-1.0306166493385978
ACH-000280,-0.9800701009178036
ACH-000281,-1.123032014139576
ACH-000288,-1.1008153617923286
ACH-000291,-0.9842812404251484
ACH-000293,-1.3676174037491398
ACH-000294,-1.5044470109403183
ACH-000295,-1.414432704300054
ACH-000296,-1.2400075908937576
ACH-000302,-1.1989365061245991
ACH-000304,-1.311812907016089
ACH-000307,-1.0864738125148794
ACH-000308,-1.1256580134040173
ACH-000310,-1.0623697684598097
ACH-000311,-1.211120799335043
ACH-000312,-1.1456312561165058
ACH-000315,-1.1860612054898871
ACH-000316,-1.1360147440071453
ACH-000317,-1.2984100693878828
ACH-000318,-0.8759961106694787
ACH-000319,-0.9986325753713218
ACH-000320,-1.2690271970563547
ACH-000322,-1.0269756195443909
ACH-000323,-0.9074253348257554
ACH-000324,-1.0729471275158
ACH-000329,-1.0811438002411855
ACH-000330,-0.9223278554880744
ACH-000331,-1.2780517853185225
ACH-000332,-1.102532847299448
ACH-000334,-1.092014176467874
ACH-000335,-1.3692401058588444
ACH-000336,-0.9141266062907878
ACH-000337,-1.222033721126633
ACH-000338,-1.005293393874189
ACH-000339,-1.0262675552881737
ACH-000341,-1.388626540953215
ACH-000348,-1.2758660735727485
ACH-000350,-1.0190134073473915
ACH-000352,-0.9975606419497748
ACH-000356,-0.9128165606717096
ACH-000361,-1.2618311501599693
ACH-000362,-1.1728150147473098
ACH-000363,-1.2696221348303571
ACH-000364,-1.3206822007440973
ACH-000365,-0.9234610676691476
ACH-000366,-1.0661598896411542
ACH-000368,-1.0962528857457836
ACH-000374,-1.1829217401333756
ACH-000375,-1.3953318789639513
ACH-000376,-1.1285166436678338
ACH-000381,-1.2813462052096796
ACH-000383,-1.2593626358590801
ACH-000387,-1.3535047566717022
ACH-000389,-1.1403935518494086
ACH-000390,-1.0669477650719443
ACH-000393,-1.2662439349516112
