,SRXN1 (140809)
ACH-000004,-0.04765665255946943
ACH-000005,-0.1682319361720886
ACH-000007,-0.5030539794257991
ACH-000009,-0.09428811209052146
ACH-000011,-0.029615739425141643
ACH-000012,-0.21617939505901548
ACH-000013,-0.18246705851907508
ACH-000014,-0.20084115757761828
ACH-000015,-0.14034349511331345
ACH-000017,-0.35752543914228
ACH-000018,-0.2511890818079474
ACH-000019,0.047019022072472265
ACH-000021,-0.08746907185036779
ACH-000022,-0.24921734541679244
ACH-000025,-0.2140087955678768
ACH-000028,-0.1506069032872403
ACH-000030,-0.2750452975660435
ACH-000035,-0.25687374972759985
ACH-000036,-0.12776514273017772
ACH-000037,-0.14170402979946256
ACH-000039,-0.4582975921485116
ACH-000040,-0.35493093776470896
ACH-000041,-0.2094084164053956
ACH-000042,-0.2697851723637583
ACH-000045,-0.10528583672477206
ACH-000047,-0.30498526504897955
ACH-000052,-0.3629217711436189
ACH-000053,-0.25295179562259074
ACH-000054,-0.38693700962708616
ACH-000055,-0.1822912717504369
ACH-000060,-0.3279492950349285
ACH-000067,-0.2462518280488481
ACH-000070,-0.19505731751309568
ACH-000075,-0.2267827033958407
ACH-000078,-0.23319650050095675
ACH-000082,-0.21040487354735515
ACH-000085,0.12374333120812878
ACH-000086,-0.14985874239299066
ACH-000087,0.028149739714311336
ACH-000092,-0.2787301743236855
ACH-000095,-0.2280961135975001
ACH-000097,-0.0747821490450523
ACH-000098,-0.20717208968396
ACH-000099,-0.2183098469945138
ACH-000108,-0.013832276499610226
ACH-000113,-0.12182701459455388
ACH-000116,-0.3447281743809252
ACH-000118,-0.19693927326777527
ACH-000120,-0.27956183273121954
ACH-000123,-0.14941578502477101
ACH-000127,-0.26781732676283143
ACH-000128,-0.4071435569234719
ACH-000132,-0.3281083481675354
ACH-000133,-0.18568708922691374
ACH-000137,-0.036655218118696216
ACH-000138,-0.15692904163951926
ACH-000142,-0.1392560839644182
ACH-000143,-0.0818956729710128
ACH-000146,-0.20593146280846195
ACH-000148,-0.05391235114196668
ACH-000150,-0.2226421922733714
ACH-000152,-0.14760929075968476
ACH-000153,-0.1089143792928838
ACH-000159,-0.16604076669320722
ACH-000160,-0.07350267858243291
ACH-000163,-0.04841573412000846
ACH-000167,-0.2467350708950635
ACH-000168,-0.16525831602659566
ACH-000169,-0.36102690006822
ACH-000178,-0.14926261364347634
ACH-000183,-0.2399125735824484
ACH-000188,-0.18054089218458266
ACH-000189,-0.18031434613135847
ACH-000190,-0.41576251217370414
ACH-000198,-0.17619541542584075
ACH-000203,-0.4133330349984937
