,LNX2 (222484)
ACH-000210,-0.0041083435795946635
ACH-000211,0.051778292525510236
ACH-000215,0.04853451375100012
ACH-000221,0.13342920457326332
ACH-000222,0.14925236832808425
ACH-000223,0.050708601513167036
ACH-000226,0.13805708378608358
ACH-000227,0.17808380039040292
ACH-000228,0.0022035751802252177
ACH-000231,0.09512325045838413
ACH-000232,0.2137784888239936
ACH-000233,0.1124174505385396
ACH-000234,0.2354705299128485
ACH-000235,0.11502370142673406
ACH-000237,0.14366832235258464
ACH-000238,0.15473195582061816
ACH-000242,0.2009754758325866
ACH-000243,0.13956292794916406
ACH-000244,-0.026701378143539626
ACH-000246,0.10837529715930436
ACH-000248,0.17640455855252227
ACH-000250,0.12087568466388518
ACH-000251,-0.029669503491455206
ACH-000252,0.20147742572367372
ACH-000253,0.109268470005625
ACH-000255,0.042169178124754236
ACH-000256,0.16444206960882796
ACH-000257,0.136970547017493
ACH-000258,0.0920889536570931
ACH-000259,0.12316246973451887
ACH-000260,0.06324816553043433
ACH-000261,0.11097984385602183
ACH-000262,0.074153314084688
ACH-000263,0.2330312325075294
ACH-000264,0.10723569936795724
ACH-000265,0.030844771755250088
ACH-000266,0.08443713588838159
ACH-000272,0.13039364219021218
ACH-000274,0.1582477964814123
ACH-000277,0.18242434142697636
ACH-000278,0.0406131635661787
ACH-000279,0.16648797385062922
ACH-000280,0.13808971592761818
ACH-000281,0.18784714027327065
ACH-000288,0.10117793699149187
ACH-000291,0.03132984787655218
ACH-000293,0.09640023612378963
ACH-000294,0.1584204990544992
ACH-000295,0.18246417468696466
ACH-000296,0.05436636698831123
ACH-000302,0.12911523019835222
ACH-000304,0.10636453665381672
ACH-000307,0.12764841675558675
ACH-000308,0.2085660134029172
ACH-000310,0.17539282035011966
ACH-000311,0.1949492499605337
ACH-000312,0.14774408057271815
ACH-000315,0.09633888470258924
ACH-000316,0.0763602817943095
ACH-000317,0.19490079800460144
ACH-000318,0.2353975581990411
ACH-000319,0.24313578867219102
ACH-000320,0.12986628428659974
ACH-000322,0.16628919113441573
ACH-000323,0.15280694756595506
ACH-000324,0.12511036768451994
ACH-000329,0.10261397075782873
ACH-000330,0.14506646555208738
ACH-000331,0.18567545612236452
ACH-000332,0.09605257939257496
ACH-000334,0.2322699582495017
ACH-000335,0.19916881657589944
ACH-000336,0.18655897771110133
ACH-000337,0.2451465729353753
ACH-000338,-0.14355958825130158
ACH-000339,0.17438045902601615
ACH-000341,0.11511745557919477
ACH-000348,0.09251664962045997
ACH-000350,0.16565777396134454
ACH-000352,0.04876649538082859
ACH-000356,0.2968226056449687
ACH-000361,0.030923161759601407
ACH-000362,0.08977207717911755
ACH-000363,0.2163010492164664
ACH-000364,-0.04270648652210938
ACH-000365,0.26722721438154823
ACH-000366,0.17856485670551953
ACH-000368,0.18599732419820225
ACH-000374,-0.05164744125358876
ACH-000375,0.04066706003897624
ACH-000376,0.10328379104204452
ACH-000381,-0.10653157400738003
ACH-000383,0.09168750235626576
ACH-000387,0.11150147417960504
ACH-000389,0.2196949106954507
ACH-000390,0.13220261966391647
ACH-000393,0.11300553168850977
ACH-000395,-0.12408954030117644
ACH-000396,0.10370169755858848
ACH-000397,0.2001512351988583
ACH-000401,0.1084628228805236
ACH-000402,0.17884087032574691
ACH-000403,0.06094378674939865
ACH-000404,-0.02086587725295636
ACH-000406,0.1213151740636324
ACH-000407,0.09846793631175328
ACH-000408,0.1252975462930797
ACH-000410,0.08374128972338213
ACH-000411,0.05950761514893998
ACH-000414,0.12640532360719414
ACH-000415,0.0856812176018144
ACH-000416,0.03704004912556183
