,DCT (1638)
ACH-000004,-0.08858337998149321
ACH-000005,-0.2530598799168603
ACH-000007,-0.16214878497203475
ACH-000009,0.03441420462551864
ACH-000011,-0.08494241396134876
ACH-000012,-0.02564092272751302
ACH-000013,-0.09593988106471336
ACH-000014,-0.007784322863165002
ACH-000015,-0.08498070558195342
ACH-000017,0.0311760086933581
ACH-000018,-0.0659403452347419
ACH-000019,0.056711037725771775
ACH-000021,0.10009491700957128
ACH-000022,-0.05456659614303717
ACH-000025,-0.05702806748969151
ACH-000028,0.07368560377677318
ACH-000030,-0.06854431918035109
ACH-000035,0.001686989882567722
ACH-000036,-0.06678982493514951
ACH-000037,-0.09438862842930447
ACH-000039,-0.17879831232958046
ACH-000040,0.05288676322092887
ACH-000041,-0.012833447808767016
ACH-000042,-0.03098360823783838
ACH-000045,0.024418153447760643
ACH-000047,-0.011401687023338452
ACH-000052,0.027916870757150488
ACH-000053,-0.09729249715083464
ACH-000054,-0.06704819786774899
ACH-000055,0.04568714956254216
ACH-000060,-0.11553055027592035
ACH-000067,-0.09665444651244284
ACH-000070,0.00028957588564880216
ACH-000075,0.07597378548513152
ACH-000078,-0.2861338757185711
ACH-000082,0.06407908502258229
ACH-000085,-0.14850682572154053
ACH-000086,-0.03565379619606085
ACH-000087,-0.014456949731087203
ACH-000092,0.05193199457144574
ACH-000095,-0.2227809831325752
ACH-000097,-0.05104353240948463
ACH-000098,0.0032235115787083144
ACH-000099,-0.10553804864669708
ACH-000108,-0.09015476580291512
ACH-000113,-0.06341917810313574
ACH-000116,-0.04149733244502325
ACH-000118,-0.054461301015335487
ACH-000120,-0.11768349812231313
ACH-000123,-0.10186199670868627
ACH-000127,-0.02715106143170697
ACH-000128,-0.16232332498979304
ACH-000132,-0.09327724626335863
ACH-000133,0.05012880709967383
ACH-000137,-0.09750633488703322
ACH-000138,0.012983587670509177
ACH-000142,0.055529529864546984
ACH-000143,0.07550746760297006
ACH-000146,-0.07078079539745051
ACH-000148,-0.08621169735219257
ACH-000150,-0.19819730834589344
ACH-000152,0.07386543619711476
ACH-000153,-0.022778468760747468
ACH-000159,-0.11674445554746632
ACH-000160,-0.029716317820232614
ACH-000163,-0.10827037931396144
ACH-000167,-0.3659331120556055
ACH-000168,-0.02111458079340204
ACH-000169,-0.056678087077638786
ACH-000178,0.014489712254461672
ACH-000183,-0.12907029818053575
ACH-000188,0.024549975976837782
ACH-000189,-0.18727238385441697
ACH-000190,-0.04144330106851009
ACH-000198,0.06377425329786995
ACH-000203,0.009687230912935193
ACH-000204,-0.17893656400721647
ACH-000206,-0.0422170339179371
ACH-000207,-0.006784373372873321
ACH-000208,0.06985240116045552
ACH-000210,0.1407628487600158
ACH-000211,0.04645240562698773
ACH-000215,-0.04605427273490559
ACH-000221,-0.10100474315386017
ACH-000222,-0.07688603188026315
ACH-000223,0.022760955954244974
ACH-000226,-0.03305343886337411
ACH-000227,-0.2737994032859855
ACH-000228,0.07985378500074752
ACH-000231,0.06675881655826517
ACH-000232,-0.07351255429008996
ACH-000233,-0.045590112043857635
ACH-000234,-0.06028970794394276
ACH-000235,-0.02311193526308211
ACH-000237,-0.05570407364554139
ACH-000238,-0.046248662890351185
ACH-000242,-0.2325524894066416
ACH-000243,0.006403628452377298
ACH-000244,-0.2466131810811161
ACH-000246,-0.012782715895248743
ACH-000248,0.039673763927799664
ACH-000250,0.02614604733637557
ACH-000251,0.08545917295792185
ACH-000252,0.023200971702768712
ACH-000253,-0.0328710451008971
ACH-000255,0.04008301121895635
ACH-000256,0.061942134269293674
ACH-000257,-0.1941734950066275
ACH-000258,-0.0068893251115682355
ACH-000259,-0.01949933838152668
ACH-000260,-0.13512550784082536
ACH-000261,0.007893693610154271
ACH-000262,0.042542193456596815
ACH-000263,-0.16139113181868775
ACH-000264,-0.03037275365797908
ACH-000265,-0.045320728934169864
ACH-000266,-0.0458300900914861
ACH-000272,-0.006743671216446407
ACH-000274,-0.09303201348597202
