,CABP4 (57010)
ACH-000004,-0.12152098623546295
ACH-000005,0.14706570464825197
ACH-000007,-0.3054881922428087
ACH-000009,-0.23137049246118646
ACH-000011,-0.3775654252427214
ACH-000012,-0.258601278335985
ACH-000013,-0.23823371365581114
ACH-000014,-0.12079455308573415
ACH-000015,-0.15484685338987494
ACH-000017,-0.21801724935379102
ACH-000018,-0.2018539643223498
ACH-000019,-0.19805083618797314
ACH-000021,-0.2499385445474114
ACH-000022,-0.23229478655331695
ACH-000025,-0.1865565220647286
ACH-000028,-0.2368779045450601
ACH-000030,-0.3284883503620371
ACH-000035,-0.09656907094424533
ACH-000036,-0.3336428421465801
ACH-000037,-0.22030831054712954
ACH-000039,-0.3552758781395228
ACH-000040,-0.24729382013349305
ACH-000041,-0.1572690106070612
ACH-000042,-0.2651882337804892
ACH-000045,-0.2292299223852136
ACH-000047,-0.17380375872905873
ACH-000052,-0.2502119053197474
ACH-000053,-0.16122851078458553
ACH-000054,-0.3466453112823737
ACH-000055,-0.6089246776339066
ACH-000060,-0.2956543899503523
ACH-000067,-0.09725634559041664
ACH-000070,-0.2449475963608109
ACH-000075,-0.4288569551339652
ACH-000078,-0.4549242420682709
ACH-000082,-0.2439863690041515
ACH-000085,-0.4183915687256085
ACH-000086,-0.30279650053908624
ACH-000087,-0.3525077417139663
ACH-000092,-0.15927299387966284
ACH-000095,-0.35002598234839555
ACH-000097,-0.5046571172922998
ACH-000098,-0.3205518331561747
ACH-000099,-0.18165092906227992
ACH-000108,-0.18425963766754166
ACH-000113,-0.2638764762658583
ACH-000116,-0.4922973429254516
ACH-000118,-0.2851153081732361
ACH-000120,-0.30160523489804925
ACH-000123,-0.3472805781483335
ACH-000127,-0.24391564424628195
ACH-000128,-0.1903145864561986
ACH-000132,-0.3759463687674404
ACH-000133,-0.2750140339598891
ACH-000137,-0.3042593449069648
ACH-000138,-0.30543658972076704
ACH-000142,-0.3121936204681469
ACH-000143,-0.25346298779045673
ACH-000146,-0.2766821200315589
ACH-000148,-0.2609510499231974
ACH-000150,-0.31331195409794765
ACH-000152,-0.2866307426078785
ACH-000153,-0.3534390188574428
ACH-000159,-0.18497088187211128
ACH-000160,-0.5337817537949039
ACH-000163,-0.3778141795132885
ACH-000167,-0.023513576551112657
ACH-000168,-0.2407771689955906
ACH-000169,-0.12874365357989678
ACH-000178,-0.21022981873042307
ACH-000183,-0.3767054690603021
ACH-000188,-0.30963852788331275
ACH-000189,-0.15810440154129535
ACH-000190,0.02531823336014864
ACH-000198,-0.2878850289687924
ACH-000203,0.351440374411466
ACH-000204,-0.2248780505024744
ACH-000206,-0.07726041514558732
ACH-000207,-0.14743467536062627
ACH-000208,-0.3207527099733889
ACH-000210,-0.3590264371520368
ACH-000211,-0.3031566344719958
ACH-000215,-0.15003057202361014
ACH-000221,-0.2050121974013084
ACH-000222,-0.3011529147593892
ACH-000223,-0.2297373359122977
ACH-000226,-0.2668769531846982
ACH-000227,-0.2225842317363847
ACH-000228,-0.4617850192669041
ACH-000231,-0.2460997523177847
ACH-000232,-0.20867243582369105
ACH-000233,-0.17170926566500885
ACH-000234,-0.2692599123844174
ACH-000235,-0.26769470460466144
ACH-000237,-0.1617630751167085
ACH-000238,-0.32335629131436433
ACH-000242,-0.21917579081146485
ACH-000243,-0.2119383315086628
ACH-000244,-0.23417158423716425
ACH-000246,-0.2437543321606615
ACH-000248,-0.2667568774011833
ACH-000250,-0.188572647919056
ACH-000251,-0.2538196175375323
ACH-000252,-0.30400118034332524
ACH-000253,-0.26931364645531874
ACH-000255,-0.4138578932934143
ACH-000256,-0.42293908702528427
ACH-000257,-0.3743946633342935
ACH-000258,-0.010050399828445964
ACH-000259,-0.27873388079468936
ACH-000260,-0.3743020903555589
ACH-000261,-0.3161919739045444
ACH-000262,-0.26856718632491866
ACH-000263,-0.07611527550265468
ACH-000264,-0.23509663444210366
ACH-000265,-0.1401374079701498
ACH-000266,-0.2594893884831295
ACH-000272,-0.20644455133954664
ACH-000274,-0.1331813254952485
ACH-000277,-0.3457093027078563
ACH-000278,-0.0756560665961576
ACH-000279,-0.3332873259362001
ACH-000280,-0.3687546645903124
ACH-000281,-0.43061897509094016
ACH-000288,-0.289549032675902
ACH-000291,-0.21896737523421933
ACH-000293,-0.30220205276968776
ACH-000294,-0.3513420607691281
ACH-000295,-0.36578969357489455
ACH-000296,-0.24063831779442024
ACH-000302,-0.17436991339410116
ACH-000304,-0.09537812976320482
ACH-000307,-0.132857248831419
ACH-000308,-0.3234999598407461
ACH-000310,-0.2425888272249141
ACH-000311,-0.08877533244502861
ACH-000312,-0.1761397235626238
ACH-000315,-0.26938428505301626
ACH-000316,-0.27602183264843305
ACH-000317,-0.20650256991291105
ACH-000318,-0.4658307612434838
ACH-000319,-0.35467989746247586
ACH-000320,-0.21959430068801092
ACH-000322,-0.052907953255695285
ACH-000323,-0.34950814684247394
ACH-000324,-0.2829816507568428
ACH-000329,-0.03971791304183757
ACH-000330,-0.22735004020640895
ACH-000331,-0.214230961622138
ACH-000332,-0.3605859465470086
ACH-000334,-0.3425544086290901
ACH-000335,-0.07186281584239926
ACH-000336,-0.3803610934520352
ACH-000337,-0.13375579194030324
ACH-000338,-0.15144282655992564
ACH-000339,-0.194723978067299
ACH-000341,-0.5039456916877691
ACH-000348,-0.1078565818033027
ACH-000350,-0.33020067603202075
ACH-000352,-0.2787094299385579
ACH-000356,-0.4799366907451649
ACH-000361,-0.5954833359224735
ACH-000362,-0.2179175723299453
ACH-000363,-0.20694877997436398
ACH-000364,-0.4824158105599016
ACH-000365,-0.3719843356765873
ACH-000366,-0.3652106035656535
ACH-000368,-0.10160283839502693
ACH-000374,-0.4848122645398068
ACH-000375,-0.2014674013710774
ACH-000376,-0.2969597177195584
ACH-000381,-0.19547585372809406
ACH-000383,-0.2869195230829501
ACH-000387,-0.2388575613287711
ACH-000389,-0.36759368261164665
ACH-000390,-0.2871995775099615
ACH-000393,-0.2515382877778211
ACH-000395,-0.4879405235865942
ACH-000396,-0.41879999315816574
ACH-000397,-0.1826902127902101
ACH-000401,-0.11506630175473395
ACH-000402,-0.19841341008649785
ACH-000403,-0.2501991190031422
ACH-000404,-0.4910911330869274
ACH-000406,-0.19895165615024046
ACH-000407,-0.4381684538326749
ACH-000408,-0.2218865854418957
ACH-000410,-0.27443724391859714
ACH-000411,-0.22011477680133928
ACH-000414,-0.16192126852075248
ACH-000415,-0.3825042013949703
ACH-000416,-0.1989217909235324
ACH-000420,-0.07168451434883706
ACH-000421,-0.26338317456732074
ACH-000424,-0.2268468132716829
ACH-000425,-0.2390653383160968
ACH-000426,-0.2716796155460863
ACH-000427,-0.2641746214911744
ACH-000433,-0.16914929049884486
ACH-000435,0.0489658795042393
ACH-000436,0.0036126960208694775
ACH-000444,-0.1866175426434921
ACH-000445,-0.3420902713436353
ACH-000448,-0.1258810963814708
ACH-000450,-0.2767419076078163
ACH-000452,-0.26084305876702635
ACH-000454,-0.19505605536830126
ACH-000458,-0.418362266840016
ACH-000459,-0.20253649093310655
ACH-000460,-0.3278702234961163
ACH-000461,-0.3514993150335016
ACH-000463,-0.14574956160748098
ACH-000464,-0.40551327517025854
ACH-000466,-0.3296207263947871
ACH-000467,-0.21668116303222928
ACH-000468,-0.4392075061139747
ACH-000469,-0.1794650356909953
ACH-000470,-0.17415189843785414
ACH-000471,-0.1955815706406561
ACH-000472,-0.2773311800310712
ACH-000473,-0.19041873115087216
ACH-000475,-0.23857588764311244
ACH-000476,-0.3409207204912225
ACH-000477,-0.17662251823686775
ACH-000479,-0.21621206816446853
ACH-000480,-0.4496696726499021
ACH-000481,-0.3509594327868386
ACH-000483,-0.35372880461970163
ACH-000484,-0.21605727762338467
ACH-000485,-0.13188209287562153
ACH-000486,-0.4068617067235828
ACH-000487,-0.27347294230414576
ACH-000488,-0.27529616175512983
ACH-000490,-0.3073673291049952
ACH-000491,-0.3697810833282299
ACH-000495,-0.2007871322662275
ACH-000496,-0.31362044019145635
ACH-000499,-0.4535686022406069
ACH-000500,-0.5817915426552779
ACH-000502,-0.1850088675071652
ACH-000503,-0.2765091339978645
ACH-000505,-0.3303444262275068
ACH-000507,-0.1922699856648326
ACH-000510,-0.21826999038958012
ACH-000511,-0.3121798086105592
ACH-000512,-0.12486667066257305
ACH-000516,-0.15985788874307366
ACH-000517,-0.2612845369211587
ACH-000518,-0.3627164786807013
ACH-000520,-0.19711641860672227
ACH-000521,-0.10092562891705203
ACH-000522,-0.4295899155901754
ACH-000524,-0.2709925335952436
ACH-000527,-0.2987188928117865
ACH-000528,-0.2570139107549414
ACH-000537,-0.15585982423524394
ACH-000541,-0.2229783304593995
ACH-000542,-0.27187197747118325
ACH-000544,-0.4437793092307041
ACH-000545,-0.4913557976385179
ACH-000547,-0.2878844235719406
ACH-000548,-0.25585731943707324
ACH-000549,-0.2698472751705155
ACH-000550,-0.15988411608277076
ACH-000552,-0.2551990731467027
ACH-000556,-0.16533331546634308
ACH-000557,-0.11088974208171024
ACH-000569,-0.21750967352343312
ACH-000570,-0.2784011723995637
ACH-000571,-0.22303969981944705
ACH-000573,-0.20594453640594892
ACH-000576,-0.018706076899758256
ACH-000579,-0.32329438755589945
ACH-000580,-0.3150230360439997
ACH-000584,-0.2549505095398336
ACH-000585,-0.3410053704241599
ACH-000588,-0.3127094037196391
ACH-000589,-0.2963880245118751
ACH-000591,-0.12761559108432144
ACH-000593,-0.32916083102071736
ACH-000600,-0.385076020937682
ACH-000601,-0.12154625584602728
ACH-000605,-0.3002530629522371
ACH-000606,-0.4928831924891158
ACH-000608,-0.36006624635546425
ACH-000614,-0.3438068109725172
ACH-000616,-0.14276423163655513
ACH-000618,-0.2893344840171873
ACH-000619,-0.4340170516231491
ACH-000620,-0.07513896601822098
ACH-000621,-0.14861842282223087
ACH-000622,-0.2930854525417401
ACH-000623,-0.3106684184962585
