,RTN4RL2 (349667)
ACH-000004,0.09733645363851624
ACH-000005,-0.2252543305722073
ACH-000007,-0.2636718045343181
ACH-000009,-0.026268770590116758
ACH-000011,-0.3292993694560705
ACH-000012,-0.1930672941643094
ACH-000013,-0.0872921050580172
ACH-000014,0.11499625548292874
ACH-000015,-0.11636518526387868
ACH-000017,-0.13321689623786567
ACH-000018,-0.0956977127477732
ACH-000019,-0.038307636683683706
ACH-000021,-0.1693145999770647
ACH-000022,-0.13147448540727755
ACH-000025,-0.0035903212073263775
ACH-000028,-0.14606200494847366
ACH-000030,-0.10411650214444733
ACH-000035,-0.1798976699443499
ACH-000036,0.0241107114192772
ACH-000037,-0.18763190866711052
ACH-000039,-0.0732829299208266
ACH-000040,-0.2140804044616804
ACH-000041,-0.08532885697306987
ACH-000042,-0.12057860837079094
ACH-000045,0.052581850042914484
ACH-000047,-0.19077057013441387
ACH-000052,-0.13271539239211608
ACH-000053,-0.15169069183751346
ACH-000054,-0.07641029654718443
ACH-000055,-0.11398218161169027
ACH-000060,-0.08994393392820638
ACH-000067,-0.09029099379868996
ACH-000070,-0.13983450507330586
ACH-000075,-0.34686016358210736
ACH-000078,-0.0983976918896591
ACH-000082,-0.30532942959234416
ACH-000085,-0.18883545218778214
ACH-000086,-0.27643875478861485
ACH-000087,-0.05506545769054399
ACH-000092,-0.24643471843451745
ACH-000095,-0.12289669494032884
ACH-000097,-0.20073646321917374
ACH-000098,-0.09178356463660088
ACH-000099,-0.0563308145365766
ACH-000108,-0.17274729360820934
ACH-000113,-0.21707112393948852
ACH-000116,-0.1005582660413872
ACH-000118,-0.27582019129465263
ACH-000120,-0.13066665864954008
ACH-000123,-0.16845355165114356
ACH-000127,-0.06011433568033149
ACH-000128,-0.15393902050370853
ACH-000132,-0.13461321229671233
ACH-000133,-0.3195799311543387
ACH-000137,-0.19598904895883426
ACH-000138,-0.13755264180647148
ACH-000142,-0.25230765873049915
ACH-000143,-0.3710531164397493
ACH-000146,-0.1300998571866164
ACH-000148,-0.07876113563406265
ACH-000150,-0.13007080440416574
ACH-000152,-0.09352120263078592
ACH-000153,-0.2959244447274006
ACH-000159,-0.1413108112073743
ACH-000160,-0.3319724910340785
ACH-000163,-0.1732252875176964
ACH-000167,-0.4843060101537191
ACH-000168,-0.03388830647094383
ACH-000169,-0.181919463184019
ACH-000178,-0.16937619132859744
ACH-000183,-0.3141379935692208
ACH-000188,-0.3847732653362165
ACH-000189,-0.20719466451863192
ACH-000190,-0.005724677641820082
ACH-000198,-0.08047989327688175
ACH-000203,-0.015276124980188897
ACH-000204,-0.1843669259207097
ACH-000206,-0.27768025285500536
ACH-000207,-0.17515477839543425
ACH-000208,-0.0840453566535801
ACH-000210,0.04586686027508933
ACH-000211,-0.2267633188732169
ACH-000215,-0.146043256801319
ACH-000221,-0.11837179823849504
ACH-000222,-0.2525606413791741
ACH-000223,-0.215062186537627
ACH-000226,-0.18987673912136624
ACH-000227,-0.1806363162484112
ACH-000228,-0.17756814842106353
ACH-000231,-0.17139680466981588
ACH-000232,-0.20017491855038744
ACH-000233,-0.060885016081929325
ACH-000234,-0.07253737891253463
ACH-000235,-0.18254661401043806
ACH-000237,-0.20851339934696744
ACH-000238,-0.16206531684556552
ACH-000242,-0.01658053269420897
ACH-000243,-0.159426856092959
ACH-000244,-0.23444660051756505
ACH-000246,-0.15106528859811238
ACH-000248,0.07637876640942691
ACH-000250,-0.2044129860373259
ACH-000251,-0.252933226323305
ACH-000252,-0.19949679030112769
ACH-000253,-0.20957028188990828
ACH-000255,-0.10658202352828422
ACH-000256,-0.16448230077476594
ACH-000257,0.04872501170725325
ACH-000258,-0.1109602704095207
ACH-000259,-0.2778292438228761
ACH-000260,-0.16567511052375306
ACH-000261,-0.26333317327118183
ACH-000262,-0.2831004176142041
ACH-000263,0.0035318733573845955
ACH-000264,-0.2357704209763126
ACH-000265,-0.21021944081032226
ACH-000266,-0.14743628009814738
ACH-000272,-0.06826590525811016
ACH-000274,-0.13016870020355445
ACH-000277,-0.26082035809914383
ACH-000278,-0.03417894945278042
ACH-000279,-0.07811637845873584
ACH-000280,-0.01617935828777373
ACH-000281,-0.19928359269806573
ACH-000288,-0.12104288549680005
ACH-000291,-0.1062319052605996
ACH-000293,-0.2704250004251445
ACH-000294,-0.09602341834624388
ACH-000295,-0.06481271894410026
ACH-000296,-0.05169405393888542
