,MYB (4602)
ACH-000004,-0.7879887310452732
ACH-000005,-0.8018461440064997
ACH-000007,-0.4860711108778302
ACH-000009,-0.35034359231480555
ACH-000011,-0.10415929029428836
ACH-000012,-0.18914410019779465
ACH-000013,-0.2733402084898877
ACH-000014,-0.11482675032605773
ACH-000015,-0.2548434724710564
ACH-000017,-0.3208206862081221
ACH-000018,-0.24393792899426125
ACH-000019,-0.2651553054195345
ACH-000021,-0.5485896338412588
ACH-000022,-0.27829032175305163
ACH-000025,-0.2270436407634557
ACH-000028,-0.12432801573013492
ACH-000030,-0.2443920422079549
ACH-000035,-0.3158911283708917
ACH-000036,-0.16832445222453593
ACH-000037,-0.2775134188731294
ACH-000039,-0.2168539466147987
ACH-000040,-0.40555840390556014
ACH-000041,-0.3249234325300884
ACH-000042,-0.4908486181261417
ACH-000045,-1.1965526695942217
ACH-000047,-0.26086680948012725
ACH-000052,-0.2811685981426575
ACH-000053,-1.2826367851905471
ACH-000054,-0.37010125863149146
ACH-000055,-0.14303918382921085
ACH-000060,-0.22595897810084845
ACH-000067,-0.5263870515959738
ACH-000070,-0.7822834961947964
ACH-000075,-0.2262141059734513
ACH-000078,-0.2870838576620782
ACH-000082,-0.3982729163159551
ACH-000085,-0.4260517323279711
ACH-000086,-0.28094930068883195
ACH-000087,-0.20365702948781905
ACH-000092,-0.38501090824717854
ACH-000095,-0.2578024893527901
ACH-000097,-0.1041999734122694
ACH-000098,-0.3564435385354958
ACH-000099,-0.24084268528948585
ACH-000108,-0.4140593381596671
ACH-000113,-0.9406359726903474
ACH-000116,-0.2652233952928456
ACH-000118,-0.3843782022167775
ACH-000120,-0.21869420455643795
ACH-000123,-0.23301450561758294
ACH-000127,-0.3169708772859597
ACH-000128,-0.3645034434744847
ACH-000132,-0.5043226592049237
ACH-000133,-0.2817701444762675
ACH-000137,-0.3411106228368338
ACH-000138,-0.3481064213750955
ACH-000142,-0.21732191434651305
ACH-000143,-0.29838320088509124
ACH-000146,-1.268615651144887
ACH-000148,-0.3640057773136062
ACH-000150,-0.3664005802192651
ACH-000152,-0.2644451001520965
ACH-000153,-0.5287873098973603
ACH-000159,-0.3901345724313157
ACH-000160,-0.5648330274022416
ACH-000163,-0.3473848451018036
ACH-000167,-0.34182341202074185
ACH-000168,-1.1061491821218212
ACH-000169,-0.03773886679948992
ACH-000178,-0.3258103363580802
ACH-000183,-0.40594477015928
ACH-000188,-0.22334969757892612
ACH-000189,-0.28624011344829897
ACH-000190,-0.34159863801438106
ACH-000198,-1.0130522727860904
ACH-000203,-0.1156078057536312
ACH-000204,-0.1908111168091988
ACH-000206,-0.24593970272718224
ACH-000207,-0.6397135822996117
ACH-000208,-0.19210549413707687
ACH-000210,-0.1453020364681959
ACH-000211,-0.3203919730084707
ACH-000215,-0.3022447169389752
ACH-000221,-0.38882120128093095
ACH-000222,-0.3908304945794596
ACH-000223,-0.3587223921531357
ACH-000226,-0.7155445542242971
ACH-000227,-0.15403818285620058
ACH-000228,-0.4837040416774585
ACH-000231,-0.27818050936890004
ACH-000232,-0.20881237689284965
ACH-000233,-0.7347229853999048
ACH-000234,-0.4341652966929056
ACH-000235,-0.26114261469074673
ACH-000237,-0.3464400838873353
ACH-000238,-0.4363419473115856
ACH-000242,-0.3142339782907021
ACH-000243,-0.26210519913858565
ACH-000244,-0.26304400465173994
ACH-000246,-0.31011173435979245
ACH-000248,-0.19614865623542
ACH-000250,-0.3081665554236672
ACH-000251,-0.3339622880098869
ACH-000252,-0.3561751119208004
ACH-000253,-0.7005961140102435
ACH-000255,-0.2479809725535903
ACH-000256,-0.2636022433664527
ACH-000257,-0.3298426177276924
ACH-000258,-0.3980780121566311
ACH-000259,-0.11563456116911992
ACH-000260,-0.1994272869730728
ACH-000261,-0.3384981686247591
ACH-000262,-0.4808801296155286
ACH-000263,-1.1945247677201192
ACH-000264,-0.4099855744425361
ACH-000265,-0.24469972009072535
ACH-000266,-0.3830383584299706
ACH-000272,-0.3987962463480855
ACH-000274,-0.39204085387013937
ACH-000277,-0.19026706915274572
ACH-000278,-0.32977801131768153
ACH-000279,-0.2604450234533047
