,USE1 (55850)
ACH-000004,-0.3688183517221876
ACH-000005,-0.3326145728837055
ACH-000007,-0.6830270354669282
ACH-000009,-0.5313595672798378
ACH-000011,-0.018221180097391067
ACH-000012,-0.5159198039496997
ACH-000013,-0.6565620131143461
ACH-000014,-0.3460210388862772
ACH-000015,-0.7236920522602575
ACH-000017,-0.5785205877732271
ACH-000018,-0.3427731600987049
ACH-000019,-0.6295122443263292
ACH-000021,-0.4785570399078716
ACH-000022,-0.4269364228677864
ACH-000025,-0.5544471863616078
ACH-000028,-0.35043180007082186
ACH-000030,-0.5170760469325143
ACH-000035,-0.5945279928686192
ACH-000036,-0.4432142260188113
ACH-000037,-0.1774894037452607
ACH-000039,-0.4932344732451399
ACH-000040,-0.33047346416951795
ACH-000041,-0.3626417487314895
ACH-000042,-0.29492773941285283
ACH-000045,-0.28857867707959983
ACH-000047,-0.27844256278888824
ACH-000052,-0.4738377178802151
ACH-000053,-0.3606377195218813
ACH-000054,-0.3348049668278857
ACH-000055,-0.3144989322696669
ACH-000060,-0.25201158845909005
ACH-000067,-0.3972578504218828
ACH-000070,-0.4589662341117477
ACH-000075,-0.3146419795455366
ACH-000078,-0.2691720173376373
ACH-000082,-0.2698828557702589
ACH-000085,-0.7827068210157954
ACH-000086,-0.2547473402492654
ACH-000087,-0.40394448533416094
ACH-000092,-0.1503151982929115
ACH-000095,-0.2511247029866641
ACH-000097,-0.3794762989712459
ACH-000098,-0.7189256101980319
ACH-000099,-0.43211109773543577
ACH-000108,-0.2358093911068224
ACH-000113,-0.3701371981310414
ACH-000116,-0.497740161077949
ACH-000118,-0.4256091939194377
ACH-000120,-0.5063367472985467
ACH-000123,-0.2753422004332412
ACH-000127,-0.3859744909457481
ACH-000128,-0.4223366070639221
ACH-000132,-0.6253252200846502
ACH-000133,-0.39122947336861935
ACH-000137,-0.5230388302256574
ACH-000138,-0.4990541952176108
ACH-000142,-0.34879820870469125
ACH-000143,-0.5698829041261927
ACH-000146,-0.3235021280057423
ACH-000148,-0.3087610774050386
ACH-000150,-0.33824195773219984
ACH-000152,-0.4633697811888673
ACH-000153,-0.6544576567223653
ACH-000159,-0.5236555138611599
ACH-000160,-0.4784700257293225
ACH-000163,-0.2235725692460201
ACH-000167,-0.3801706896087551
ACH-000168,-0.4181081542789288
ACH-000169,-0.5462224185836312
ACH-000178,-0.5988792360587096
ACH-000183,-0.2019100200372029
ACH-000188,-0.43493892599112655
ACH-000189,-0.3162904269913473
ACH-000190,-0.6633907050292186
ACH-000198,-0.35051514268801176
ACH-000203,-0.3109948632607313
ACH-000204,-0.4525030623236729
ACH-000206,-0.6074215944972122
ACH-000207,-0.3658967068285181
ACH-000208,-0.5668692433417502
ACH-000210,-0.0993871270745652
ACH-000211,-0.40532498417086577
ACH-000215,-0.44126807238404403
ACH-000221,-0.8519287319269969
ACH-000222,-0.2456806447122765
ACH-000223,-0.4448570737862165
