,SRSF2 (6427)
ACH-000004,-1.325266381774338
ACH-000005,-1.1284759524895371
ACH-000007,-1.5566361603887218
ACH-000009,-1.4449380568645702
ACH-000011,-1.3304988465483043
ACH-000012,-1.2852285812206303
ACH-000013,-1.0460718961164577
ACH-000014,-1.3318833543404214
ACH-000015,-1.2103433525054794
ACH-000017,-1.5297540110016616
ACH-000018,-1.2175567655933033
ACH-000019,-1.1390042585040638
ACH-000021,-1.2841824149596408
ACH-000022,-1.3721882969171821
ACH-000025,-1.3362241225124216
ACH-000028,-1.297708637400259
ACH-000030,-1.523745105502251
ACH-000035,-1.4490131743622656
ACH-000036,-1.2279788218080367
ACH-000037,-1.4737354382002588
ACH-000039,-1.0835509099153071
ACH-000040,-1.6099335636147805
ACH-000041,-1.5549241127540807
ACH-000042,-1.2174970768387094
ACH-000045,-1.3462513203732107
ACH-000047,-1.6762353761966942
ACH-000052,-1.4346556237912935
ACH-000053,-1.2887479206627872
ACH-000054,-1.4053795042213095
ACH-000055,-1.2003609317489456
ACH-000060,-1.458122843559629
ACH-000067,-1.31361505093609
ACH-000070,-1.2261566269755788
ACH-000075,-1.3507312439028492
ACH-000078,-1.2811495336669023
ACH-000082,-1.458655162298489
ACH-000085,-1.5176919853433133
ACH-000086,-1.2162578260721226
ACH-000087,-1.4919330139729905
ACH-000092,-1.3442687477006532
ACH-000095,-1.3284561064583122
ACH-000097,-1.1567161806974189
ACH-000098,-1.2737636093853852
ACH-000099,-1.3274901720830017
ACH-000108,-1.5035318269399671
ACH-000113,-1.4153415028819836
ACH-000116,-1.2743439690975205
ACH-000118,-1.5554642290446077
ACH-000120,-1.232379906149456
ACH-000123,-1.2706211881458205
ACH-000127,-1.3100799404104482
ACH-000128,-1.044443999858112
ACH-000132,-1.3060911983354508
ACH-000133,-1.2359076031380705
ACH-000137,-1.2629180834696758
ACH-000138,-1.3562527265770434
ACH-000142,-1.2412037202478994
ACH-000143,-1.5516884385090288
ACH-000146,-1.605984711769472
ACH-000148,-1.4663372977207985
ACH-000150,-1.3736320892131964
ACH-000152,-1.3021126946059858
