,HSCB (150274)
ACH-000004,-0.561707322806637
ACH-000005,-0.5217962645525615
ACH-000007,-0.4094907343963267
ACH-000009,-0.7606635406461265
ACH-000011,-0.6928566153038128
ACH-000012,-0.7492033448131281
ACH-000013,-0.3790890980288388
ACH-000014,-0.5524438145179316
ACH-000015,-0.7013655856928933
ACH-000017,-0.4998220004446013
ACH-000018,-0.8754155611121713
ACH-000019,-0.4920671748891488
ACH-000021,-0.7031968967878678
ACH-000022,-0.5369228488651664
ACH-000025,-0.943566285966278
ACH-000028,-0.8118015841642043
ACH-000030,-0.6951524843469312
ACH-000035,-0.6597254534773653
ACH-000036,-0.8854865650739122
ACH-000037,-0.4981020596149511
ACH-000039,-0.5007143783419221
ACH-000040,-0.7638895721323438
ACH-000041,-0.7574373582232656
ACH-000042,-0.42399230281160105
ACH-000045,-0.4029932727688651
ACH-000047,-0.4907444933616594
ACH-000052,-0.8118650656480717
ACH-000053,-0.415146610107624
ACH-000054,-0.3762686337453046
ACH-000055,-0.7462722647247121
ACH-000060,-0.6812408010026326
ACH-000067,-0.6916687641653813
ACH-000070,-0.5368918032798595
ACH-000075,-0.40260813171119697
ACH-000078,-0.5698876311325666
ACH-000082,-0.21094068637717225
ACH-000085,-0.5093733045468908
ACH-000086,-0.4331975280646499
ACH-000087,-0.7048280305652771
ACH-000092,-0.5859417840825378
ACH-000095,-0.3339211655187573
ACH-000097,-0.41703295697496057
ACH-000098,-0.6541656675687829
ACH-000099,-0.6237218872783712
ACH-000108,-0.4110077195418208
ACH-000113,-0.4433930054142413
ACH-000116,-0.4364009466989494
ACH-000118,-0.6140775550100432
ACH-000120,-0.6401351339624403
ACH-000123,-0.5910712430899998
ACH-000127,-0.6175233822282987
ACH-000128,-0.6684536055319574
ACH-000132,-0.6100218935523339
ACH-000133,-0.8115379273791922
ACH-000137,-0.7360552352683771
ACH-000138,-0.4384011004666025
ACH-000142,-0.7142208855303196
ACH-000143,-0.6124343054568193
ACH-000146,-0.3301249320485114
ACH-000148,-0.7404667306045866
ACH-000150,-0.5044940405150986
ACH-000152,-0.8865120726057562
ACH-000153,-0.7096911125927459
ACH-000159,-0.4085038258798344
ACH-000160,-0.6457855006134493
ACH-000163,-0.7074636467432031
ACH-000167,-0.9209731671585136
ACH-000168,-0.2717303087580936
ACH-000169,-0.7424091260688735
ACH-000178,-0.4687917737325009
ACH-000183,-0.3737106243338085
ACH-000188,-0.7034465802515875
ACH-000189,-0.8498287172238055
ACH-000190,-0.8104936663833001
ACH-000198,-0.16205051620804722
ACH-000203,-0.8613509096009799
ACH-000204,-0.345144083205027
ACH-000206,-0.6202790614931943
ACH-000207,-0.43896582151943736
ACH-000208,-0.7751515071178898
ACH-000210,-0.5517788784876748
ACH-000211,-0.5753505589220704
ACH-000215,-0.6798213085467979
ACH-000221,-0.7073052674031004
ACH-000222,-0.5761071149693521
ACH-000223,-0.7116326368861864
ACH-000226,-0.8031405465146395
ACH-000227,-0.7022459301855386
ACH-000228,-0.5627811832177664
ACH-000231,-0.9269679098483652
ACH-000232,-0.5578908706828614
ACH-000233,-0.2654456024812511
ACH-000234,-0.2917805295849263
ACH-000235,-0.5815619200568517
ACH-000237,-0.9317426968375524
ACH-000238,-0.7122202169399003
ACH-000242,-0.5932179701444924
ACH-000243,-0.7429161731257864
ACH-000244,-0.6438899184313869
ACH-000246,-0.6827720628447658
ACH-000248,-0.5049770341355544
ACH-000250,-0.4884704729953384
ACH-000251,-0.6125644285173462
ACH-000252,-0.7577086307386307
ACH-000253,-0.4509159806790044
ACH-000255,-0.5634141169883903
ACH-000256,-0.5409128201264456
ACH-000257,-0.4739918307173219
ACH-000258,-0.5726805310391767
ACH-000259,-0.411058084031464
ACH-000260,-0.6538067815579495
ACH-000261,-0.5106301070661119
ACH-000262,-0.6504453755654664
ACH-000263,-0.08465211900882405
ACH-000264,-0.3211301459525803
ACH-000265,-0.7288282031024664
ACH-000266,-0.2796461502096449
ACH-000272,-0.6289407048350043
ACH-000274,-0.2865545513309102
ACH-000277,-0.4525137361445138
ACH-000278,-0.7895756286718907
ACH-000279,-0.6481394256397096
ACH-000280,-0.7297253653197117
ACH-000281,-0.5845338278251063
ACH-000288,-0.8279803879508281
ACH-000291,-0.6780702154786877
ACH-000293,-0.3734209428963587
ACH-000294,-0.3490258742801859
ACH-000295,-0.4414055867765791
ACH-000296,-0.8675123504004661
ACH-000302,-0.6760000601394394
ACH-000304,-0.4003467819304508
ACH-000307,-0.6400667653285116
ACH-000308,-0.4636886251991553
ACH-000310,-0.3949531618508132
ACH-000311,-0.4543191163131839
ACH-000312,-0.5801362688881078
ACH-000315,-0.5602483486941103
ACH-000316,-0.5070415590159696
ACH-000317,-0.9006680417470057
ACH-000318,-0.5401148597185356
ACH-000319,-0.8202814217625581
ACH-000320,-0.8338881107348325
ACH-000322,-0.5346443204587717
ACH-000323,-0.8308953621058598
