,TAF15 (8148)
ACH-000483,0.03551223848953637
ACH-000484,-0.021010940901638218
ACH-000485,-0.04172722017198655
ACH-000486,-0.051877206659196165
ACH-000487,0.1445144885955396
ACH-000488,0.05271555447005795
ACH-000490,-0.1572068706707968
ACH-000491,0.056283741448664944
ACH-000495,0.020643200849231817
ACH-000496,-0.007732871634784844
ACH-000499,-0.00795739709575865
ACH-000500,0.11287989849190826
ACH-000502,-0.013354075881030242
ACH-000503,-0.24875476554998854
ACH-000505,0.04859768287714262
ACH-000507,0.015392182513094772
ACH-000510,0.04156105408875519
ACH-000511,0.021249885830961168
ACH-000512,0.032704273911817724
ACH-000516,-0.09037692364445643
ACH-000517,0.012277423979678593
ACH-000518,0.02098220146074212
ACH-000520,-0.03931904464765151
ACH-000521,-0.06694109045945486
ACH-000522,-0.041294539737978926
ACH-000524,0.05822909302915635
ACH-000527,-0.07427882192406278
ACH-000528,0.08173540525394977
ACH-000537,0.11405774636797768
ACH-000541,-0.021540428807927142
ACH-000542,0.06550213498925969
ACH-000544,0.09329032270234264
ACH-000545,0.0018577915320927621
ACH-000547,-0.18560219818284351
ACH-000548,-0.15480596642712058
ACH-000549,0.19170918803626355
ACH-000550,0.00949869088737565
ACH-000552,0.10095573619653868
ACH-000556,-0.11485944234409222
ACH-000557,-0.007199560541046061
ACH-000569,0.053035770311705206
ACH-000570,-0.19567142034955815
ACH-000571,-0.11590233558606372
ACH-000573,-0.07166497636676765
ACH-000576,-0.030326372984507674
ACH-000579,0.13377221992899296
ACH-000580,0.06904304851437873
ACH-000584,-0.01480719329534381
ACH-000585,-0.11415926705004745
ACH-000588,-0.05838440060102505
ACH-000589,-0.0701947833718356
ACH-000591,0.13678144963383068
ACH-000593,-0.020447592089371417
ACH-000600,-0.1136768700207478
ACH-000601,-0.00023672784244156933
ACH-000605,0.13608343756591898
ACH-000606,0.025842543900590112
ACH-000608,-0.0799904837975477
ACH-000614,0.19844433452192234
ACH-000616,-0.15191916723687868
ACH-000618,-0.07498443418812885
ACH-000619,-0.05650318253921
ACH-000620,0.04816667016272522
ACH-000621,0.029012730504733342
ACH-000622,0.056200301471339316
ACH-000623,-0.07966019344570968
ACH-000624,-0.0149804938172011
ACH-000627,-0.03159346113984648
ACH-000630,-0.06812192817563968
ACH-000631,0.42353631467224695
ACH-000632,-0.16309896028899132
