,CPT1B (1375)
ACH-000004,-0.07016882758325713
ACH-000005,-0.4129483374138496
ACH-000007,0.005056680251912945
ACH-000009,-0.21712216348653215
ACH-000011,-0.2033528220947849
ACH-000012,-0.3952670620276276
ACH-000013,-0.3240041660464653
ACH-000014,-0.24922888193632065
ACH-000015,-0.2806703648969148
ACH-000017,-0.26532207911266725
ACH-000018,-0.18026223758108012
ACH-000019,-0.1851978472925156
ACH-000021,-0.20324664095892028
ACH-000022,-0.3140950325516096
ACH-000025,-0.09227480345721298
ACH-000028,-0.29280537522577804
ACH-000030,-0.3208243200164763
ACH-000035,-0.17956676338359562
ACH-000036,-0.2318543369261373
ACH-000037,-0.3062516571918538
ACH-000039,-0.18446409847337664
ACH-000040,-0.11469857883534497
ACH-000041,-0.24000232292964466
ACH-000042,-0.2342265272608431
ACH-000045,-0.14126600126572195
ACH-000047,-0.20113654976942694
ACH-000052,-0.3484870018048662
ACH-000053,-0.2429998641225936
ACH-000054,-0.1449314544107443
ACH-000055,-0.2833810034086096
ACH-000060,-0.1535249624396879
ACH-000067,-0.17677093071164882
ACH-000070,-0.2383760477746331
ACH-000075,-0.17288518239170506
ACH-000078,-0.3617450668883849
ACH-000082,-0.1998812689666169
ACH-000085,-0.30313104593243795
ACH-000086,-0.1749165021168871
ACH-000087,-0.15459892036194808
ACH-000092,-0.1812366223480588
ACH-000095,-0.27868499013351944
ACH-000097,-0.3419686184177079
ACH-000098,-0.2295598547416567
ACH-000099,-0.2841305923465817
ACH-000108,-0.1811439033543976
ACH-000113,-0.2712657386502429
ACH-000116,-0.2641958623947312
ACH-000118,-0.2548092855461246
ACH-000120,-0.38065691120207307
ACH-000123,-0.23343659212708656
ACH-000127,-0.2289487579639221
ACH-000128,-0.2281883020055197
ACH-000132,-0.2500005851553249
ACH-000133,-0.13251294120405113
ACH-000137,-0.2889853633003503
ACH-000138,-0.12683787188905668
ACH-000142,-0.04038460911747156
ACH-000143,-0.29756633636141144
ACH-000146,-0.11290826992075398
ACH-000148,-0.2261150513207821
ACH-000150,-0.20053475078431166
ACH-000152,-0.29357251499706016
ACH-000153,-0.2588227662282385
ACH-000159,-0.2390417847146957
ACH-000160,-0.19364717114410293
