,RARS2 (57038)
ACH-000004,-0.6587887047156809
ACH-000005,-0.3681851594870867
ACH-000007,-0.9563828228168868
ACH-000009,-0.5981701738538617
ACH-000011,-0.6129682368133511
ACH-000012,-0.7184861233185
ACH-000013,-0.4549588814367686
ACH-000014,-0.6662616024895598
ACH-000015,-0.8791898048349456
ACH-000017,-0.7671496267800709
ACH-000018,-0.8141731447955113
ACH-000019,-0.4683790190562893
ACH-000021,-0.5492842390489664
ACH-000022,-0.8927043402787965
ACH-000025,-0.7842140731984661
ACH-000028,-0.6754234483893776
ACH-000030,-0.7032582113615216
ACH-000035,-0.7902146527123538
ACH-000036,-0.21260312393099406
ACH-000037,-0.5569331837040421
ACH-000039,-0.5539022299279286
ACH-000040,-0.393683867562913
ACH-000041,-0.7467236455253722
ACH-000042,-0.7308239321544518
ACH-000045,-0.6074972959701399
ACH-000047,-0.8055277555972209
ACH-000052,-0.7725698990303873
ACH-000053,-0.5517858922969829
ACH-000054,-0.8557838730712587
ACH-000055,-0.5198373945665727
ACH-000060,-0.6481496655413369
ACH-000067,-0.6122920050676175
ACH-000070,-0.4447313241314565
ACH-000075,-0.5244704431265483
ACH-000078,-0.5325202664590173
ACH-000082,-0.6053937243005748
ACH-000085,-0.3582275944710597
ACH-000086,-0.889665292803535
ACH-000087,-0.8325804137832121
ACH-000092,-0.3966281341000015
ACH-000095,-0.3239226046164225
ACH-000097,-0.4471512685104724
ACH-000098,-0.5932820507073209
ACH-000099,-0.7446839500568878
ACH-000108,-0.4048247582134783
ACH-000113,-0.3445956712156321
ACH-000116,-0.7334935439006821
ACH-000118,-0.8406734536321321
ACH-000120,-0.7378563694022698
ACH-000123,-0.7194068424119845
ACH-000127,-0.8425149293206983
ACH-000128,-0.8684118067939474
ACH-000132,-0.6168319818836427
ACH-000133,-0.7950862365580831
ACH-000137,-0.5658176335295018
ACH-000138,-0.7573816590542797
ACH-000142,-0.4786216917763014
ACH-000143,-0.9157546499430436
ACH-000146,-0.6492795700781171
ACH-000148,-0.6979639760279176
ACH-000150,-0.7460977540033302
ACH-000152,-0.6517521164707902
ACH-000153,-0.7043004672227675
ACH-000159,-0.4002975195262684
ACH-000160,-0.78896401237423
ACH-000163,-0.4360733895081277
ACH-000167,-0.469047159438594
ACH-000168,-0.4392657552286992
ACH-000169,-0.6251240296009951
ACH-000178,-0.7158481623131779
ACH-000183,-0.9177238433107052
ACH-000188,-0.5204493845222706
ACH-000189,-0.8158489025626806
ACH-000190,-0.8785403835332943
ACH-000198,-0.5585075505042952
ACH-000203,-0.8545529281397042
ACH-000204,-0.8407703646788895
ACH-000206,-0.977325162223162
ACH-000207,-0.6490032209817681
ACH-000208,-0.8330382292384279
ACH-000210,-1.0493555426474923
ACH-000211,-0.4339157709193913
ACH-000215,-0.6623162765610899
ACH-000221,-0.9531914936067972
ACH-000222,-0.4800380327000354
ACH-000223,-0.5611332801208809
ACH-000226,-0.6193004111329838
ACH-000227,-0.6629026367790304
ACH-000228,-0.4628623075579516
ACH-000231,-0.5676930948324558
ACH-000232,-0.7411660674335261
ACH-000233,-0.8054210200621095
ACH-000234,-0.5491946639204283
ACH-000235,-0.7183438789824232
ACH-000237,-0.4197821788456055
ACH-000238,-0.7690671955574956
ACH-000242,-0.36616424875005604
ACH-000243,-0.40108324041312376
ACH-000244,-0.36927796267716223
ACH-000246,-0.5969187892817838
ACH-000248,-0.705939902571463
ACH-000250,-0.26812120325875244
ACH-000251,-0.5064992761584863
ACH-000252,-0.7061315469186951
ACH-000253,-0.4770391948726008
ACH-000255,-0.5886778067021412
ACH-000256,-0.7404251907703656
ACH-000257,-0.6430510319613894
ACH-000258,-0.4069595594979631
ACH-000259,-0.8250128637649697
ACH-000260,-0.4796759447047687
ACH-000261,-0.4967431791193676
ACH-000262,-0.5855005587559439
ACH-000263,-0.7416654932068871
ACH-000264,-0.4264814775953774
ACH-000265,-0.8255932537856999
ACH-000266,-0.4503533890029723
ACH-000272,-0.4410029544684799
ACH-000274,-0.6784019803312675
ACH-000277,-0.7317209885840971
ACH-000278,-0.4592145757517408
ACH-000279,-1.0497934242279283
ACH-000280,-0.4765885637950433
ACH-000281,-0.7540807467309399
ACH-000288,-0.760915294335813
ACH-000291,-0.6374929986174047
ACH-000293,-0.64156727762831
ACH-000294,-0.9611242254321904
ACH-000295,-0.7653997554985286
ACH-000296,-0.716385739444462
ACH-000302,-0.855281688405571
ACH-000304,-0.8488127752604472
ACH-000307,-0.6906332523000136
ACH-000308,-0.6251688882952072
ACH-000310,-0.35131899815513024
ACH-000311,-0.5837633986749067
ACH-000312,-0.7235484215474105
ACH-000315,-0.9640184347354268
ACH-000316,-0.3628026508640879
ACH-000317,-1.2082241715075523
ACH-000318,-0.6819625287040401
ACH-000319,-0.5108754375167567
ACH-000320,-0.6326245576946531
ACH-000322,-0.6796638807445671
ACH-000323,-0.5707895845703184
ACH-000324,-0.483249428443554
ACH-000329,-0.5878674048753425
ACH-000330,-0.4598664488687576
ACH-000331,-0.6369064429533199
ACH-000332,-0.20677922634803653
ACH-000334,-0.4052129998620753
ACH-000335,-0.8337379678803547
ACH-000336,-0.7596788880989019
ACH-000337,-0.5810444579074729
ACH-000338,-0.8616236296050795
ACH-000339,-0.6821551403225246
ACH-000341,-0.6835484287484828
ACH-000348,-0.6178074749598202
ACH-000350,-0.64708632992655
ACH-000352,-0.9695015704768796
ACH-000356,-0.7772137000665084
ACH-000361,-0.6153184569504851
ACH-000362,-0.3360107192702769
ACH-000363,-0.807354149533178
ACH-000364,-0.6055479460811739
ACH-000365,-0.7572071368862973
ACH-000366,-0.6732436287154294
ACH-000368,-0.4964781878848177
ACH-000374,-0.9333607798990756
ACH-000375,-0.5944037822921245
ACH-000376,-0.8073598527336776
ACH-000381,-0.8338164178704586
