,EIF3CL (728689)
ACH-000004,-1.0846964438507982
ACH-000005,-0.915667856547214
ACH-000007,-1.2661978999901138
ACH-000009,-1.1018108556589008
ACH-000011,-1.0930298246180508
ACH-000012,-1.0849191107897562
ACH-000013,-1.008862411625606
ACH-000014,-1.1445239712198894
ACH-000015,-1.0386372218428543
ACH-000017,-1.0581563236290459
ACH-000018,-1.1238605443650076
ACH-000019,-1.187483358570526
ACH-000021,-1.0631392503382902
ACH-000022,-0.9310675315209616
ACH-000025,-1.2423335825067774
ACH-000028,-1.0959247778221686
ACH-000030,-1.0561442271350003
ACH-000035,-1.0761094043453168
ACH-000036,-1.1477861573253962
ACH-000037,-1.4615947299473686
ACH-000039,-1.2655551550569977
ACH-000040,-1.1599524901016305
ACH-000041,-0.8692701693359207
ACH-000042,-0.9921185575498068
ACH-000045,-1.15506705333882
ACH-000047,-1.17401295712235
ACH-000052,-1.0423649196503535
ACH-000053,-1.0785777606649805
ACH-000054,-1.1034573320579837
ACH-000055,-1.1442934027501466
ACH-000060,-1.1252705902117957
ACH-000067,-1.2260202654223396
ACH-000070,-1.2512788362129277
ACH-000075,-1.0919359365741712
ACH-000078,-1.1561255097025127
ACH-000082,-1.0802723028898584
ACH-000085,-1.0314982955093193
ACH-000086,-1.0876149267462245
ACH-000087,-1.113685848627257
ACH-000092,-1.139413169552903
ACH-000095,-0.938291474098369
ACH-000097,-1.2308275877629191
ACH-000098,-1.1938575900649386
ACH-000099,-1.006168107401176
ACH-000108,-0.9998341827098444
ACH-000113,-1.077306626893787
ACH-000116,-1.057222475381592
ACH-000118,-1.0188072302338784
ACH-000120,-1.3469952850766238
ACH-000123,-1.1376031643958906
ACH-000127,-0.9638554096051404
ACH-000128,-1.134458256590307
ACH-000132,-1.3224239467232806
ACH-000133,-1.0551410293512529
ACH-000137,-1.1425068655469657
ACH-000138,-0.907052640609506
ACH-000142,-1.0763009810572184
ACH-000143,-1.2418265485813804
ACH-000146,-1.201197808629074
ACH-000148,-1.0372298258491714
ACH-000150,-1.1606703011092099
ACH-000152,-1.2176627511114009
ACH-000153,-1.032887437712779
ACH-000159,-1.1166578984605549
ACH-000160,-1.021485684694296
ACH-000163,-0.9875770809287892
ACH-000167,-1.4862261564353108
ACH-000168,-1.0256354734355355
ACH-000169,-1.098865201158552
ACH-000178,-1.051182826039103
ACH-000183,-1.1622788968014333
ACH-000188,-1.0957167679937458
ACH-000189,-0.9473241226906998
ACH-000190,-1.2658557167978075
ACH-000198,-1.0263450143762345
ACH-000203,-0.8396666911420382
ACH-000204,-0.910622303691876
ACH-000206,-1.0755419635807988
ACH-000207,-1.1521676811116874
ACH-000208,-1.4274379254473275
ACH-000210,-1.3677046411435176
ACH-000211,-1.0986803024430478
ACH-000215,-1.2085418096049647
