,SFN (2810)
ACH-000004,-0.1832209204008016
ACH-000005,-0.1846771039266299
ACH-000007,-0.0442211288571626
ACH-000009,-0.12336872566377174
ACH-000011,0.06300421147374828
ACH-000012,-0.19162645931688
ACH-000013,-0.118459954021354
ACH-000014,-0.2383324269980477
ACH-000015,-0.1760422004349461
ACH-000017,-0.08112172536029989
ACH-000018,-0.0968686848655542
ACH-000019,0.004141776494154674
ACH-000021,-0.10534778433198258
ACH-000022,-0.1041417334615515
ACH-000025,-0.2691914174648768
ACH-000028,-0.12792614587115264
ACH-000030,-0.13166293578754468
ACH-000035,-0.2508727142848632
ACH-000036,-0.09396198591300167
ACH-000037,-0.20182894581008196
ACH-000039,-0.17362889525486527
ACH-000040,-0.20139254722078195
ACH-000041,-0.18457668057784388
ACH-000042,-0.002811498706140145
ACH-000045,-0.2100615768135641
ACH-000047,-0.0111397183396952
ACH-000052,-0.23408373449029266
ACH-000053,-0.12013499389021627
ACH-000054,-0.18830557359669928
ACH-000055,-0.0726907595745939
ACH-000060,-0.07351290963498366
ACH-000067,-0.2490195199275365
ACH-000070,-0.016801084317121042
ACH-000075,-0.002919434706929594
ACH-000078,-0.049135316032054274
ACH-000082,-0.15339313719273093
ACH-000085,-0.13847152509920824
ACH-000086,-0.23877582927049334
ACH-000087,-0.025863676030275326
ACH-000092,-0.21380451216409535
ACH-000095,-0.14550323160020773
ACH-000097,-0.10996677361453998
ACH-000098,-0.12280629939435606
ACH-000099,-0.09527614595576853
ACH-000108,-0.06991779958021642
ACH-000113,-0.0936112571811199
ACH-000116,-0.03574043837247666
ACH-000118,-0.16839940410045506
ACH-000120,-0.16961491619237498
ACH-000123,-0.09117506079593668
ACH-000127,-0.11129194062212784
ACH-000128,-0.34686094409241164
ACH-000132,-0.1776398175625002
ACH-000133,-0.06935206576012283
ACH-000137,-0.17873597918893286
ACH-000138,-0.027467007322074143
ACH-000142,-0.05365999320874725
ACH-000143,0.05843434587639424
ACH-000146,-0.057161839014611714
ACH-000148,-0.06072461277281992
ACH-000150,-0.37039805276998544
ACH-000152,-0.2212841465074616
ACH-000153,-0.5196096620552481
ACH-000159,-0.16263461255011072
ACH-000160,-0.2333188685127132
ACH-000163,-0.11921390986631265
ACH-000167,-0.3919995139052858
ACH-000168,-0.3946565420841404
ACH-000169,-0.17350920403112288
ACH-000178,-0.055580354794184335
ACH-000183,-0.2462152447082188
ACH-000188,-0.16844597422760724
ACH-000189,-0.17720253160844388
ACH-000190,-0.1102563959345485
ACH-000198,-0.1223797714224656
ACH-000203,0.13398374626980408
ACH-000204,-0.17650221556453266
ACH-000206,-0.09268475116060902
ACH-000207,-0.1581667550379523
ACH-000208,-0.09798783908933698
ACH-000210,-0.012952360608400772
ACH-000211,-0.05386475789146604
ACH-000215,-0.2325897869767141
ACH-000221,-0.08824012058975206
ACH-000222,-0.2699672251239407
ACH-000223,-0.19881928865700332
ACH-000226,-0.09297531883321823
ACH-000227,-0.0561051510647989
ACH-000228,-0.021293196967597797
ACH-000231,-0.1060358831674728
ACH-000232,-0.05406052501738397
ACH-000233,-0.07469766689112503
ACH-000234,-0.22285761295424208
ACH-000235,-0.08034423786331149
ACH-000237,-0.26868683645605035
ACH-000238,-0.030932194810994827
ACH-000242,0.09300644689407894
ACH-000243,-0.1392787548697792
ACH-000244,-0.0905562141955083
ACH-000246,-0.21920320591719625
ACH-000248,-0.1044306787518888
ACH-000250,-0.11283384298240025
ACH-000251,-0.18406426783038152
ACH-000252,-0.20058096501088452
ACH-000253,-0.13323333591489744
ACH-000255,-0.16845892874226104
ACH-000256,-0.2254964909790338
ACH-000257,-0.3705755392875492
ACH-000258,-0.20538675607674128
ACH-000259,-0.06938713730345507
ACH-000260,-0.1857668157027271
ACH-000261,-0.19687593445567755
ACH-000262,-0.20100071981789167
ACH-000263,-0.12718872573079507
ACH-000264,-0.11768788427773433
ACH-000265,-0.07412600159056917
ACH-000266,-0.0903261851007973
ACH-000272,-0.14526250170651106
ACH-000274,-0.23521289553775446
ACH-000277,-0.1449338411643817
ACH-000278,-0.04071744601823877
ACH-000279,-0.2139644763379421
ACH-000280,-0.0864430924774004
ACH-000281,0.041652583559260735
ACH-000288,-0.3098439857533513
ACH-000291,-0.1765703165423906
ACH-000293,-0.1066722202031156
ACH-000294,-0.17434318384567996
ACH-000295,-0.2364384634135546
ACH-000296,-0.17183545326649266
ACH-000302,-0.19482134301068849
ACH-000304,-0.16979630252024874
ACH-000307,-0.16164414134707036
ACH-000308,-0.12921340623269773
ACH-000310,-0.1686977559316642
ACH-000311,-0.15329170720156354
ACH-000312,-0.2624779545564808
ACH-000315,-0.17187885705009226
ACH-000316,-0.13177925795511938
ACH-000317,-0.3555514747787719
ACH-000318,-0.1674226652452842
ACH-000319,-0.2647251132865956
ACH-000320,-0.22972787179653026
ACH-000322,0.06387972262491197
ACH-000323,-0.2428871684534297
ACH-000324,-0.25715714541776524
ACH-000329,-0.2694509379298933
ACH-000330,-0.008605988638058603
ACH-000331,-0.21801866363100325
ACH-000332,-0.15811643952157184
ACH-000334,-0.2124404454671116
ACH-000335,-0.222531105535476
ACH-000336,-0.2343504737652665
ACH-000337,-0.19265024581529835
ACH-000338,-0.3736242976303304
ACH-000339,-0.004534025486084213
ACH-000341,0.00038767754727699966
ACH-000348,-0.11015202237124998
ACH-000350,0.026317893985435367
ACH-000352,-0.07413111369476875
ACH-000356,-0.14341593366088967
