,OBFC1 (79991)
ACH-000004,-0.6807175114839286
ACH-000005,-0.8426360629142244
ACH-000007,-0.7132540560176845
ACH-000009,-0.35200649431743913
ACH-000011,-0.26485946353774786
ACH-000012,-0.5817002066957092
ACH-000013,-0.15681832268450033
ACH-000014,-0.6220342625792082
ACH-000015,-0.17579737291257946
ACH-000017,-0.157062276056337
ACH-000018,-0.6599069016225451
ACH-000019,-0.17368706752218846
ACH-000021,-0.2910769034895345
ACH-000022,-0.4047492387727467
ACH-000025,-0.33713591306776736
ACH-000028,-0.14358116012164354
ACH-000030,-0.22345512799517708
ACH-000035,-0.5870355369818591
ACH-000036,-0.4421727350481092
ACH-000037,-0.493312817887049
ACH-000039,-0.4587201393263817
ACH-000040,-0.4187421633768352
ACH-000041,-0.4122679676748676
ACH-000042,-0.4808108990472579
ACH-000045,-0.652531628029103
ACH-000047,-0.18907945829869105
ACH-000052,-0.3314411525699648
ACH-000053,-0.5257347315782311
ACH-000054,-0.16112371646575455
ACH-000055,-0.3836834772651774
ACH-000060,-0.5735039064341315
ACH-000067,-0.6600161427751009
ACH-000070,-0.3819062879748534
ACH-000075,-0.2770222997789597
ACH-000078,-0.3759824561919643
ACH-000082,-0.4285229533156728
ACH-000085,-0.35576578377347057
ACH-000086,-0.1437424823611433
ACH-000087,-0.6805623881448484
ACH-000092,-0.2669614228574706
ACH-000095,-0.520303830395494
ACH-000097,-0.20601087088472744
ACH-000098,-0.16675614950540482
ACH-000099,-0.4616711862817437
ACH-000108,-0.4185196679793888
ACH-000113,-0.6288160955434504
ACH-000116,-0.6097039600986763
ACH-000118,-0.7427508462122271
ACH-000120,-0.6721986106042044
ACH-000123,-0.2926013475784534
ACH-000127,-0.3464849559133106
ACH-000128,-0.30976177822316103
ACH-000132,-0.3717540529664941
ACH-000133,-0.4085881962006552
ACH-000137,-0.2947203337882883
ACH-000138,-0.2145860428639164
ACH-000142,-0.1882890586364273
ACH-000143,-0.7360512482240119
ACH-000146,-0.4709379624954158
ACH-000148,-0.7310218108882702
ACH-000150,-0.3584794714729712
