,SMURF2 (64750)
ACH-000004,-0.2984958446146782
ACH-000005,0.1958004775658454
ACH-000007,0.026555699176995268
ACH-000009,-0.3848471439229359
ACH-000011,-0.1957922946401957
ACH-000012,-0.24722747866069544
ACH-000013,-0.3553779885478779
ACH-000014,-0.2087335549299185
ACH-000015,-0.1485499599460227
ACH-000017,-0.3190444633856966
ACH-000018,-0.12348816200332595
ACH-000019,-0.1223309218429367
ACH-000021,-0.20605636015292966
ACH-000022,-0.2388761355084841
ACH-000025,0.06779834352602232
ACH-000028,-0.220734810406666
ACH-000030,-0.21355490454281992
ACH-000035,-0.2184099450520149
ACH-000036,-0.1840970884937458
ACH-000037,-0.3258454935066588
ACH-000039,-0.25522594381635016
ACH-000040,-0.06218991370876663
ACH-000041,-0.035048145806361675
ACH-000042,-0.1861181580481444
ACH-000045,-0.3113267723120115
ACH-000047,-0.11454132190153388
ACH-000052,-0.3638172411789761
ACH-000053,-0.1954711539477872
ACH-000054,-0.2381745777687954
ACH-000055,-0.04909526462757302
ACH-000060,-0.1936893309946116
ACH-000067,-0.5685505195329461
ACH-000070,-0.18443129147876985
ACH-000075,-0.12161033585175444
ACH-000078,-0.1069260867225264
ACH-000082,-0.17693592653345674
ACH-000085,-0.2625737708500945
ACH-000086,-0.19359763088828505
ACH-000087,-0.07971564248906672
ACH-000092,-0.12712875334937435
ACH-000095,-0.2760933979816669
ACH-000097,-0.08366552282649221
ACH-000098,-0.3044627108969921
ACH-000099,-0.15636645098079271
ACH-000108,-0.08785500760279666
ACH-000113,-0.11078841311184308
ACH-000116,-0.6380187599018196
ACH-000118,-0.2175423138529968
ACH-000120,-0.1777839602402656
ACH-000123,-0.3592312750747953
ACH-000127,-0.2440893980574624
ACH-000128,-0.4209753906901981
ACH-000132,-0.19846375072397632
ACH-000133,-0.22098265993706045
ACH-000137,-0.09726966103521734
ACH-000138,-0.2850384258392689
ACH-000142,-0.3582511259660486
ACH-000143,-0.11695065274231622
ACH-000146,-0.2220280837987908
ACH-000148,-0.2749159225188397
ACH-000150,-0.24560905320006346
ACH-000152,-0.1309520601718106
ACH-000153,-0.22886229283513465
ACH-000159,-0.2452605080595905
ACH-000160,-0.2664990959626363
ACH-000163,-0.3381541750283453
ACH-000167,-0.2697950244934805
ACH-000168,-0.26981878856196423
ACH-000169,-0.1937433303995313
ACH-000178,-0.10475377935472614
ACH-000183,-0.3155218573819175
ACH-000188,-0.2380322731659671
ACH-000189,-0.22460060897979855
ACH-000190,-0.04314017740176387
ACH-000198,-0.14511550437007073
ACH-000203,-0.3741102413725483
ACH-000204,-0.1839215495034964
ACH-000206,0.12029883700949208
ACH-000207,-0.3249133922715741
ACH-000208,-0.33302819631782105
ACH-000210,-0.256681978609057
ACH-000211,-0.2299418272239751
ACH-000215,-0.2172030162643579
ACH-000221,-0.20887346061887774
ACH-000222,0.06401942974072887
ACH-000223,-0.23572830127395894
ACH-000226,-0.10534527095296188
ACH-000227,-0.37961852948774333
ACH-000228,-0.20719051049472573
ACH-000231,-0.16496261031692608
ACH-000232,-0.1286384368648173
ACH-000233,-0.060507819750618426
ACH-000234,-0.2712896056759644
ACH-000235,-0.4023006982421062
ACH-000237,-0.1517711474063081
ACH-000238,-0.13035146616347892
ACH-000242,-0.22315808815977192
ACH-000243,-0.34828781451123936
ACH-000244,-0.16587333250746694
ACH-000246,-0.12401505978338645
