,DPCD (25911)
ACH-000004,-0.10671714218179702
ACH-000005,0.07855612654664453
ACH-000007,-0.012202264164009349
ACH-000009,-0.09840197365118164
ACH-000011,0.027788264511931296
ACH-000012,0.0044690865974588035
ACH-000013,-0.11706198968977305
ACH-000014,-0.12965031747298794
ACH-000015,-0.06760002008795969
ACH-000017,-0.05031413008596264
ACH-000018,-0.14848912983008006
ACH-000019,-0.059861786594602326
ACH-000021,0.03182969802443087
ACH-000022,0.05491654490041671
ACH-000025,-0.1952853728325207
ACH-000028,-0.010586612315905049
ACH-000030,-0.02799253153624181
ACH-000035,-0.1614477664895074
ACH-000036,-0.07379900774282848
ACH-000037,-0.13034167503554253
ACH-000039,-0.07139180600816122
ACH-000040,-0.1909407956401569
ACH-000041,-0.14784808444629638
ACH-000042,-0.00723909346775587
ACH-000045,-0.16358279664137473
ACH-000047,0.02476330091722652
ACH-000052,-0.11373207933674465
ACH-000053,-0.04765138722078023
ACH-000054,-0.02246852716167081
ACH-000055,-0.2389004386642749
ACH-000060,-0.1460517120549426
ACH-000067,-0.17826601488575847
ACH-000070,-0.2713141947621737
ACH-000075,0.023599542323366186
ACH-000078,-0.13838729740862935
ACH-000082,-0.02705165397974101
ACH-000085,-0.06818172511269847
ACH-000086,-0.08359255440487047
ACH-000087,0.11664774746292993
ACH-000092,0.02018005375113256
ACH-000095,-0.12767057333185725
ACH-000097,-0.02446102840290547
ACH-000098,-0.07634417410582313
ACH-000099,-0.028461054088589326
ACH-000108,0.0273973911601864
ACH-000113,0.06818156788639383
ACH-000116,-0.07479480141068348
ACH-000118,-0.02596429120100547
ACH-000120,-0.02366365760081281
ACH-000123,-0.10805586633185046
ACH-000127,0.020727147348631958
ACH-000128,-0.04490773316937596
ACH-000132,-0.10158629723692958
ACH-000133,-0.07167224481307585
ACH-000137,-0.11101979327709996
ACH-000138,-0.03018790617907625
ACH-000142,-0.11631149821773652
ACH-000143,-0.13133412921303456
ACH-000146,-0.10933224496276088
ACH-000148,-0.13519904437735006
ACH-000150,-0.05405470567576958
ACH-000152,-0.16217998846295026
ACH-000153,-0.11201438526614334
ACH-000159,-0.06864023023439171
ACH-000160,-0.14114632669020336
ACH-000163,-0.06420386286432436
ACH-000167,-0.2437423703448077
ACH-000168,-0.13115794874823958
ACH-000169,-0.1393643542654046
ACH-000178,-0.06743185766162682
ACH-000183,-0.057253632868135076
ACH-000188,-0.09882002768477552
ACH-000189,-0.2644192008762002
ACH-000190,-0.13820310811666836
ACH-000198,-0.13540436833600156
ACH-000203,0.13207134503005125
ACH-000204,0.010852813986319895
ACH-000206,-0.034636207461458283
ACH-000207,-0.011679498596927894
ACH-000208,-0.15027223983859153
ACH-000210,0.08211537176127226
ACH-000211,-0.08550426743593782
ACH-000215,-0.042594133078367236
ACH-000221,-0.1125492037403595
ACH-000222,-0.09803499063130942
ACH-000223,-0.1006550263660022
ACH-000226,-0.19527346623626307
ACH-000227,0.008736031343559348
ACH-000228,-0.14153166652130952
ACH-000231,-0.032307209410435765
ACH-000232,-0.013998985783163477
ACH-000233,-0.05033716504757792
ACH-000234,0.05271971434834367
ACH-000235,0.002315319338360696
ACH-000237,-0.13104490455430792
ACH-000238,-0.18093673424797874
ACH-000242,-0.07985261526910489
