,SSC4D (136853)
ACH-000004,-0.08076879229398841
ACH-000005,-0.018704275443733185
ACH-000007,-0.2429798870149344
ACH-000009,-0.05873893834802338
ACH-000011,-0.17488719011807272
ACH-000012,-0.24548176025769136
ACH-000013,-0.10876343307759398
ACH-000014,-0.315011716039797
ACH-000015,-0.04690296745006381
ACH-000017,-0.1803595922391509
ACH-000018,-0.1028410290665993
ACH-000019,0.007360928411464913
ACH-000021,-0.2978837524664892
ACH-000022,-0.23658559023014844
ACH-000025,-0.1543918911613826
ACH-000028,-0.2965790820431768
ACH-000030,-4.862767841622054e-05
ACH-000035,-0.04642498735556394
ACH-000036,-0.19454596583097086
ACH-000037,-0.23457208314899325
ACH-000039,-0.12008437335760333
ACH-000040,-0.19235355187144865
ACH-000041,-0.1396667391954471
ACH-000042,-0.17136301774631196
ACH-000045,-0.04766577504720036
ACH-000047,-0.1857424245968447
ACH-000052,-0.2469147325644794
ACH-000053,-0.13811972933211766
ACH-000054,-0.18970947833454552
ACH-000055,-0.17236074229322862
ACH-000060,-0.2540245253991418
ACH-000067,-0.14394752175702055
ACH-000070,-0.09532987587638404
ACH-000075,-0.03420970077257182
ACH-000078,-0.06894553870849145
ACH-000082,-0.16501096217688468
ACH-000085,-0.06381457152081549
ACH-000086,0.044229671860096534
ACH-000087,-0.12908313006078526
ACH-000092,-0.08437124527088515
ACH-000095,-0.02960886384111173
ACH-000097,-0.21439612418648601
ACH-000098,-0.12328666914014028
ACH-000099,-0.06040091557335318
ACH-000108,-0.18709298495101734
ACH-000113,-0.01418002493289201
ACH-000116,-0.04866620386506512
ACH-000118,-0.08045041394270147
ACH-000120,-0.2296777108503042
ACH-000123,-0.13741503142168232
ACH-000127,-0.2002307332464454
ACH-000128,-0.05035088659694072
ACH-000132,0.01849823157219304
ACH-000133,-0.14640936329607288
ACH-000137,-0.06721304329989239
ACH-000138,-0.05982207115769585
ACH-000142,-0.28565315595518825
ACH-000143,-0.09347158907116417
ACH-000146,-0.15157400618380526
ACH-000148,-0.005291225515347118
ACH-000150,-0.10830479207815373
ACH-000152,-0.029973967538464333
ACH-000153,0.19653025322289092
ACH-000159,-0.2523665634618708
ACH-000160,-0.1331754211010778
ACH-000163,-0.3230057064236169
ACH-000167,-0.17459825388689734
ACH-000168,-0.10812645707404253
ACH-000169,-0.16453072875348895
ACH-000178,-0.06949619116432021
ACH-000183,-0.2198866068960572
ACH-000188,-0.22515462373977085
ACH-000189,-0.013601628979921692
ACH-000190,0.10047352433026917
ACH-000198,-0.17978571110484404
ACH-000203,-0.4594176832270567
ACH-000204,-0.02719658736067569
ACH-000206,-0.0569551144718682
ACH-000207,-0.14077384530850934
ACH-000208,-0.2572580315223837
ACH-000210,-0.06568138354649462
ACH-000211,-0.09989535062481414
ACH-000215,-0.03598863532655396
ACH-000221,-0.1862427313394024
ACH-000222,-0.3021052458070652
ACH-000223,-0.09382666216262664
ACH-000226,-0.08366463503512925
ACH-000227,-0.08113279305521086
ACH-000228,-0.2373170403127527
ACH-000231,-0.206501922875392
ACH-000232,-0.2382993947494303
ACH-000233,-0.0028954960081017077
ACH-000234,0.08302588993119324
ACH-000235,-0.2036103510712995
ACH-000237,-0.12952319548029478
ACH-000238,-0.20156520019323154
ACH-000242,-0.35441253736445805
ACH-000243,-0.0629384303276256
ACH-000244,-0.03666267112048741
ACH-000246,-0.14879600551410507
ACH-000248,0.024054232349222958
ACH-000250,-0.12091625648593778
ACH-000251,0.15213394530971686
ACH-000252,-0.01584170797881681
ACH-000253,-0.05856963183141595
ACH-000255,-0.3567183085347048
ACH-000256,-0.2616273132554089
ACH-000257,-0.13190165465308662
ACH-000258,-0.1448651358205075
ACH-000259,-0.07831482193089377
ACH-000260,-0.11769957704358194
ACH-000261,-0.15765685309658442
ACH-000262,-0.2346761640791278
ACH-000263,-0.15195078853386632
ACH-000264,-0.14060515493729892
ACH-000265,-0.11061889553667296
ACH-000266,-0.19233193889348835
ACH-000272,-0.039103450676933216
ACH-000274,-0.1506347574731661
ACH-000277,-0.026101631664093114
ACH-000278,-0.09220591120047553
ACH-000279,-0.2405979456143084
ACH-000280,-0.053243618592936144
ACH-000281,-0.10262312419788146
ACH-000288,-0.17695387165275214
ACH-000291,-0.06820621345709801
ACH-000293,-0.10190596858090648
ACH-000294,-0.1501448655706252
ACH-000295,-0.18148137541106799
ACH-000296,-0.055285728616852034
ACH-000302,-0.1931453706949048
ACH-000304,-0.4146717758462296
ACH-000307,-0.07547123170603756
ACH-000308,-0.1226741963315665
ACH-000310,0.07260762435909512
ACH-000311,-0.3247883788064179
ACH-000312,-0.12648993916908366
ACH-000315,-0.0054391379521966715
ACH-000316,-0.22259742587987155
ACH-000317,0.009931048499307284
ACH-000318,-0.2261794996447232
ACH-000319,-0.12744557392768155
ACH-000320,-0.11807302745300577
ACH-000322,-0.1534538916249819
ACH-000323,0.04217366033351794
ACH-000324,-0.19780105286954452
ACH-000329,-0.08835093787905555
ACH-000330,-0.17364439567056958
ACH-000331,-0.10640269431641257
ACH-000332,-0.12859980841111693
ACH-000334,0.1453125687715841
ACH-000335,0.1067728733649411
ACH-000336,0.04889184156465603
ACH-000337,0.03914669933800452
ACH-000338,-0.5417545472179677
ACH-000339,-0.11255459283036176
ACH-000341,-0.1837272032574996
ACH-000348,-0.08585403755784711
ACH-000350,-0.12238083967667727
ACH-000352,-0.1498394115268236
ACH-000356,-0.2121152163364539
