,TRAK1 (22906)
ACH-000004,-0.22111349110070452
ACH-000005,-0.16230664211866014
ACH-000007,-0.04230829961724514
ACH-000009,-0.20630055795354
ACH-000011,-0.2551580426891876
ACH-000012,-0.24498950546863
ACH-000013,-0.276835662647722
ACH-000014,-0.27907951996447977
ACH-000015,-0.2830577198251088
ACH-000017,-0.019520133916468962
ACH-000018,-0.15556851598365018
ACH-000019,-0.18887681114427726
ACH-000021,-0.13213462495454328
ACH-000022,-0.2593266281087846
ACH-000025,-0.2379528150252673
ACH-000028,-0.09682317158525447
ACH-000030,-0.17501753588794774
ACH-000035,0.011790786928864452
ACH-000036,-0.25534630744995146
ACH-000037,-0.2841640722504095
ACH-000039,-0.2300119903823495
ACH-000040,-0.2306768201889472
ACH-000041,-0.2809138635384204
ACH-000042,-0.21920409520548526
ACH-000045,-0.09429711667568624
ACH-000047,-0.14183834038734594
ACH-000052,-0.2509651081935479
ACH-000053,-0.2140172102738811
ACH-000054,-0.2810268989658289
ACH-000055,-0.16504783264106582
ACH-000060,-0.341354123353006
ACH-000067,-0.2703929528474972
ACH-000070,-0.3629700817803965
ACH-000075,-0.3090778200903484
ACH-000078,-0.3686349363750949
ACH-000082,-0.1847696141534288
ACH-000085,-0.25540566571462475
ACH-000086,-0.3176027412913027
ACH-000087,-0.2077008881927301
ACH-000092,-0.24494416846176395
ACH-000095,-0.2679140016390132
ACH-000097,-0.0858831028309742
ACH-000098,-0.2460987644194549
ACH-000099,-0.2202426877785595
ACH-000108,-0.1858713750532545
ACH-000113,-0.22240225107206232
ACH-000116,-0.2738642342277795
ACH-000118,-0.13812324226976855
ACH-000120,-0.11834281304112665
ACH-000123,-0.24000385956770015
ACH-000127,-0.1956801192259268
ACH-000128,-0.267898659013889
ACH-000132,-0.32308666958980764
ACH-000133,-0.28660186852200803
ACH-000137,-0.2303142874623797
ACH-000138,-0.17747581508880034
ACH-000142,-0.18333487032979795
ACH-000143,-0.15848499771327276
ACH-000146,-0.23437006196710736
ACH-000148,-0.18478771598233285
ACH-000150,-0.147231357982368
ACH-000152,-0.2734173162709087
ACH-000153,-0.18537023174092326
ACH-000159,-0.19839050846897505
ACH-000160,-0.019285594900290876
ACH-000163,-0.08814827491879032
ACH-000167,-0.19807017660648274
ACH-000168,-0.3107395346407973
ACH-000169,-0.17101909056672696
ACH-000178,-0.17576933333726713
ACH-000183,-0.16906171925467578
ACH-000188,-0.23300604616768805
ACH-000189,-0.31742791590843183
ACH-000190,-0.02832042708987703
ACH-000198,-0.2048104710324839
ACH-000203,0.03365097322569844
ACH-000204,-0.09567130286401032
ACH-000206,0.017812458539154002
ACH-000207,-0.1699865202683896
ACH-000208,0.002938213201422803
ACH-000210,0.02004365875808373
ACH-000211,-0.26313820771242125
ACH-000215,-0.1138908148260492
ACH-000221,-0.15308523912201724
ACH-000222,-0.10581660524830154
ACH-000223,-0.24195476352038955
ACH-000226,-0.114987228678576
ACH-000227,-0.20260841720243405
ACH-000228,-0.21168750039345413
ACH-000231,-0.14397708437683965
ACH-000232,-0.21421162753862494
ACH-000233,-0.16006219502697394
ACH-000234,-0.13640931137098186
ACH-000235,-0.2028951257728681
ACH-000237,-0.1351618705695691
ACH-000238,-0.3552479327294936
ACH-000242,-0.5249853623314408
ACH-000243,-0.22817678174824105
