,ARHGDIA (396)
ACH-000004,-0.10959412581332102
ACH-000005,-0.29609012920093625
ACH-000007,-0.10913291302925238
ACH-000009,-0.269689533933774
ACH-000011,-0.34654149513278043
ACH-000012,0.025292283405597072
ACH-000013,-0.026295917756013955
ACH-000014,-0.0365154824095363
ACH-000015,-0.19876345382156094
ACH-000017,-0.09101340862944322
ACH-000018,-0.018219585055715363
ACH-000019,-0.3496395964897552
ACH-000021,-0.10163351900678497
ACH-000022,0.046699706232148384
ACH-000025,-0.008915043563401366
ACH-000028,-0.16722187661587645
ACH-000030,-0.0626338755685747
ACH-000035,0.002649680974927205
ACH-000036,-0.17383249206863588
ACH-000037,-0.12968579551159198
ACH-000039,-0.2578447544043246
ACH-000040,-0.23269570226240724
ACH-000041,-0.12408754700454508
ACH-000042,-0.25577926526887584
ACH-000045,-0.2383351247456659
ACH-000047,-0.20665193907013815
ACH-000052,0.019250993943947192
ACH-000053,-0.17424114851886047
ACH-000054,-0.07531017355222924
ACH-000055,-0.20250808138874427
ACH-000060,-0.2109476707128687
ACH-000067,-0.3301322974656878
ACH-000070,-0.024289448985779286
ACH-000075,0.03221531713581087
ACH-000078,-0.043387051401693605
ACH-000082,-0.04926874831903185
ACH-000085,-0.3786735054804381
ACH-000086,-0.2068468020588808
ACH-000087,0.10973368393439344
ACH-000092,-0.06794382423033679
ACH-000095,-0.2504126637022299
ACH-000097,-0.2581034959409009
ACH-000098,-0.0974527220001952
ACH-000099,-0.1833111450005588
ACH-000108,-0.2385652099225805
ACH-000113,-0.028425354915985405
ACH-000116,-0.24561930770052814
ACH-000118,-0.14868328511802573
ACH-000120,-0.4068899244361437
ACH-000123,-0.08542890147283101
ACH-000127,0.043912310410010084
ACH-000128,-0.1003185279451078
ACH-000132,-0.24643580168660956
ACH-000133,-0.06707040899703823
ACH-000137,-0.06482473773314247
ACH-000138,0.009261179060805732
ACH-000142,-0.3153745667845761
ACH-000143,-0.3701119487890643
ACH-000146,-0.02706437395405891
ACH-000148,0.011627189562058264
ACH-000150,-0.2943287241406355
ACH-000152,-0.16618579267209924
ACH-000153,0.040790206357528426
ACH-000159,-0.15144314874324116
ACH-000160,-0.20398329876950524
ACH-000163,-0.0594785247119658
ACH-000167,0.05665174590353195
ACH-000168,-0.11674186152153587
ACH-000169,-0.18063733043083824
ACH-000178,-0.25453034369793753
