,TOP1 (7150)
ACH-000004,-0.6504412070523289
ACH-000005,-0.5646048441196783
ACH-000007,-0.5012883415022424
ACH-000009,-0.2731360683900687
ACH-000011,-0.5172979902331322
ACH-000012,-0.7356030914954323
ACH-000013,-0.642242879313361
ACH-000014,-0.7087846987387063
ACH-000015,-0.4320856167086363
ACH-000017,-0.6984493823257133
ACH-000018,-0.5635253293930947
ACH-000019,-0.414227071892715
ACH-000021,-0.6444455023596493
ACH-000022,-0.5922490293070024
ACH-000025,-0.522679220053473
ACH-000028,-0.3433297586884262
ACH-000030,-0.6376155744398679
ACH-000035,-0.5486406935504783
ACH-000036,-0.5751858510452155
ACH-000037,0.08524153774579296
ACH-000039,-0.611488493446993
ACH-000040,-0.7527770112434309
ACH-000041,-0.6071079498888291
ACH-000042,-0.7224240239650616
ACH-000045,-0.676415964194442
ACH-000047,-0.4439199248101339
ACH-000052,-0.8117244484071316
ACH-000053,-0.6089482585924377
ACH-000054,-0.7049626367660341
ACH-000055,-0.41616843010088506
ACH-000060,-0.4716515105957563
ACH-000067,-0.6142984518722813
ACH-000070,-0.653663859666933
ACH-000075,-0.6989306031840266
ACH-000078,-0.5374453461387304
ACH-000082,-0.8490778579602966
ACH-000085,-0.676594954552625
ACH-000086,-0.7159280594111433
ACH-000087,-0.5435920797263221
ACH-000092,-0.6700114064047394
ACH-000095,-0.7001246533029241
ACH-000097,-0.6359500800896052
ACH-000098,-0.3952924233467962
ACH-000099,-0.8471186500844665
ACH-000108,-0.6147037680383617
ACH-000113,-0.7823060865553958
ACH-000116,-0.5899227647237042
ACH-000118,-0.5936666455360136
ACH-000120,-0.6768151347040836
ACH-000123,-0.7868026815027472
ACH-000127,-0.4574812862986796
ACH-000128,-0.6361114300860256
ACH-000132,-0.465056631007081
ACH-000133,-0.8061182376344395
ACH-000137,-0.3889732927604335
ACH-000138,-0.5101308236974249
ACH-000142,-0.48884452665028205
ACH-000143,-0.7077480574462723
ACH-000146,-0.5369265529161976
ACH-000148,-0.4352349585404412
ACH-000150,-0.6795928273646564
ACH-000152,-0.5684049176341199
ACH-000153,-1.130635806860281
ACH-000159,-0.5604964042993217
ACH-000160,-0.2980921185479766
ACH-000163,-0.6835354313613772
ACH-000167,-0.452915800354788
ACH-000168,-0.6115995784875632
ACH-000169,-0.7305906833695782
ACH-000178,-0.5766154679490434
ACH-000183,-0.6189735925645728
ACH-000188,-0.6291710829563709
ACH-000189,-0.8579406547780479
ACH-000190,-0.09151091400357884
ACH-000198,-0.6970145658041071
ACH-000203,-0.5725328231521664
ACH-000204,-0.5705786616279417
ACH-000206,-0.5715339311630252
ACH-000207,-0.5840832173435766
ACH-000208,-0.5775853262536247
ACH-000210,-0.9416664501359382
ACH-000211,-0.5866309810284625
ACH-000215,-0.7722566861861956
ACH-000221,-0.7914791183369692
ACH-000222,-0.5388110308137742
ACH-000223,-0.5868021393953969
ACH-000226,-0.6754392676157978
ACH-000227,-0.6187448996359248
ACH-000228,-0.663545351739928
ACH-000231,-0.7485338674110044
ACH-000232,-0.7404675738798291
ACH-000233,-0.694293782274079
ACH-000234,-0.8947911300935041
ACH-000235,-0.3530208179778065
ACH-000237,-0.633245141179343
ACH-000238,-0.4856749980112503
ACH-000242,-0.3453822832034277
ACH-000243,-0.6403832555341238
ACH-000244,-0.6937401726930749
ACH-000246,-0.7479475781082566
ACH-000248,-0.6637652497758671
ACH-000250,-0.7321899534952949
ACH-000251,-0.7517491753590068
ACH-000252,-0.40811350886584097
ACH-000253,-0.5864432305007543
ACH-000255,-0.7666593777932915
