,MUSTN1 (389125)
ACH-000004,-0.1939327973893393
ACH-000005,-0.15179326765848844
ACH-000007,-0.2075309173657407
ACH-000009,-0.17861173184982346
ACH-000011,0.015045318014953743
ACH-000012,-0.17675539952335087
ACH-000013,-0.061775337842057576
ACH-000014,-0.12309740668568207
ACH-000015,-0.18173686205397124
ACH-000017,-0.10973734422621936
ACH-000018,-0.10599882605087442
ACH-000019,-0.15092515896113615
ACH-000021,-0.17695369007655826
ACH-000022,-0.09061864698423996
ACH-000025,-0.1622952580956565
ACH-000028,-0.21218646088269674
ACH-000030,-0.11427906661902246
ACH-000035,-0.020649006425205584
ACH-000036,-0.19630344890038112
ACH-000037,-0.0019503030774062969
ACH-000039,-0.13464135939316732
ACH-000040,-0.03716241906515723
ACH-000041,-0.028837568002375483
ACH-000042,-0.19235298923761024
ACH-000045,-0.3385076835539433
ACH-000047,-0.19188276190630765
ACH-000052,-0.14052456529329954
ACH-000053,-0.13418772042668886
ACH-000054,-0.29294560781586976
ACH-000055,-0.10283862697539516
ACH-000060,-0.2396563325039159
ACH-000067,-0.24150088490374144
ACH-000070,0.009346560815571895
ACH-000075,-0.0019228105584687234
ACH-000078,-0.20198770807375352
ACH-000082,0.008867886401990127
ACH-000085,-0.2511686595394054
ACH-000086,-0.13795525632517722
ACH-000087,0.05196667308517458
ACH-000092,-0.10392979918902567
ACH-000095,-0.23828283768693154
ACH-000097,-0.13303279353513234
ACH-000098,-0.19208817808303505
ACH-000099,-0.0988970428996774
ACH-000108,-0.11386285747557567
ACH-000113,-0.2596811477655425
ACH-000116,-0.0922844740388685
ACH-000118,-0.14599762156343232
ACH-000120,-0.04617462022774033
ACH-000123,-0.23372078092241466
ACH-000127,-0.1516548115500256
ACH-000128,-0.2387428093739209
ACH-000132,-0.06069354626069665
ACH-000133,-0.2288041552029301
ACH-000137,-0.059169637638048674
ACH-000138,-0.08082723914627116
ACH-000142,-0.17981554594882002
ACH-000143,-0.18245618195026614
ACH-000146,0.03354224227730352
ACH-000148,-0.0332518232980898
ACH-000150,-0.17334179481681494
ACH-000152,-0.15387919532133962
ACH-000153,-0.019152336991243024
ACH-000159,-0.13127467286052974
ACH-000160,-0.003797955576005744
ACH-000163,-0.023923152643298626
ACH-000167,-0.1899543502358233
ACH-000168,-0.04234990574935374
ACH-000169,0.061534667594109124
ACH-000178,-0.0761556385221468
ACH-000183,-0.11307646791382912
ACH-000188,-0.30214548173025496
ACH-000189,0.052568518181388094
ACH-000190,-0.08662859409698803
ACH-000198,0.1345358103524659
ACH-000203,-0.4791237168139809
ACH-000204,0.06053339269553242
ACH-000206,-0.06489478204375929
ACH-000207,-0.16655450119067508
ACH-000208,-0.07628470022292615
ACH-000210,-0.0076091543334101735
ACH-000211,-0.21049762197168748
ACH-000215,-0.07452954985307188
ACH-000221,-0.25398416626226783
ACH-000222,-0.04589426062431552
ACH-000223,-0.16922993732043445
ACH-000226,-0.12315875616983818
ACH-000227,-0.09851074592597656
ACH-000228,-0.24364972821191574
ACH-000231,-0.17647458835579038
ACH-000232,-0.11649651689159987
