,RFWD2 (64326)
ACH-000004,-0.6050658813942085
ACH-000005,-0.5819561247833119
ACH-000007,-0.5543566499968938
ACH-000009,-0.2453227966508505
ACH-000011,-0.6701009692198733
ACH-000012,-0.0862090184801268
ACH-000013,-0.3021160590722975
ACH-000014,-0.5247547908155317
ACH-000015,-0.03111420925963425
ACH-000017,-0.1044804346474162
ACH-000018,-0.5574473159786373
ACH-000019,-0.4680190048827118
ACH-000021,-0.3788630913721989
ACH-000022,-0.17551722708901316
ACH-000025,-0.5477301592318159
ACH-000028,-0.5249149214792606
ACH-000030,-0.5527086894111404
ACH-000035,-0.10634910504271064
ACH-000036,-0.5319920074418192
ACH-000037,-0.2251875597472437
ACH-000039,0.038564713465831985
ACH-000040,-0.3780199504754119
ACH-000041,-0.1839596249897423
ACH-000042,-0.08105682375151073
ACH-000045,-0.3454196709916907
ACH-000047,-0.043507927976392136
ACH-000052,-0.14671611272202334
ACH-000053,-0.5815359547770436
ACH-000054,-0.15548997997098815
ACH-000055,-0.5455510881271934
ACH-000060,0.14649761075773118
ACH-000067,-0.21420247865649206
ACH-000070,-0.6166341867036494
ACH-000075,-0.3468282546557833
ACH-000078,-0.11368141753506217
ACH-000082,-0.24141064614964444
ACH-000085,-0.5988107457267765
ACH-000086,-0.4841763927507245
ACH-000087,-0.0049387570019262025
ACH-000092,-0.5928446301581562
ACH-000095,-0.3409333020124684
ACH-000097,-0.22078773342563254
ACH-000098,-0.6805819967841048
ACH-000099,-0.1793316932572293
ACH-000108,-0.5313401242334422
ACH-000113,-0.2660385711801077
ACH-000116,-0.18141352254331894
ACH-000118,-0.2671985765861082
ACH-000120,-0.25266211757963203
ACH-000123,-0.13503915761628482
ACH-000127,-0.21404053576443965
ACH-000128,-0.5173250098689081
ACH-000132,-0.25233597952254244
ACH-000133,-0.3095146072589619
ACH-000137,-0.2176838449972557
ACH-000138,-0.40559190270517664
ACH-000142,-0.35279106850664416
ACH-000143,-0.09860333996268666
ACH-000146,-0.03606175366722957
ACH-000148,-0.1564252649318954
ACH-000150,-0.2428833866474444
ACH-000152,-0.1210499075394366
ACH-000153,-0.175922976649047
ACH-000159,-0.5580022702854888
ACH-000160,-0.21713250698748016
ACH-000163,-0.5062559509682488
ACH-000167,0.4486248687327067
ACH-000168,-0.5425917132720476
ACH-000169,-0.07875528311745615
ACH-000178,-0.34525008895758913
ACH-000183,-0.6865797719923737
ACH-000188,-0.20021403858456036
ACH-000189,-0.5043045464641932
ACH-000190,-0.3489364268553724
ACH-000198,-0.28758207758606724
ACH-000203,-0.08239143183027545
ACH-000204,-0.4706943900655216
ACH-000206,-0.26494633852532223
ACH-000207,0.06042645206377846
ACH-000208,-0.5164456081978427
ACH-000210,-0.17829193863155635
ACH-000211,-0.1397284110780334
ACH-000215,-0.09465288502972073
ACH-000221,-0.1489792360352749
ACH-000222,-0.5389904240425926
ACH-000223,-0.03379918836748961
ACH-000226,-0.3002210515819595
ACH-000227,-0.2093406742332665
ACH-000228,-0.07735609533384309
ACH-000231,-0.29735160221417817
ACH-000232,-0.432811644192855
ACH-000233,-0.2071587842991704
ACH-000234,-0.4204001603808527
ACH-000235,-0.24334170464574506
ACH-000237,-0.35434926930163685
ACH-000238,-0.08004273287037343
ACH-000242,-0.1399684384870026
ACH-000243,-0.5308444108780496
ACH-000244,-0.5298845699659076
ACH-000246,-0.5104775269325047
ACH-000248,0.06564611315696055
ACH-000250,-0.2986103824689773
ACH-000251,-0.5222640049498211
ACH-000252,-0.467912350581877
ACH-000253,-0.5452937036291262
ACH-000255,-0.4549440332041417
ACH-000256,-0.4088715679763789
ACH-000257,0.05877881596989828
ACH-000258,-0.2604788220897216
ACH-000259,0.13492445810863826
ACH-000260,-0.6148732516812071
ACH-000261,-0.3488582573212774
ACH-000262,-0.36184075166874297
ACH-000263,-0.18596453817616745
ACH-000264,-0.3402366891841281
ACH-000265,-0.2328030781107351
ACH-000266,-0.2353883585489637
ACH-000272,-0.3133927625708834
ACH-000274,-0.2916217119500928
ACH-000277,-0.2320830858496587
ACH-000278,-0.3532185443753464
ACH-000279,0.13056516509305466
ACH-000280,-0.3035772021091523
ACH-000281,-0.2211226281965148
ACH-000288,-0.08341069038016907
ACH-000291,-0.335831016403561
ACH-000293,-0.20625872982196
ACH-000294,-0.13426059937783694
ACH-000295,-0.10131547335629043
ACH-000296,-0.40130148274191374
ACH-000302,0.02759909707637565
ACH-000304,-0.6873484454433676
ACH-000307,0.057999806125481924
ACH-000308,-0.29879890971096057
ACH-000310,-0.08034484663285417
ACH-000311,-0.5544136225739044
ACH-000312,-0.011735167486025764
ACH-000315,-0.6833319037702301
ACH-000316,-0.2993047985783945
ACH-000317,-0.020302494797666267
ACH-000318,-0.5421184510224376
ACH-000319,-0.3563283633963175
ACH-000320,-0.10985058962711924
ACH-000322,-0.2716534230365956
ACH-000323,-0.26716744706344003
ACH-000324,-0.3087576828583101
ACH-000329,0.12384835860983665
ACH-000330,0.08364656704865715
ACH-000331,-0.327233559602652
ACH-000332,-0.6263379658373938
ACH-000334,-0.10438767808278894
ACH-000335,-0.5655272668558813
ACH-000336,-0.3187745636325577
ACH-000337,-0.5416197026738078
ACH-000338,0.06399160569528455
ACH-000339,-0.04679665556105792
ACH-000341,-0.21886951263635787
ACH-000348,-0.2972671959925408
ACH-000350,-0.2780635029928501
ACH-000352,-0.3745359780438273
ACH-000356,-0.3562881895889982
ACH-000361,-0.3905380086637916
ACH-000362,-0.3510553100214544
ACH-000363,0.08085185577080198
ACH-000364,-0.07416368024624725
ACH-000365,-0.055335328958965965
ACH-000366,0.12703673076098088
ACH-000368,-0.16374336979941415
ACH-000374,-0.1460505848182443
ACH-000375,-0.6035822061680282
ACH-000376,-0.5906265472597927
ACH-000381,-0.6398625412063292
ACH-000383,-0.2723984330649949
ACH-000387,-0.2377645401178031
ACH-000389,-0.6781056198621267
ACH-000390,-0.5908108123619595
ACH-000393,-0.2134666526546685
ACH-000395,-0.3401797688933956
ACH-000396,-0.3860966225004502
ACH-000397,-0.1794426993763155
ACH-000401,-0.4649277135577597
ACH-000402,-0.5383061428046624
ACH-000403,-0.08320754726028365
ACH-000404,-0.7458344522907905
ACH-000406,0.0010745714718870688
ACH-000407,-0.6781607127424618
ACH-000408,-0.04341782952400717
ACH-000410,-0.3479273377222469
ACH-000411,-0.4403764389001906
ACH-000414,-0.4938231814432031
ACH-000415,0.0980506493296876
ACH-000416,-0.2262218544608279
ACH-000420,-0.7339201427169729
ACH-000421,-0.2595256541371277
ACH-000424,-0.037557996173807534
ACH-000425,-0.4256979888684654
ACH-000426,-0.4919010184064863
ACH-000427,-0.7479625398242461
ACH-000433,-0.10318822688957173
ACH-000435,-0.022615376339627086
ACH-000436,-0.6614315892747057
ACH-000444,-0.5464422251962954
ACH-000445,-0.06777305792276768
ACH-000448,-0.05891899405156498
ACH-000450,-0.560033252466415
ACH-000452,-0.19272197746851533
ACH-000454,-0.1773547479367126
ACH-000458,-0.4902715797229782
ACH-000459,-0.15139987860737694
ACH-000460,0.022048076463194174
ACH-000461,-0.3466906368481565
ACH-000463,-0.18182994091651494
ACH-000464,-0.3953812217648811
ACH-000466,-0.07085110221245235
ACH-000467,-0.3498975875799129
ACH-000468,-0.4295429217485573
ACH-000469,-0.4564166023793456
ACH-000470,-0.2373854654265633
ACH-000471,0.04747854342041901
ACH-000472,-0.20613331808671614
ACH-000473,-0.2006338646173192
ACH-000475,-0.4263049782348933
ACH-000476,-0.4143827718672296
ACH-000477,-0.7704656958251207
ACH-000479,-0.6174262813578627
ACH-000480,-0.6520061754922372
ACH-000481,-0.36143100101511066
ACH-000483,-0.3732693452258888
ACH-000484,-0.4724436987429066
ACH-000485,-0.588429544667467
