,SPR (6697)
ACH-000004,0.057937003684930224
ACH-000005,-0.07373253497389326
ACH-000007,0.020884367584291845
ACH-000009,-0.052008172948054716
ACH-000011,0.12804623326942294
ACH-000012,-0.055194825774355256
ACH-000013,-0.054630970427405036
ACH-000014,0.14244942071931707
ACH-000015,-0.013302739215819122
ACH-000017,-0.023192767325630796
ACH-000018,-0.27407630272521777
ACH-000019,0.05599644135820777
ACH-000021,-0.13572763026637036
ACH-000022,-0.04714775192306814
ACH-000025,0.14666912120861456
ACH-000028,-0.09412686008821086
ACH-000030,-0.05751022184963689
ACH-000035,-0.07801074519955155
ACH-000036,-0.119687542267396
ACH-000037,-0.13224448297529026
ACH-000039,-0.2381416481919199
ACH-000040,-0.07587255927246424
ACH-000041,0.08587239307091972
ACH-000042,-0.13065555716127022
ACH-000045,-0.020033797634367863
ACH-000047,-0.2674790657783488
ACH-000052,-0.1930532212547228
ACH-000053,-0.1257754927674491
ACH-000054,-0.025332380493460867
ACH-000055,0.027616166129466026
ACH-000060,-0.09162772400985347
ACH-000067,-0.1852561482974522
ACH-000070,0.165038696109042
ACH-000075,-0.05021009247547779
ACH-000078,-0.1795950284214646
ACH-000082,-0.04292295573418303
ACH-000085,-0.1424961222923411
ACH-000086,-0.022239793353676842
ACH-000087,-0.21721891155797846
ACH-000092,-0.23229250672185625
ACH-000095,-0.18288396846952573
ACH-000097,-0.1263401990773895
ACH-000098,-0.08833823940141339
ACH-000099,-0.06983445460989653
ACH-000108,-0.09423488937580653
ACH-000113,0.0015690807223600466
ACH-000116,-0.16212936634909264
ACH-000118,-0.10585028529564433
ACH-000120,-0.061782259759179586
ACH-000123,-0.061082242962176826
ACH-000127,-0.11682871055903665
ACH-000128,-0.10217031905870616
ACH-000132,-0.1493178353976606
ACH-000133,-0.24773446092150814
ACH-000137,-0.2517396918089615
ACH-000138,-0.12119049959120667
ACH-000142,-0.1077937802623508
ACH-000143,-0.009169333770159705
ACH-000146,-0.085319495279916
ACH-000148,-0.03672256280207329
ACH-000150,-0.007918388335534291
ACH-000152,0.06356158225675948
ACH-000153,0.19145714839404587
ACH-000159,-0.11414764929371675
ACH-000160,-0.12949587140490415
ACH-000163,-0.06008410405803435
ACH-000167,-0.1289225860293114
ACH-000168,0.08421247061342263
ACH-000169,-0.14494800865988486
ACH-000178,-0.15982129029551226
ACH-000183,-0.21884460187269175
ACH-000188,-0.25370112367678965
ACH-000189,0.07659684848387946
ACH-000190,-0.2038978398420217
ACH-000198,-0.007712608861620081
ACH-000203,-0.09919377720312292
ACH-000204,0.028347062162075224
ACH-000206,0.3030788927828668
ACH-000207,-0.1816921571938177
ACH-000208,-0.07945287899093252
ACH-000210,-0.0704257368716302
ACH-000211,-0.06978580101093804
ACH-000215,-0.059401624023082536
ACH-000221,-0.3102290999976393
ACH-000222,-0.04891770385988179
ACH-000223,-0.05493109558097768
ACH-000226,-0.05571070336747996
ACH-000227,0.009796591241667934
ACH-000228,-0.2723744374584042
ACH-000231,-0.0822664917235596
ACH-000232,0.018112081333712983
ACH-000233,-0.1449196652169686
ACH-000234,0.022949731052657074
ACH-000235,-0.08759688037976061
ACH-000237,-0.1342244198485982
ACH-000238,-0.4074678435586904
ACH-000242,-0.6909787084259411
ACH-000243,-0.1471694893901914
ACH-000244,0.02693339387197035
ACH-000246,-0.04143722195737225
ACH-000248,-0.07249489042464251
ACH-000250,-0.10439744400925044
ACH-000251,-0.2334597819536065
ACH-000252,-0.2761487267297162
ACH-000253,-0.03339439652991465
ACH-000255,-0.3403105623378911
ACH-000256,-0.14682028954044776
ACH-000257,0.0294274894444257
ACH-000258,-0.20885415910771613
ACH-000259,-0.08962406868867932
ACH-000260,-0.04445105165492951
ACH-000261,-0.181349868199828
ACH-000262,0.06488394890405315
ACH-000263,-0.049640376530153636
ACH-000264,-0.0683360274372575
ACH-000265,-0.08865982879136923
ACH-000266,-0.099402509241151
ACH-000272,-0.25036879822681235
ACH-000274,-0.05556921344119268
ACH-000277,-0.15099797885834024
ACH-000278,-0.06474253428524518
ACH-000279,-0.05036259422481935
ACH-000280,-0.0658594301365621
ACH-000281,-0.1521591111730666
ACH-000288,-0.05914347697736892
ACH-000291,-0.036612988436027824
ACH-000293,-0.1255568226721693
ACH-000294,-0.18988276110957836
ACH-000295,0.4477775053216592
ACH-000296,0.09155712708465608
ACH-000302,0.05311265717624807
ACH-000304,-0.08504335459563248
ACH-000307,-0.1982008382905977
ACH-000308,-0.18852985836607725
ACH-000310,-0.019997206892235414
ACH-000311,-0.14074928714049764
ACH-000312,-0.16271756622592126
ACH-000315,-0.3191138127108311
ACH-000316,0.003632552013757504
ACH-000317,-0.020904818991031224
ACH-000318,-0.1302906573502323
ACH-000319,-0.02595921585130592
ACH-000320,0.09598739619755678
ACH-000322,-0.09051178953710523
ACH-000323,-0.1307830060853712
ACH-000324,-0.1423502902666661
ACH-000329,0.048677074688375926
ACH-000330,-0.13549740404811228
ACH-000331,-0.13308653036634374
ACH-000332,-0.050193116284494285
ACH-000334,-0.14854104880680874
ACH-000335,0.033498020385377233
ACH-000336,-0.3244964842787864
ACH-000337,-0.015320183641244737
ACH-000338,-0.3805380579703953
ACH-000339,-0.1737143080015358
ACH-000341,-0.08341403610964156
ACH-000348,-0.14180542968873538
ACH-000350,-0.15010383238394118
ACH-000352,0.02182741903677329
ACH-000356,-0.203500100819982
ACH-000361,-0.4019760217958636
ACH-000362,-0.016762703090488253
ACH-000363,-0.013809473601376469
ACH-000364,-0.2447535023350145
ACH-000365,-0.06567619865005525
ACH-000366,-0.11292279605395028
ACH-000368,-0.09871827378964468
ACH-000374,-0.04436371476366464
ACH-000375,-0.1812866814156096
ACH-000376,-0.01845131734704955
ACH-000381,-0.2675001082057211
ACH-000383,-0.07218748824312966
ACH-000387,0.05919992201597075
ACH-000389,-0.22309345662445354
ACH-000390,-0.21768079014818825
ACH-000393,-0.2373273432356401
ACH-000395,-0.0965733086653012
ACH-000396,-0.1679668891937437
ACH-000397,-0.09666411082585777
ACH-000401,-0.03365414188365088
ACH-000402,-0.03965808481796732
ACH-000403,-0.1266925883072958
ACH-000404,-0.14000617557429862
ACH-000406,-0.016373736819759968
ACH-000407,0.06965437454493405
ACH-000408,-0.3101401055119458
ACH-000410,-0.31490117794688977
ACH-000411,-0.1397454594344751
ACH-000414,0.06825622657785789
ACH-000415,-0.1758773693781446
ACH-000416,-0.15022914746440738
ACH-000420,-0.16397072883367309
ACH-000421,-0.10316512647002177
ACH-000424,-0.11586189310115624
ACH-000425,-0.13931784085780108
ACH-000426,0.14694379057294624
ACH-000427,0.13103985359444187
ACH-000433,-0.23174449538438305
ACH-000435,-0.14232003212843072
ACH-000436,-0.2211523583900934
ACH-000444,0.030806639833457126
ACH-000445,-0.057885142072575564
ACH-000448,-0.1718200781707886
ACH-000450,0.050112412897216456
ACH-000452,-0.14181684513631926
ACH-000454,-0.2709742908781952
ACH-000458,-0.14722336700390612
ACH-000459,-0.1159600626074929
ACH-000460,-0.16207338316631434
ACH-000461,-0.06709253352743519
ACH-000463,-0.07828167527961705
ACH-000464,-0.050388991217937946
ACH-000466,-0.08211351246245377
ACH-000467,-0.10652751960494906
ACH-000468,-0.1378303714122621
ACH-000469,0.03779502219553104
ACH-000470,-0.14092049700058612
ACH-000471,-0.002231352869925706
ACH-000472,-0.03518276711278484
ACH-000473,-0.012963146639513484
ACH-000475,-0.14443167521566525
ACH-000476,-0.18088907358055947
ACH-000477,-0.1076944597244792
ACH-000479,-0.14752110173126726
ACH-000480,-0.2780324665420077
ACH-000481,-0.2646385428707411
ACH-000483,-0.057347889307584415
ACH-000484,-0.2306406109166019
ACH-000485,-0.15437677665451613
ACH-000486,-0.08938136754351415
ACH-000487,-0.1492552795120118
ACH-000488,-0.046145481543788926
ACH-000490,-0.1915723956001689
ACH-000491,-0.10208842816483248
ACH-000495,0.03316281922210985
ACH-000496,-0.11855655104669074
ACH-000499,-0.13034194659504633
ACH-000500,-0.196911706454728
ACH-000502,-0.07785747209706588
ACH-000503,-0.07462224882784478
ACH-000505,0.017415646667149644
ACH-000507,0.0503445361419528
ACH-000510,-0.0052803034635454035
ACH-000511,-0.1595358790123628
ACH-000512,-0.0027180016399192424
ACH-000516,-0.1970033248851523
ACH-000517,-0.08160668038744537
ACH-000518,-0.2339796598274101
ACH-000520,-0.024168502529714846
ACH-000521,-0.2089876744014689
ACH-000522,-0.16786226268442184
ACH-000524,-0.12177044867101278
ACH-000527,-0.07388542908178554
ACH-000528,-0.030079200209137368
ACH-000537,-0.16714560038606424
ACH-000541,0.07214656873501411
ACH-000542,-0.09766502919025384
ACH-000544,-0.1091537363453113
ACH-000545,-0.2860567432586158
ACH-000547,-0.3527713701597316
ACH-000548,-0.2227113959806136
ACH-000549,-0.2578686301010668
ACH-000550,-0.06242391626072761
ACH-000552,-0.21182029002738845
ACH-000556,-0.14943804276041248
ACH-000557,-0.17656187316662197
ACH-000569,-0.2482370459640532
ACH-000570,-0.1730941002258199
ACH-000571,-0.1368252854897102
ACH-000573,-0.16050319738426833
ACH-000576,-0.027595580976570187
ACH-000579,-0.06572070309769988
ACH-000580,-0.15987599239461195
ACH-000584,-0.11003253025188844
ACH-000585,-0.11560758369003715
ACH-000588,-0.10962637527833688
ACH-000589,-0.09469819282892952
ACH-000591,0.02418457582729769
ACH-000593,-0.2511619320492438
ACH-000600,-0.1342746968287052
ACH-000601,-0.07281609560184908
ACH-000605,-0.0654419547860292
ACH-000606,-0.0984495392979172
ACH-000608,-0.0271934904880664
ACH-000614,0.005192675012432967
ACH-000616,-0.030076353225386505
ACH-000618,-0.27934928666238423
ACH-000619,-0.13501398167801154
ACH-000620,-0.08081573830690858
ACH-000621,0.06743259883311804
ACH-000622,0.005660177631338548
ACH-000623,-0.2250122961156088
