,CREG1 (8804)
ACH-000004,-0.3131058859209096
ACH-000005,0.1024119034691022
ACH-000007,-0.04730297068879257
ACH-000009,-0.10849648231046552
ACH-000011,-0.2134453785723565
ACH-000012,-0.04718739636517248
ACH-000013,-0.035946200078808284
ACH-000014,0.036165769361439434
ACH-000015,-0.05325035799594775
ACH-000017,-0.0882703509359829
ACH-000018,-0.06671014406144664
ACH-000019,0.08742616665173777
ACH-000021,-0.0659050079695024
ACH-000022,-0.08373444362435843
ACH-000025,-0.23966381454298405
ACH-000028,0.02781791347547801
ACH-000030,-0.047418406848544085
ACH-000035,-0.09952838276038628
ACH-000036,-0.10991221617307237
ACH-000037,-0.035500028862747536
ACH-000039,-0.1967436160793834
ACH-000040,-0.032233307573096434
ACH-000041,0.017030198917192922
ACH-000042,0.07821105457558915
ACH-000045,0.031664942524811945
ACH-000047,-0.23683991092112305
ACH-000052,-0.17853883822081185
ACH-000053,-0.14707256485278292
ACH-000054,-0.058266770784431626
ACH-000055,-0.02816237307593235
ACH-000060,-0.06023095314014738
ACH-000067,-0.1014682390456826
ACH-000070,-0.2662401744345632
ACH-000075,-0.19607764138410247
ACH-000078,0.016603120472460146
ACH-000082,-0.01581098345616289
ACH-000085,-0.017594813357988574
ACH-000086,-0.22036788258042347
ACH-000087,0.04433766229272256
ACH-000092,-0.08378347547845387
ACH-000095,-0.19482895535565575
ACH-000097,-0.02740244528054664
ACH-000098,-0.06243588020183057
ACH-000099,0.015914063795747252
ACH-000108,0.052644827114321176
ACH-000113,-0.23111950951367735
ACH-000116,-0.03938460854745985
ACH-000118,0.1602957764363556
ACH-000120,0.029684886405425274
ACH-000123,-0.11086059305706278
ACH-000127,-0.006168119504013781
ACH-000128,0.07662608531208509
ACH-000132,-0.17254177510505106
ACH-000133,-0.04676847683577854
ACH-000137,-0.0937037924168838
ACH-000138,0.07317410916163705
ACH-000142,0.059009338558211374
ACH-000143,0.03936045402836608
ACH-000146,-0.05910731904411854
ACH-000148,-0.060743295522269626
ACH-000150,-0.17077997735814546
ACH-000152,-0.07819463802598911
ACH-000153,-0.1946074197868248
ACH-000159,-0.16478363180557798
ACH-000160,0.264810033477104
ACH-000163,0.0162044892084343
ACH-000167,0.3313721099283737
ACH-000168,0.09688965246792368
ACH-000169,-0.07490601394917705
ACH-000178,0.004216263364705291
ACH-000183,-0.15746840156041408
ACH-000188,-0.0025461921129123185
ACH-000189,0.036577279661203804
ACH-000190,0.1671496426213277
ACH-000198,-0.03701172235320011
ACH-000203,0.12579572708451986
ACH-000204,-0.42132454381476336
ACH-000206,-0.08628659127617412
ACH-000207,-0.0045819886135076895
ACH-000208,-0.17664429295881368
ACH-000210,-0.027815681622255572
ACH-000211,-0.038971021404686716
ACH-000215,-0.03691401348859278
ACH-000221,0.06012052661796145
