,IBA57 (200205)
ACH-000004,-0.013753887981122832
ACH-000005,-0.363463476872456
ACH-000007,-0.2402946283702072
ACH-000009,-0.25789795729026
ACH-000011,-0.10521556742665697
ACH-000012,-0.3977829494175773
ACH-000013,-0.6189551785114499
ACH-000014,-0.2438969857427505
ACH-000015,-0.2654370964455209
ACH-000017,-0.217547578323712
ACH-000018,-0.14932145405619784
ACH-000019,-0.3044131685037189
ACH-000021,-0.2359913764687285
ACH-000022,-0.15159995829888262
ACH-000025,-0.30872035296189965
ACH-000028,-0.30777629647074833
ACH-000030,-0.19493850272221566
ACH-000035,-0.31765455916514274
ACH-000036,-0.19734394021268845
ACH-000037,-0.21464430202640106
ACH-000039,0.010471086040156723
ACH-000040,-0.094771199883107
ACH-000041,-0.2369592876271188
ACH-000042,-0.1456091186124
ACH-000045,-0.3603143285095812
ACH-000047,-0.6333939460138662
ACH-000052,-0.4003094786512297
ACH-000053,-0.33462085510667994
ACH-000054,-0.1990747983806201
ACH-000055,-0.3091616504814544
ACH-000060,-0.19376777439397574
ACH-000067,-0.3184017278826573
ACH-000070,-0.2465454203670501
ACH-000075,-0.3537966108646989
ACH-000078,-0.1244368792014028
ACH-000082,-0.22797759571016984
ACH-000085,-0.2691447645257103
ACH-000086,-0.5002723285288599
ACH-000087,-0.1156116228034429
ACH-000092,-0.2280904385183684
ACH-000095,0.08651604348190158
ACH-000097,-0.07536413722610764
ACH-000098,-0.2829351938121808
ACH-000099,-0.2601866603353275
ACH-000108,-0.2542447403532443
ACH-000113,-0.2247165560394573
ACH-000116,-0.15723937661985252
ACH-000118,-0.4862654650526689
ACH-000120,-0.3439474523850236
ACH-000123,-0.4428346167938302
ACH-000127,-0.4771214848151652
ACH-000128,-0.3659374622279921
ACH-000132,-0.15552541424001545
ACH-000133,-0.1321063411449788
ACH-000137,-0.2863869814444417
ACH-000138,-0.19781759162909388
ACH-000142,-0.0828745416640641
ACH-000143,-0.2681778870973013
ACH-000146,-0.2610495789562393
ACH-000148,-0.4007087117561444
ACH-000150,-0.20174442090404146
