,BLOC1S2 (282991)
ACH-000004,0.04414572890508985
ACH-000005,-0.18942103835048224
ACH-000007,-0.12721657997057628
ACH-000009,-0.1461728185701727
ACH-000011,-0.2431895541327517
ACH-000012,-0.06753388636404291
ACH-000013,-0.16049902673703662
ACH-000014,-0.232650097551962
ACH-000015,-0.20462867624168204
ACH-000017,-0.4635135836199907
ACH-000018,-0.06020924873311154
ACH-000019,-0.3113440438423915
ACH-000021,-0.12124072621509413
ACH-000022,-0.04886752641056937
ACH-000025,-0.2009499040897713
ACH-000028,-0.08369257642309468
ACH-000030,-0.11620711693434435
ACH-000035,-0.03855111280000602
ACH-000036,-0.2124650960852746
ACH-000037,-0.1866550511407864
ACH-000039,-0.2363201467459842
ACH-000040,-0.09297059564383787
ACH-000041,-0.30557530087573104
ACH-000042,-0.16217295157986633
ACH-000045,-0.14246954658961594
ACH-000047,-0.050005640421385715
ACH-000052,-0.02488515837040905
ACH-000053,-0.17373771033267274
ACH-000054,-0.1858172497285857
ACH-000055,-0.12705931771784928
ACH-000060,-0.12181152387201576
ACH-000067,-0.26262754563495466
ACH-000070,0.07189998730897665
ACH-000075,-0.04230612540289649
ACH-000078,-0.1455852865281591
ACH-000082,-0.08490000955148724
ACH-000085,-0.2427583297283666
ACH-000086,-0.1344495852435917
ACH-000087,-0.1418181196242624
ACH-000092,-0.19735973662742448
ACH-000095,-0.022367753311860503
ACH-000097,-0.10557545493902623
ACH-000098,-0.03108293720267157
ACH-000099,-0.07973360817260633
ACH-000108,-0.269306824692786
ACH-000113,-0.12223737590665715
ACH-000116,-0.21186449138455227
ACH-000118,-0.1948417861870673
ACH-000120,-0.16271440566709858
ACH-000123,-0.05248722726007195
ACH-000127,-0.15543686601507598
ACH-000128,-0.1253780526912036
ACH-000132,-0.2960151698119789
ACH-000133,-0.0965560406421154
ACH-000137,-0.03609531831501496
ACH-000138,-0.1815219820061527
ACH-000142,-0.10896225117039683
ACH-000143,-0.11232900422112373
ACH-000146,-0.02462705172698413
ACH-000148,-0.16768827991817112
ACH-000150,-0.21437165285355803
ACH-000152,-0.14669643988754186
ACH-000153,0.10392169480805546
ACH-000159,-0.07608202854116096
ACH-000160,-0.25644708666659505
ACH-000163,-0.10593015041023217
ACH-000167,-0.2296850449941566
ACH-000168,-0.13893044769531154
ACH-000169,-0.36878367555282654
ACH-000178,-0.2560950900032745
ACH-000183,-0.16461654010784985
ACH-000188,-0.08814983133000501
ACH-000189,-0.3100450262195452
ACH-000190,-0.41539032401405385
ACH-000198,-0.014432504595861028
ACH-000203,-0.192174099416988
ACH-000204,0.010198251173512364
ACH-000206,-0.1973442100033664
ACH-000207,-0.2148512221394533
ACH-000208,-0.2244082262649912
ACH-000210,-0.16744599824936984
ACH-000211,-0.21216913014687575
ACH-000215,-0.0759957998785595
ACH-000221,-0.01905861998941141
ACH-000222,-0.18173455929947027
ACH-000223,-0.04168950892875718
ACH-000226,-0.16908212769240122
ACH-000227,-0.14564393521358535
ACH-000228,-0.09800393484752712
ACH-000231,-0.20677857143589648
ACH-000232,-0.1770153871747699
ACH-000233,-0.16509329922298227
ACH-000234,-0.2434787089560302
ACH-000235,-0.09969796511145956
ACH-000237,-0.2094940793864165
ACH-000238,-0.18958487497998336
ACH-000242,0.033933939976196335
ACH-000243,-0.07799406383216123
ACH-000244,-0.1255595935337343
ACH-000246,-0.10633236336639974
ACH-000248,-0.035274973132867364
ACH-000250,-0.06789909173425186
ACH-000251,-0.24010489763444376
ACH-000252,-0.12000291939273228
ACH-000253,-0.2798676705589741
ACH-000255,-0.05151088151515185
ACH-000256,-0.14782569127071798
ACH-000257,0.014120736297768468
ACH-000258,-0.027073055733847683
ACH-000259,-0.06246461868091359
ACH-000260,-0.11130022728902314
ACH-000261,-0.17720719638006613
ACH-000262,-0.4082983459083587
ACH-000263,0.1265255895181674
ACH-000264,-0.11029657566414497
ACH-000265,-0.022038576353515055
ACH-000266,-0.14823622991740165
ACH-000272,-0.2059353768965896
ACH-000274,-0.1230338957151374
ACH-000277,-0.061196517283644565
ACH-000278,-0.1785257396750092
ACH-000279,-0.012584070276377993
ACH-000280,-0.1013327081606977
ACH-000281,-0.2855049989161489
ACH-000288,-0.18952083124568428
ACH-000291,-0.19731555747968005
ACH-000293,-0.222385813795484
ACH-000294,-0.12780329621538233
ACH-000295,-0.4418885681186875
ACH-000296,-0.27218617247675936
ACH-000302,-0.07601800086192442
ACH-000304,0.13207561909720325
ACH-000307,-0.12690954064074705
ACH-000308,-0.22415293421682364
ACH-000310,-0.2138934476262314
ACH-000311,-0.2096962843525197
ACH-000312,-0.07598437850527527
ACH-000315,0.08082895175704329
ACH-000316,-0.10473017399982004
ACH-000317,-0.10857750654608586
ACH-000318,-0.06967571017882626
ACH-000319,-0.2086283932219736
ACH-000320,-0.30646920453400106
ACH-000322,-0.1887923677010488
ACH-000323,-0.31659775135878376
ACH-000324,-0.007443273778836547
ACH-000329,-0.2643088325613092
ACH-000330,-0.05277562749285892
ACH-000331,-0.3269450450395827
ACH-000332,-0.1606868076733497
ACH-000334,0.02807261858680964
ACH-000335,0.16392046304685667
ACH-000336,-0.09901624376317013
ACH-000337,-0.2270895040512811
ACH-000338,-0.3341625798143729
ACH-000339,0.02425736356895434
ACH-000341,-0.16762269439753466
ACH-000348,-0.12902275189543902
ACH-000350,-0.19110755871927504
ACH-000352,-0.14306918247905762
ACH-000356,-0.09591990564122292
ACH-000361,-0.14502994803963065
ACH-000362,-0.07928539094161333
ACH-000363,-0.09677021148430193
ACH-000364,-0.08586773464588049
ACH-000365,-0.1319308409716481
ACH-000366,-0.3131041983531304
ACH-000368,-0.2417461743473711
ACH-000374,-0.16674644032741226
ACH-000375,-0.038539597375871405
ACH-000376,-0.041739647472992886
ACH-000381,-0.1086150593878012
ACH-000383,-0.1442188455230486
ACH-000387,-0.10652786212009394
ACH-000389,-0.044028575962971016
ACH-000390,-0.04307567339461391
ACH-000393,-0.2974907744922753
ACH-000395,-0.2975867434289885
ACH-000396,0.08454578235938312
