,MPDU1 (9526)
ACH-000004,-0.3976215317321517
ACH-000005,-0.4439749021399289
ACH-000007,-0.0583671482094215
ACH-000009,-0.2909176253950405
ACH-000011,-0.2276743449536676
ACH-000012,-0.013021415028664787
ACH-000013,-0.3051807085929625
ACH-000014,-0.0675324417942674
ACH-000015,-0.2490530586277173
ACH-000017,-0.14275986812018204
ACH-000018,-0.22485139204600346
ACH-000019,0.0144884668586942
ACH-000021,-0.018228126708246015
ACH-000022,-0.14412594864852746
ACH-000025,-0.3037371391590852
ACH-000028,-0.16112741681397144
ACH-000030,-0.21625373046909474
ACH-000035,-0.3397086914330956
ACH-000036,-0.4941428902541677
ACH-000037,-0.23729492003815544
ACH-000039,-0.13381399068071653
ACH-000040,-0.15287555095981673
ACH-000041,-0.14066225527166396
ACH-000042,-0.1399686560904696
ACH-000045,-0.09948355013288594
ACH-000047,-0.06691259030872372
ACH-000052,-0.11534634886660415
ACH-000053,-0.12010027951204084
ACH-000054,-0.056293571637967804
ACH-000055,-0.17889229747127322
ACH-000060,-0.4076721519985939
ACH-000067,-0.25284014848572883
ACH-000070,-0.06852011348130027
ACH-000075,-0.11298141960881702
ACH-000078,-0.09894422884347442
ACH-000082,-0.22283183572226853
ACH-000085,-0.12372741164522408
ACH-000086,-0.18562876746847168
ACH-000087,-0.05422199281377143
ACH-000092,-0.3536095980937106
ACH-000095,-0.027608532625448063
ACH-000097,-0.15997930629111745
ACH-000098,-0.20270621817659315
ACH-000099,-0.1324882989106123
ACH-000108,-0.2433794794438864
ACH-000113,-0.09436631647990074
ACH-000116,-0.4078903802965572
ACH-000118,-0.4616050913660165
ACH-000120,-0.19588603609186628
ACH-000123,-0.20815480935156508
ACH-000127,-0.147478049637619
ACH-000128,-0.17156632034759514
ACH-000132,-0.34581446304179564
ACH-000133,-0.3643687425819316
ACH-000137,-0.2660255166729754
ACH-000138,-0.2401299201961728
ACH-000142,-0.5110654811202623
ACH-000143,-0.2453856837583877
ACH-000146,-0.010646263932358546
ACH-000148,-0.054337943294503546
ACH-000150,-0.2098911134852729
ACH-000152,-0.2036117025122379
ACH-000153,-0.3318128699102465
ACH-000159,-0.1172648422112695
ACH-000160,-0.09695921694362873
ACH-000163,-0.27945474097677064
ACH-000167,-0.5248920378215687
ACH-000168,-0.13169450112845815
ACH-000169,-0.09500403605027118
ACH-000178,-0.2615075567864292
ACH-000183,-0.7902891552229073
ACH-000188,-0.4252504319860469
ACH-000189,-0.23146133273401984
ACH-000190,-0.4795533857654675
ACH-000198,-0.006717016372117871
ACH-000203,-0.03737063007243032
ACH-000204,-0.6604435316325631
ACH-000206,0.049439866330565005
ACH-000207,-0.2408474320641365
ACH-000208,-0.049566868300988665
ACH-000210,-0.03030173529000685
ACH-000211,-0.06785167992938666
ACH-000215,-0.07390446719972515
ACH-000221,-0.17610595668198284
ACH-000222,-0.1924217257539639
ACH-000223,-0.17825891467150987
ACH-000226,-0.10761962570284997
ACH-000227,-0.07978814070001215
ACH-000228,-0.1417993738208829
ACH-000231,-0.2258542275802082
ACH-000232,-0.09417419151137503
ACH-000233,-0.13762079744559752
ACH-000234,-0.3978402278874424
ACH-000235,-0.1366208788995592
ACH-000237,-0.1595930960619677
ACH-000238,-0.4243186859025019
ACH-000242,-0.3553027682474649
ACH-000243,-0.11487038580388367
ACH-000244,-0.0364421722414686
ACH-000246,-0.18578808599066785
ACH-000248,-0.02161538089742156
ACH-000250,-0.11236984309290758
ACH-000251,-0.280189119864754
ACH-000252,-0.28130494787730803
ACH-000253,-0.1792931110980581
ACH-000255,-0.07007530650363611
ACH-000256,-0.3385777547338229
ACH-000257,0.05912033048156595
ACH-000258,-0.15653873302286458
ACH-000259,-0.08479111216370433
ACH-000260,-0.261845388575892
ACH-000261,-0.032551473611175115
ACH-000262,-0.1240768248639961
ACH-000263,0.016308988499101906
ACH-000264,-0.16712579408639247
ACH-000265,-0.09323015951185452
ACH-000266,-0.13415310061698846
ACH-000272,-0.2611393566103006
ACH-000274,-0.192888455057541
ACH-000277,-0.20953398670187573
ACH-000278,-0.24008345732874126
ACH-000279,-0.10432843344022033
ACH-000280,-0.28911551564805893
ACH-000281,-0.1432178638084323
ACH-000288,-0.2911205764609143
ACH-000291,-0.14941645630591574
ACH-000293,-0.1749831496774338
ACH-000294,-0.14361455781909738
ACH-000295,-0.4885452754129114
ACH-000296,-0.2653057642179308
ACH-000302,-0.14962985047183974
ACH-000304,-0.1616726213700912
ACH-000307,-0.07725476748402815
ACH-000308,-0.2321995545079711
ACH-000310,-0.1078511329532927
ACH-000311,0.0028387141626571143
ACH-000312,-0.1648774686518278
ACH-000315,0.01041690787838707
ACH-000316,-0.13202848203999598
ACH-000317,-0.13706536790439305
ACH-000318,-0.08524677916567754
ACH-000319,-0.19617780960996786
ACH-000320,-0.3228283117186768
ACH-000322,-0.11868375042330258
ACH-000323,-0.08910682236023211
ACH-000324,-0.28952402504794345
ACH-000329,-0.11594569979570768
ACH-000330,-0.2002527575344947
ACH-000331,-0.6784928780848263
ACH-000332,-0.18577523106414345
ACH-000334,-0.09099339040110398
ACH-000335,0.05300613229128743
ACH-000336,0.01639997165386849
ACH-000337,-0.06989664926265189
ACH-000338,0.000906862922085416
ACH-000339,-0.09751300750976767
ACH-000341,-0.22947724852717444
ACH-000348,-0.15220793639773544
ACH-000350,-0.16728800775374425
ACH-000352,-0.17716474195816515
ACH-000356,-0.3554483199105185
ACH-000361,-0.2658781501961197
ACH-000362,-0.12855053983522086
ACH-000363,-0.7400684759438714
ACH-000364,-0.25232025301707783
ACH-000365,-0.22517717872439968
ACH-000366,-0.05620567502901378
ACH-000368,-0.24286534973009646
ACH-000374,-0.14794364987986852
ACH-000375,-0.27132619837967403
ACH-000376,-0.11593067980255385
ACH-000381,-0.4037861546871907
ACH-000383,-0.12741769890509208
ACH-000387,-0.13915489811813198
ACH-000389,-0.4528881389058084
ACH-000390,-0.09058341098824003
ACH-000393,-0.1744824080083133
ACH-000395,-0.2331778770625277
ACH-000396,0.013177807924065844
ACH-000397,-0.31944176645398115
ACH-000401,-0.035164366081221324
ACH-000402,-0.21164060357327194
ACH-000403,-0.14385083478599334
ACH-000404,0.015980238461051413
ACH-000406,-0.2099213764883904
ACH-000407,-0.2405177668804212
ACH-000408,-0.27971476932361583
ACH-000410,-0.11797601161907277
ACH-000411,-0.17913185110176605
ACH-000414,-0.18014526910689652
ACH-000415,-0.568223031625231
ACH-000416,-0.13561754613621654
ACH-000420,-0.1358766986023807
ACH-000421,-0.17204511564633418
ACH-000424,0.06330870144837948
ACH-000425,-0.057139239188904775
ACH-000426,-0.3687523416945899
ACH-000427,-0.232124134488749
ACH-000433,-0.12928480509025195
ACH-000435,0.05494333239598676
ACH-000436,-0.4646622480476704
ACH-000444,-0.14300636915587348
ACH-000445,-0.4022279981504304
ACH-000448,-0.146827510243108
ACH-000450,-0.2493540812992279
ACH-000452,-0.007570632014838916
ACH-000454,-0.1524476048624478
ACH-000458,-0.25219880469456724
ACH-000459,0.006256663705704867
ACH-000460,-0.20479426590321845
ACH-000461,-0.1755289149102327
ACH-000463,-0.07114726704166452
ACH-000464,-0.18703375823933474
ACH-000466,-0.1625406523364657
ACH-000467,-0.2205242328922823
ACH-000468,-0.17968747175535804
ACH-000469,-0.2518617628135684
ACH-000470,-0.13574995128559827
ACH-000471,-0.3027369732561286
ACH-000472,-0.024384455541602627
ACH-000473,-0.2419497367258601
ACH-000475,-0.1460092409983888
ACH-000476,-0.3104032070743743
ACH-000477,-0.03148499693500227
ACH-000479,-0.08891635032244954
