,JUNB (3726)
ACH-000004,-0.19580985273929907
ACH-000005,-0.15881899556071544
ACH-000007,-0.08058554676919609
ACH-000009,-0.14333753839296046
ACH-000011,-0.060483504136859816
ACH-000012,-0.34310027683540384
ACH-000013,-0.2393419736174221
ACH-000014,-0.2335984306696693
ACH-000015,-0.229646711795372
ACH-000017,-0.2795410581382519
ACH-000018,-0.18440033263638453
ACH-000019,-0.36294189142832173
ACH-000021,-0.11273670509879455
ACH-000022,0.016941182514505625
ACH-000025,-0.41806208866571704
ACH-000028,-0.28985853823734503
ACH-000030,-0.13148891894996875
ACH-000035,-0.3249901294190197
ACH-000036,-0.2864561953339037
ACH-000037,0.037332684920125966
ACH-000039,-0.0644505698012977
ACH-000040,-0.4010352177267801
ACH-000041,-0.15514929665373978
ACH-000042,-0.6063987352631384
ACH-000045,-0.24979401515264685
ACH-000047,-0.12533777600021315
ACH-000052,0.08415770891503095
ACH-000053,-0.6759814612673454
ACH-000054,-0.20939783050300456
ACH-000055,-0.17649275924799074
ACH-000060,-0.4962323904011932
ACH-000067,-0.5705817096403761
ACH-000070,-0.12658649463738536
ACH-000075,-0.3720508930301866
ACH-000078,-0.14444033421376956
ACH-000082,-0.4467699971567872
ACH-000085,-0.8274299714002071
ACH-000086,-0.2862646972949885
ACH-000087,0.02576377354650073
ACH-000092,-0.13834904399756245
ACH-000095,-0.15732876815953106
ACH-000097,-0.203409920891781
ACH-000098,-0.17518217904254604
ACH-000099,-0.0417190829064534
ACH-000108,-0.3434261974661699
ACH-000113,-0.17686552744128026
ACH-000116,-0.13720278472678213
ACH-000118,-0.5688860048387576
ACH-000120,-0.1440723683560429
ACH-000123,-0.18751471587934326
ACH-000127,-0.12872917972414116
ACH-000128,-0.23263011604403536
ACH-000132,-0.14624598760842375
ACH-000133,-0.3062451719663102
ACH-000137,-0.061753365524483364
ACH-000138,-0.14084091880981733
ACH-000142,-0.2792166928537829
ACH-000143,-0.24307657960478105
ACH-000146,-0.12890971686097694
ACH-000148,-0.13443068659027185
ACH-000150,-0.2002840021654366
ACH-000152,-0.1468537050621422
ACH-000153,0.06376093382335446
ACH-000159,-0.1442171967151675
ACH-000160,-0.007213843434238428
ACH-000163,-0.5733960207147021
ACH-000167,-0.2942614692335227
ACH-000168,0.006772766864246439
ACH-000169,-0.3602708910166603
ACH-000178,-0.5031506559714565
ACH-000183,-0.3462702145307439
ACH-000188,-0.5722948789069593
ACH-000189,-0.019499055086340526
ACH-000190,-0.1596926271109606
ACH-000198,-0.04546981509581703
ACH-000203,-0.4554010511134091
ACH-000204,0.14767277550691074
ACH-000206,-0.9872550710461973
ACH-000207,-0.2912726430035693
ACH-000208,-0.4071388802173726
ACH-000210,-0.5882290465786932
ACH-000211,-0.29484814338401144
ACH-000215,-0.3466567068764411
ACH-000221,-0.1790693718944558
ACH-000222,-0.3273877296525233
ACH-000223,-0.5038672172112588
ACH-000226,-0.6225781851168144
ACH-000227,-0.1798980567820467
ACH-000228,-0.3740787225264088
ACH-000231,-0.16279401625739798
ACH-000232,-0.16844885879564536
ACH-000233,-0.7359848626740498
ACH-000234,-0.3259572667271449
ACH-000235,-0.4907227693673866
ACH-000237,-0.1818795500990451
ACH-000238,-0.40303722550508747
ACH-000242,-0.13577080715234635
ACH-000243,-0.1902550799284587
ACH-000244,-0.2149577047738717
ACH-000246,-0.14542836852711954
ACH-000248,-0.17577766197105116
ACH-000250,-0.23173196177152536
ACH-000251,-0.4620274599752638
ACH-000252,0.21858156038422494
ACH-000253,-0.19355246676949409
ACH-000255,-0.15008289161331895
ACH-000256,-0.004261256488715304
ACH-000257,0.15127365598472234
ACH-000258,-0.08993895967578779
ACH-000259,-0.1504755047030445
ACH-000260,0.13189971101045664
ACH-000261,-0.32424129540312474
ACH-000262,-0.3324525808692408
ACH-000263,-0.15487030509794025
ACH-000264,-0.11201519649422352
ACH-000265,-0.11412286698423467
ACH-000266,-0.3829854211030784
ACH-000272,-0.12877220843785114
ACH-000274,-0.0671456905832671
ACH-000277,-0.20875787414407976
ACH-000278,-0.1404580074999564
ACH-000279,-0.09878958925382088
ACH-000280,-0.2597763924333225
ACH-000281,-0.15493049453895935
ACH-000288,0.07257267472153271
ACH-000291,-0.14087779938651335
ACH-000293,-0.021516982719614483
ACH-000294,-0.2591736803785632
ACH-000295,-0.09572507188105793
ACH-000296,-0.012558045119696921
ACH-000302,-0.3727792565585189
ACH-000304,0.16273977371677262
